company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.005,0.08966,0.05027,0.15241,1.0,0.99979,1.0,0.05577000000000001,0.03281,0.09571,0.9103399999999999,0.84759,0.94973,0.0,0.0,0.00021
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.01,0.16526,0.09616,0.26549,1.0,0.9995799999999999,1.0,0.06051,0.03767,0.10007,0.8347399999999999,0.73451,0.90384,0.0,0.0,0.00042
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.015,0.22987,0.13823,0.35272,1.0,0.9993700000000001,1.0,0.06526,0.04253,0.10442,0.77013,0.64728,0.86177,0.0,0.0,0.00063
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.02,0.28570999999999996,0.17693,0.42206000000000005,1.0,0.99915,1.0,0.07,0.047389999999999995,0.10878,0.71429,0.57794,0.8230700000000001,0.0,0.0,0.00085
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.025,0.33447,0.21265,0.47848999999999997,1.0,0.9989399999999999,1.0,0.07474,0.05225,0.11313,0.6655300000000001,0.52151,0.78735,0.0,0.0,0.00106
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.03,0.37740999999999997,0.24572,0.52532,1.0,0.99872,1.0,0.07948999999999999,0.05711,0.11748,0.62259,0.47468,0.7542800000000001,0.0,0.0,0.00128
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.035,0.41551000000000005,0.27643,0.56481,1.0,0.9985,1.0,0.08423,0.061970000000000004,0.12184,0.58449,0.43518999999999997,0.7235699999999999,0.0,0.0,0.0015
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.04,0.44953999999999994,0.30501999999999996,0.59855,1.0,0.9982700000000001,1.0,0.08897999999999999,0.06683,0.12619,0.5504600000000001,0.40145,0.69498,0.0,0.0,0.00173
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.045,0.48013,0.3317,0.62772,1.0,0.99805,1.0,0.09372,0.07169,0.13055,0.5198699999999999,0.37228,0.6683,0.0,0.0,0.00195
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.05,0.5077699999999999,0.35666,0.65318,1.0,0.99782,1.0,0.09847,0.07655,0.1349,0.49223,0.34681999999999996,0.6433399999999999,0.0,0.0,0.00218
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.055,0.53287,0.38005,0.6756,1.0,0.99759,1.0,0.10321,0.08141,0.13926,0.46713000000000005,0.3244,0.61995,0.0,0.0,0.0024100000000000002
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.06,0.55577,0.40203,0.6955,1.0,0.99736,1.0,0.10795999999999999,0.08627,0.14361,0.44423,0.3045,0.59797,0.0,0.0,0.00264
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.065,0.57673,0.42272,0.71327,1.0,0.9971200000000001,1.0,0.1127,0.09112999999999999,0.14797000000000002,0.42327,0.28673000000000004,0.57728,0.0,0.0,0.00288
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.07,0.596,0.44222,0.72924,1.0,0.9968899999999999,1.0,0.11745,0.09598999999999999,0.15232,0.40399999999999997,0.27076,0.55778,0.0,0.0,0.0031100000000000004
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.075,0.61378,0.46063999999999994,0.74368,1.0,0.99665,1.0,0.12219,0.10085,0.15667999999999999,0.38622,0.25632,0.5393600000000001,0.0,0.0,0.00335
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.08,0.6302300000000001,0.47806000000000004,0.75679,1.0,0.9964,1.0,0.12694,0.10570999999999998,0.16103,0.36977,0.24320999999999998,0.52194,0.0,0.0,0.0036
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.085,0.64549,0.49456999999999995,0.76874,1.0,0.99616,1.0,0.13168,0.11057,0.16538,0.35451,0.23126,0.50543,0.0,0.0,0.0038399999999999997
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.09,0.65969,0.51022,0.77969,1.0,0.9959100000000001,1.0,0.13643,0.11542999999999999,0.16974,0.34031,0.22030999999999998,0.48978,0.0,0.0,0.00409
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.095,0.67293,0.5251,0.78975,1.0,0.99566,1.0,0.14117000000000002,0.12029000000000001,0.17409000000000002,0.32706999999999997,0.21025,0.4749,0.0,0.0,0.00434
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.1,0.6853100000000001,0.53925,0.79903,1.0,0.99541,1.0,0.14592,0.12515,0.17845,0.31469,0.20097,0.46075,0.0,0.0,0.0045899999999999995
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.105,0.69692,0.55272,0.80762,1.0,0.99515,1.0,0.15066,0.13001,0.1828,0.30308,0.19238,0.44728,0.0,0.0,0.00485
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.11,0.70781,0.56557,0.8155899999999999,1.0,0.9949,1.0,0.15541,0.13487000000000002,0.18716,0.29219,0.18441,0.43443000000000004,0.0,0.0,0.0051
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.115,0.71806,0.5778300000000001,0.823,1.0,0.9946299999999999,1.0,0.16015,0.13973,0.19150999999999999,0.28194,0.177,0.42217,0.0,0.0,0.005370000000000001
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.12,0.72772,0.58955,0.8299200000000001,1.0,0.9943700000000001,1.0,0.1649,0.14459,0.19587000000000002,0.27228,0.17008,0.41045,0.0,0.0,0.00563
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.125,0.7368399999999999,0.6007600000000001,0.83639,1.0,0.9941,1.0,0.16964,0.14945,0.20022,0.26316,0.16360999999999998,0.39924,0.0,0.0,0.0059
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.13,0.74547,0.61149,0.84244,1.0,0.99384,1.0,0.17439000000000002,0.15431,0.20457999999999998,0.25453000000000003,0.15755999999999998,0.38850999999999997,0.0,0.0,0.0061600000000000005
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.135,0.75363,0.6217699999999999,0.8481299999999999,1.0,0.99356,1.0,0.17912999999999998,0.15917,0.20893,0.24636999999999998,0.15187,0.37823,0.0,0.0,0.00644
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.14,0.7613800000000001,0.63164,0.8534799999999999,1.0,0.99329,1.0,0.18388,0.16403,0.21329,0.23861999999999997,0.14652,0.36835999999999997,0.0,0.0,0.00671
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.145,0.76873,0.6411100000000001,0.8585299999999999,1.0,0.9930100000000001,1.0,0.18862,0.16889,0.21764,0.23126999999999998,0.14147,0.35889,0.0,0.0,0.0069900000000000006
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.15,0.77573,0.6502,0.86329,1.0,0.9927299999999999,1.0,0.19337000000000001,0.17375,0.22199000000000002,0.22426999999999997,0.13671,0.3498,0.0,0.0,0.00727
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.155,0.78238,0.65895,0.86779,1.0,0.99244,1.0,0.19810999999999998,0.17861,0.22635,0.21761999999999998,0.13221,0.34105,0.0,0.0,0.007559999999999999
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.16,0.78873,0.66737,0.8720600000000001,1.0,0.99215,1.0,0.20285999999999998,0.18347,0.2307,0.21126999999999999,0.12794,0.33263000000000004,0.0,0.0,0.00785
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.165,0.79479,0.67547,0.8761,1.0,0.9918600000000001,1.0,0.2076,0.18833,0.23506,0.20521,0.1239,0.32453000000000004,0.0,0.0,0.008140000000000001
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.17,0.8005800000000001,0.68328,0.87994,1.0,0.9915700000000001,1.0,0.21235,0.1932,0.23940999999999998,0.19942000000000001,0.12005999999999999,0.31672,0.0,0.0,0.00843
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.175,0.80611,0.69082,0.88359,1.0,0.9912700000000001,1.0,0.21709,0.19806,0.24377,0.19389,0.11640999999999999,0.30918,0.0,0.0,0.00873
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.18,0.8114100000000001,0.69808,0.88707,1.0,0.99097,1.0,0.22184,0.20292000000000002,0.24811999999999998,0.18859,0.11292999999999999,0.30191999999999997,0.0,0.0,0.00903
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.185,0.81648,0.7051,0.89038,1.0,0.99066,1.0,0.22658000000000003,0.20778000000000002,0.25248000000000004,0.18352000000000002,0.10962000000000001,0.2949,0.0,0.0,0.009340000000000001
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.19,0.82135,0.7118800000000001,0.89355,1.0,0.99036,1.0,0.23133,0.21264,0.25683,0.17865,0.10645,0.28812,0.0,0.0,0.009640000000000001
LifeHope Labs,LifeHope 2019-nCoV Real-Time RT-PCR Diagnostic Panel,0.195,0.8260200000000001,0.71843,0.8965700000000001,1.0,0.9900399999999999,1.0,0.23606999999999997,0.2175,0.26119000000000003,0.17398,0.10343,0.28157,0.0,0.0,0.00996
