company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.005,0.19125,0.0387,0.5817899999999999,0.9997,0.99911,0.9999,0.02461,0.00842,0.10864000000000001,0.80875,0.41821,0.9613,0.0003,0.0001,0.0008900000000000001
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.01,0.32219000000000003,0.07486,0.73659,0.99939,0.99821,0.9998,0.029210000000000003,0.0133,0.11231,0.67781,0.26341,0.92514,0.00061,0.0002,0.00179
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.015,0.41746000000000005,0.10872000000000001,0.80828,0.9990899999999999,0.9973,0.99969,0.033819999999999996,0.01818,0.11599000000000001,0.58254,0.19172,0.89128,0.00091,0.00031,0.0027
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.02,0.4899,0.14051,0.84962,0.9987799999999999,0.9963799999999999,0.99959,0.038419999999999996,0.02306,0.11967,0.5101,0.15037999999999999,0.85949,0.00122,0.00041,0.0036200000000000004
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.025,0.54682,0.1704,0.8765200000000001,0.99846,0.99546,0.9994799999999999,0.04303,0.02795,0.12335,0.45318,0.12347999999999999,0.8296,0.0015400000000000001,0.0005200000000000001,0.00454
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.03,0.5927399999999999,0.19855,0.8954200000000001,0.99815,0.9945299999999999,0.9993700000000001,0.047639999999999995,0.03283,0.12703,0.40726,0.10457999999999999,0.80145,0.00185,0.00063,0.00547
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.035,0.63056,0.22513000000000002,0.90943,0.9978299999999999,0.99359,0.9992700000000001,0.052239999999999995,0.03771,0.13071,0.36944,0.09057,0.77487,0.00217,0.00073,0.006409999999999999
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.04,0.66225,0.25024,0.92022,0.99751,0.99264,0.99916,0.05685,0.042589999999999996,0.13439,0.33775,0.07977999999999999,0.74976,0.00249,0.00084,0.007359999999999999
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.045,0.68919,0.27402,0.9288,0.99718,0.99169,0.99905,0.06145,0.04747,0.13807,0.31081,0.0712,0.7259800000000001,0.00282,0.00095,0.00831
"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit,0.05,0.71238,0.29657,0.93578,0.99685,0.99072,0.9989299999999999,0.06606000000000001,0.05235,0.14175,0.28762,0.06422,0.70343,0.00315,0.00107,0.00928
