company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.005,1.0,0.13285,1.0,0.99989,0.9996,0.99997,0.00489,0.0049700000000000005,0.03475,0.0,0.0,0.86715,0.00011,2.9999999999999997e-05,0.0004
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.01,1.0,0.23545,1.0,0.9997799999999999,0.9992,0.9999399999999999,0.00978,0.009940000000000001,0.03922,0.0,0.0,0.76455,0.00022,5.9999999999999995e-05,0.0008
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.015,1.0,0.31706999999999996,1.0,0.9996700000000001,0.9988,0.9999100000000001,0.014669999999999999,0.01491,0.043680000000000004,0.0,0.0,0.68293,0.00033,9e-05,0.0012
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.02,1.0,0.38355,1.0,0.99955,0.99839,0.9998799999999999,0.01956,0.019880000000000002,0.04815,0.0,0.0,0.61645,0.00045,0.00011999999999999999,0.00161
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.025,1.0,0.43875,1.0,0.99944,0.99798,0.99984,0.02445,0.02485,0.052610000000000004,0.0,0.0,0.56125,0.00056,0.00016,0.00202
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.03,1.0,0.48531,1.0,0.9993200000000001,0.99756,0.9998100000000001,0.029339999999999998,0.02982,0.05708,0.0,0.0,0.51469,0.0006799999999999999,0.00018999999999999998,0.00244
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.035,1.0,0.5251100000000001,1.0,0.9992,0.9971399999999999,0.9997799999999999,0.034230000000000003,0.034789999999999995,0.06154,0.0,0.0,0.47489,0.0008,0.00022,0.00286
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.04,1.0,0.55953,1.0,0.9990899999999999,0.99672,0.99975,0.03912,0.039760000000000004,0.06601,0.0,0.0,0.44047,0.00091,0.00025,0.00328
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.045,1.0,0.58959,1.0,0.99897,0.99629,0.99972,0.04401,0.04473,0.07048,0.0,0.0,0.41041000000000005,0.00103,0.00028,0.00371
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.05,1.0,0.61607,1.0,0.99884,0.9958600000000001,0.9996799999999999,0.0489,0.0497,0.07493999999999999,0.0,0.0,0.38393,0.00116,0.00032,0.00414
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.055,1.0,0.63956,1.0,0.99872,0.9954200000000001,0.99965,0.05379,0.05467,0.07941000000000001,0.0,0.0,0.36044,0.00128,0.00035,0.00458
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.06,1.0,0.66056,1.0,0.9986,0.99498,0.99961,0.058679999999999996,0.05964,0.08387,0.0,0.0,0.33944,0.0014,0.00039,0.00502
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.065,1.0,0.67943,1.0,0.9984700000000001,0.99454,0.9995799999999999,0.06357,0.06461,0.08834,0.0,0.0,0.32056999999999997,0.0015300000000000001,0.00042,0.0054600000000000004
Luminex Corporation,NxTAG CoV Extended Panel - Source: FindDx 1,0.07,1.0,0.6964899999999999,1.0,0.99835,0.9940899999999999,0.99954,0.06846000000000001,0.06957999999999999,0.0928,0.0,0.0,0.30351,0.00165,0.00045999999999999996,0.00591
