company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.005,1.0,0.13188,1.0,0.99984,0.9991899999999999,0.99997,0.00484,0.0049700000000000005,0.031939999999999996,0.0,0.0,0.8681200000000001,0.00016,2.9999999999999997e-05,0.00081
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.01,1.0,0.23394,1.0,0.9996799999999999,0.9983700000000001,0.9999399999999999,0.00969,0.009940000000000001,0.036019999999999996,0.0,0.0,0.7660600000000001,0.00032,5.9999999999999995e-05,0.0016300000000000002
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.015,1.0,0.31525,1.0,0.9995200000000001,0.99754,0.99992,0.014530000000000001,0.01492,0.04009,0.0,0.0,0.68475,0.00047999999999999996,8e-05,0.00246
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.02,1.0,0.38156,1.0,0.99936,0.99671,0.99989,0.01938,0.01989,0.044160000000000005,0.0,0.0,0.61844,0.00064,0.00011,0.00329
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.025,1.0,0.43668,1.0,0.9992,0.9958600000000001,0.9998600000000001,0.02422,0.02486,0.04824,0.0,0.0,0.5633199999999999,0.0008,0.00014,0.00414
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.03,1.0,0.48321000000000003,1.0,0.99903,0.9950200000000001,0.9998299999999999,0.029060000000000002,0.029830000000000002,0.05231,0.0,0.0,0.51679,0.0009699999999999999,0.00016999999999999999,0.00498
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.035,1.0,0.5230100000000001,1.0,0.99887,0.99416,0.9998,0.03391,0.03481,0.05637999999999999,0.0,0.0,0.47698999999999997,0.0011300000000000001,0.0002,0.00584
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.04,1.0,0.5574600000000001,1.0,0.9987,0.9933,0.99977,0.03875,0.03978,0.06046,0.0,0.0,0.44254,0.0013,0.00022999999999999998,0.0067
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.045,1.0,0.58755,1.0,0.9985299999999999,0.9924299999999999,0.99974,0.04359,0.04475,0.06452999999999999,0.0,0.0,0.41245,0.00147,0.00026000000000000003,0.00757
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.05,1.0,0.61407,1.0,0.99836,0.99155,0.99971,0.04844,0.04972,0.0686,0.0,0.0,0.38593,0.00164,0.00029,0.00845
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.055,1.0,0.63762,1.0,0.99818,0.99066,0.9996799999999999,0.053279999999999994,0.0547,0.07268,0.0,0.0,0.36238000000000004,0.00182,0.00032,0.009340000000000001
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.06,1.0,0.65867,1.0,0.9980100000000001,0.98977,0.99965,0.058120000000000005,0.05967000000000001,0.07675,0.0,0.0,0.34133,0.00199,0.00035,0.01023
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.065,1.0,0.6775899999999999,1.0,0.9978299999999999,0.98887,0.9996200000000001,0.06297,0.06464,0.08082,0.0,0.0,0.32241,0.00217,0.00037999999999999997,0.01113
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.07,1.0,0.69471,1.0,0.99765,0.9879600000000001,0.9995799999999999,0.06781000000000001,0.06961,0.0849,0.0,0.0,0.30529,0.00235,0.00042,0.01204
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.075,1.0,0.71025,1.0,0.9974700000000001,0.9870399999999999,0.99955,0.07266,0.07458,0.08897000000000001,0.0,0.0,0.28975,0.00253,0.00045,0.01296
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.08,1.0,0.72443,1.0,0.99729,0.98611,0.9995200000000001,0.0775,0.07956,0.09304,0.0,0.0,0.27557,0.00271,0.00047999999999999996,0.013890000000000001
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.085,1.0,0.73742,1.0,0.99711,0.98518,0.99949,0.08234,0.08453,0.09712,0.0,0.0,0.26258000000000004,0.0028899999999999998,0.0005099999999999999,0.014819999999999998
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.09,1.0,0.74937,1.0,0.99692,0.9842299999999999,0.99945,0.08719,0.0895,0.10119,0.0,0.0,0.25063,0.0030800000000000003,0.00055,0.01577
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.095,1.0,0.76039,1.0,0.9967299999999999,0.9832799999999999,0.9994200000000001,0.09203,0.09447,0.10525999999999999,0.0,0.0,0.23961,0.0032700000000000003,0.00058,0.01672
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.1,1.0,0.7706,1.0,0.99654,0.9823200000000001,0.99939,0.09688,0.09945,0.10934,0.0,0.0,0.2294,0.00346,0.00061,0.01768
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.105,1.0,0.7800600000000001,1.0,0.99635,0.98135,0.99935,0.10172,0.10442,0.11341,0.0,0.0,0.21994,0.00365,0.00065,0.01865
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.11,1.0,0.78888,1.0,0.99615,0.9803799999999999,0.9993200000000001,0.10655999999999999,0.10939000000000002,0.11748,0.0,0.0,0.21111999999999997,0.00385,0.0006799999999999999,0.01962
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.115,1.0,0.7971,1.0,0.9959600000000001,0.97939,0.99928,0.11141,0.11435999999999999,0.12155999999999999,0.0,0.0,0.2029,0.00404,0.00072,0.02061
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.12,1.0,0.80478,1.0,0.9957600000000001,0.97839,0.99925,0.11625,0.11934000000000002,0.12563,0.0,0.0,0.19522,0.00424,0.00075,0.02161
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.125,1.0,0.81199,1.0,0.99556,0.97739,0.99921,0.12109,0.12430999999999999,0.12971,0.0,0.0,0.18800999999999998,0.0044399999999999995,0.00079,0.022609999999999998
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.13,1.0,0.81876,1.0,0.99535,0.9763700000000001,0.9991700000000001,0.12594,0.12928,0.13377999999999998,0.0,0.0,0.18124,0.00465,0.0008300000000000001,0.02363
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.135,1.0,0.8251200000000001,1.0,0.99515,0.97535,0.9991399999999999,0.13078,0.13425,0.13785,0.0,0.0,0.17488,0.00485,0.00086,0.02465
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.14,1.0,0.8311200000000001,1.0,0.9949399999999999,0.97431,0.9991,0.13563,0.13922,0.14193,0.0,0.0,0.16888,0.00506,0.0009,0.025689999999999998
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.145,1.0,0.8367899999999999,1.0,0.9947299999999999,0.9732700000000001,0.9990600000000001,0.14047,0.1442,0.146,0.0,0.0,0.16321,0.00527,0.0009400000000000001,0.02673
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.15,1.0,0.84215,1.0,0.9945200000000001,0.97221,0.99902,0.14531,0.14917,0.15007,0.0,0.0,0.15785,0.00548,0.00098,0.02779
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.155,1.0,0.8472200000000001,1.0,0.9943,0.97115,0.9989899999999999,0.15016,0.15414,0.15415,0.0,0.0,0.15278,0.0057,0.00101,0.02885
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.16,1.0,0.8520399999999999,1.0,0.99408,0.9700700000000001,0.99895,0.155,0.15911,0.15822,0.0,0.0,0.14795999999999998,0.00592,0.00105,0.029930000000000002
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.165,1.0,0.85661,1.0,0.9938600000000001,0.96899,0.9989100000000001,0.15984,0.16409,0.16229000000000002,0.0,0.0,0.14339000000000002,0.00614,0.00109,0.031010000000000003
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.17,1.0,0.8609600000000001,1.0,0.99364,0.9678899999999999,0.99887,0.16469,0.16906,0.16637000000000002,0.0,0.0,0.13904,0.00636,0.0011300000000000001,0.03211
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.175,1.0,0.8651,1.0,0.99341,0.9667899999999999,0.9988299999999999,0.16953,0.17403,0.17044,0.0,0.0,0.1349,0.00659,0.00117,0.03321
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.18,1.0,0.86905,1.0,0.99319,0.96567,0.99879,0.17438,0.179,0.17451,0.0,0.0,0.13095,0.006809999999999999,0.00121,0.03433
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.185,1.0,0.8728100000000001,1.0,0.9929600000000001,0.96454,0.99874,0.17922000000000002,0.18398,0.17859,0.0,0.0,0.12719,0.00704,0.00126,0.035460000000000005
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.19,1.0,0.87641,1.0,0.99272,0.9634,0.9987,0.18406,0.18895,0.18266,0.0,0.0,0.12359,0.00728,0.0013,0.0366
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.195,1.0,0.87985,1.0,0.99249,0.96225,0.99866,0.18891,0.19392,0.18673,0.0,0.0,0.12015,0.007509999999999999,0.00134,0.03775
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.2,1.0,0.88315,1.0,0.99225,0.96109,0.9986200000000001,0.19375,0.19889,0.19080999999999998,0.0,0.0,0.11685,0.00775,0.0013800000000000002,0.03891
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.205,1.0,0.88631,1.0,0.9920100000000001,0.95991,0.9985700000000001,0.19859000000000002,0.20385999999999999,0.19488,0.0,0.0,0.11369000000000001,0.00799,0.00143,0.04009
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.21,1.0,0.8893399999999999,1.0,0.9917600000000001,0.9587200000000001,0.9985299999999999,0.20344,0.20884,0.19895,0.0,0.0,0.11066,0.00824,0.00147,0.041280000000000004
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.215,1.0,0.8922399999999999,1.0,0.99151,0.9575299999999999,0.99849,0.20828000000000002,0.21381,0.20303,0.0,0.0,0.10776,0.008490000000000001,0.00151,0.04247
"Luminostics, Inc.",Clip COVID Rapid Antigen Test,0.22,1.0,0.8950299999999999,1.0,0.99126,0.95631,0.99844,0.21313,0.21878000000000003,0.2071,0.0,0.0,0.10497000000000001,0.008740000000000001,0.00156,0.04369
