company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.005,1.0,0.011435438708697891,1.0,0.9994977398292316,0.9972672747235868,0.9999101801813108,0.0045000000000000005,0.004910621252421394,0.2605250352350821,0.0,0.0,0.988564561291302,0.0005022601707683759,8.9819818689163e-05,0.002732725276413217
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.01,1.0,0.02272390425852337,1.0,0.9989909182643796,0.9945220670563186,0.9998194694707354,0.009000000000000001,0.009821242504842788,0.2622100532213503,0.0,0.0,0.9772760957414768,0.0010090817356205317,0.00018053052926458868,0.005477932943681374
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.015,1.0,0.033868212000461195,1.0,0.9984794728839332,0.9917642912778628,0.9997278545475364,0.0135,0.014731863757264185,0.2638950712076183,0.0,0.0,0.9661317879995388,0.001520527116066872,0.00027214545246367905,0.008235708722137192
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.02,1.0,0.04487110583560601,1.0,0.9979633401221996,0.9889938608811965,0.9996353218240818,0.018000000000000002,0.019642485009685576,0.2655800891938864,0.0,0.0,0.955128894164394,0.0020366598778004397,0.00036467817591823165,0.01100613911880366
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.025,1.0,0.055735260467501824,1.0,0.9974424552429668,0.9862106885635601,0.9995418574391266,0.022500000000000003,0.024553106262106973,0.26726510718015445,0.0,0.0,0.944264739532498,0.002557544757033181,0.00045814256087339805,0.013789311436440022
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.03,1.0,0.06646328356981374,1.0,0.9969167523124358,0.983414686217288,0.9994474472508912,0.027000000000000003,0.02946372751452837,0.2689501251664225,0.0,0.0,0.9335367164301862,0.0030832476875641834,0.0005525527491087034,0.01658531378271189
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.035,1.0,0.07705771787302207,1.0,0.9963861641713992,0.9806057649205104,0.9993520768299274,0.0315,0.03437434876694976,0.2706351431526906,0.0,0.0,0.922942282126978,0.0036138358286008643,0.0006479231700725617,0.019394235079489675
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.04,1.0,0.08752104317364631,1.0,0.995850622406639,0.9777838349277256,0.9992557314517674,0.036000000000000004,0.03928497001937115,0.2723201611389586,0.0,0.0,0.9124789568263536,0.004149377593360981,0.0007442685482326182,0.02221616507227442
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.045,1.0,0.09785567826933342,1.0,0.9953100573215216,0.9749488056602434,0.9991583960893444,0.0405,0.04419559127179255,0.2740051791252267,0.0,0.0,0.9021443217306666,0.0046899426784783324,0.0008416039106554639,0.025051194339756555
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.05,1.0,0.10806398282298307,1.0,0.9947643979057592,0.972100585696492,0.9990600554051796,0.045,0.04910621252421394,0.2756901971114948,0.0,0.0,0.8919360171770169,0.005235602094240789,0.0009399445948202744,0.027899414303507952
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.055,1.0,0.11814825915892675,1.0,0.9942135718043136,0.969239082762192,0.9989606937433256,0.0495,0.05401683377663534,0.2773752150977629,0.0,0.0,0.8818517408410733,0.005786428195686422,0.0010393062566744769,0.03076091723780794
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.06,1.0,0.12811075399403254,1.0,0.9936575052854124,0.9663642037203909,0.9988602951210565,0.054000000000000006,0.058927455029056726,0.2790602330840309,0.0,0.0,0.8718892460059674,0.0063424947145876995,0.0011397048789435482,0.033635796279609
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.065,1.0,0.13795366010647073,1.0,0.9930961232076474,0.9634758545613584,0.9987588432202984,0.0585,0.06383807628147813,0.280745251070299,0.0,0.0,0.8620463398935293,0.006903876792352603,0.0012411567797017133,0.036524145438641686
Mammoth Biosciences,SARS-CoV-2 DETECTR,0.07,1.0,0.1476791179447419,1.0,0.992529348986126,0.9605739403923376,0.9986563213787868,0.06300000000000001,0.06874869753389952,0.2824302690565671,0.0,0.0,0.8523208820552581,0.007470651013874119,0.0013436786212130958,0.039426059607662316
