company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.005,1.0,0.0670873908712302,1.0,0.9997488068324542,0.9991200317829704,0.9999305556914596,0.00475,0.004930898114269494,0.06222915222797941,0.0,0.0,0.9329126091287698,0.00025119316754584897,6.944430854050054e-05,0.0008799682170296252
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.01,1.0,0.12629410679444095,1.0,0.999495204442201,0.9982327458339482,0.9998604197162227,0.0095,0.009861796228538987,0.06611221323095813,0.0,0.0,0.8737058932055591,0.0005047955577990315,0.0001395802837771409,0.0017672541660518348
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.015,1.0,0.17893171381045658,1.0,0.9992391580015216,0.9973380504914644,0.9997895816890504,0.01425,0.014792694342808485,0.06999527423393688,0.0,0.0,0.8210682861895434,0.0007608419984783675,0.00021041831094947838,0.0026619495085355997
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.02,1.0,0.22603603320057894,1.0,0.9989806320081548,0.9964358525567704,0.9997180310157472,0.019,0.019723592457077974,0.07387833523691563,0.0,0.0,0.7739639667994208,0.0010193679918450993,0.0002819689842529227,0.0035641474432297478
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.025,1.0,0.2684359888693668,1.0,0.998719590268886,0.9955260572614736,0.9996457568878796,0.02375,0.024654490571347474,0.07776139623989435,0.0,0.0,0.7315640111306332,0.001280409731113874,0.00035424311212028936,0.004473942738526415
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.03,1.0,0.3068028081821684,1.0,0.9984559958826555,0.9946085682343544,0.9995727482773352,0.0285,0.02958538868561697,0.08164445724287309,0.0,0.0,0.6931971918178317,0.0015440041173443444,0.00042725172266466766,0.005391431765645716
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.035,1.0,0.3416858201090565,1.0,0.9981898112231704,0.9936832874673348,0.9994989939307104,0.033249999999999995,0.034516286799886456,0.08552751824585182,0.0,0.0,0.6583141798909435,0.001810188776829591,0.0005010060692896001,0.006316712532665192
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.04,1.0,0.3735389251855982,1.0,0.997920997920998,0.9927501152805792,0.9994244823635288,0.038,0.03944718491415596,0.08941057924883056,0.0,0.0,0.6264610748144017,0.002079002079002134,0.0005755176364712343,0.007249884719420784
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.045,1.0,0.4027404550891129,1.0,0.9976495168451291,0.9918089502866959,0.9993492018542801,0.04275,0.04437808302842545,0.0932936402518093,0.0,0.0,0.5972595449108871,0.0023504831548707412,0.0006507981457199996,0.008191049713303977
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.05,1.0,0.4296082708300455,1.0,0.9973753280839897,0.9908596893540168,0.9992731404382724,0.0475,0.04930898114269494,0.09717670125478804,0.0,0.0,0.5703917291699545,0.002624671916010457,0.0007268595617276885,0.009140310645983307
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.055,1.0,0.4544113801990646,1.0,0.997098390925877,0.9899022275689234,0.9991962859012936,0.05225,0.05423987925696444,0.10105976225776678,0.0,0.0,0.5455886198009354,0.002901609074122957,0.0008037140987064982,0.010097772431076568
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.06,1.0,0.4773789760236434,1.0,0.9968186638388123,0.9889364581971952,0.9991186257730716,0.057,0.059170777371233926,0.10494282326074553,0.0,0.0,0.5226210239763566,0.003181336161187653,0.0008813742269283553,0.011063541802804666
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.065,1.0,0.4987075394382034,1.0,0.9965361044497736,0.9879622726443436,0.99904014732053,0.06175,0.06410167548550343,0.10882588426372423,0.0,0.0,0.5012924605617965,0.0034638955502264146,0.0009598526794698523,0.012037727355656336
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.07,1.0,0.5185664748183841,1.0,0.9962506695232992,0.9869795604149078,0.998960837540828,0.0665,0.06903257359977293,0.11270894526670297,0.0,0.0,0.4814335251816159,0.003749330476700674,0.001039162459172016,0.013020439585092249
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.075,1.0,0.5371026186967685,1.0,0.9959623149394348,0.9859882090706747,0.9988806831541772,0.07125000000000001,0.07396347171404243,0.11659200626968172,0.0,0.0,0.4628973813032316,0.004037685060565344,0.001119316845822671,0.014011790929325252
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.08,1.0,0.5544438767108958,1.0,0.9956709956709956,0.984988104187794,0.9987996705964308,0.076,0.07889436982831191,0.12047506727266047,0.0,0.0,0.4455561232891042,0.004329004329004293,0.001200329403569067,0.015011895812205855
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.085,1.0,0.5707021791728458,1.0,0.9953766657601306,0.9839791293127512,0.9987177860114298,0.08075,0.08382526794258141,0.1243581282756392,0.0,0.0,0.4292978208271542,0.004623334239869381,0.0012822139885702024,0.016020870687248782
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.09,1.0,0.5859758996823082,1.0,0.9950792782941498,0.9829611659171632,0.9986350152431026,0.0855,0.08875616605685091,0.12824118927861794,0.0,0.0,0.41402410031769177,0.004920721705850228,0.0013649847568973914,0.017038834082836796
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.095,1.0,0.6003518472491914,1.0,0.994778785380599,0.9819340933513624,0.9985513438273076,0.09025,0.0936870641711204,0.13212425028159666,0.0,0.0,0.39964815275080856,0.005221214619400949,0.0014486561726925196,0.018065906648637498
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.1,1.0,0.6139069171610341,1.0,0.994475138121547,0.9808977887967276,0.998466756983405,0.095,0.0986179622853899,0.1360073112845754,0.0,0.0,0.3860930828389659,0.005524861878453025,0.001533243016594965,0.019102211203272382
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.105,1.0,0.6267094669028805,1.0,0.9941682865870592,0.9798521272167235,0.9983812396055544,0.09975,0.1035488603996594,0.13989037228755413,0.0,0.0,0.37329053309711946,0.005831713412940864,0.0016187603944455287,0.020147872783276344
"Mammoth Biosciences, Inc.",SARS-CoV-2 DETECTR Reagent Kit,0.11,1.0,0.6388204691104784,1.0,0.993858179787828,0.9787969813066104,0.9982947762537202,0.1045,0.10847975851392888,0.14377343329053288,0.0,0.0,0.3611795308895216,0.006141820212171911,0.0017052237462797935,0.021203018693389697
