company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.005,1.0,0.034,1.0,0.9994200000000001,0.99884,0.99969,0.00442,0.00469,0.11692000000000001,0.0,0.0,0.966,0.00058,0.00031,0.00116
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.01,1.0,0.06607,1.0,0.99884,0.9976700000000001,0.9993799999999999,0.00885,0.00938,0.12032999999999999,0.0,0.0,0.9339299999999999,0.00116,0.00062,0.00233
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.015,1.0,0.09637000000000001,1.0,0.99825,0.99649,0.9990600000000001,0.013269999999999999,0.01407,0.12374,0.0,0.0,0.9036299999999999,0.00175,0.0009400000000000001,0.00351
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.02,1.0,0.12506,1.0,0.99765,0.9953,0.99874,0.01769,0.01876,0.12715,0.0,0.0,0.8749399999999999,0.00235,0.00126,0.0047
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.025,1.0,0.15224000000000001,1.0,0.99705,0.99411,0.9984200000000001,0.022119999999999997,0.02345,0.13055,0.0,0.0,0.8477600000000001,0.00295,0.00158,0.00589
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.03,1.0,0.17804,1.0,0.99644,0.9929,0.9980899999999999,0.026539999999999998,0.02814,0.13396,0.0,0.0,0.82196,0.0035600000000000002,0.0019100000000000002,0.0071
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.035,1.0,0.20256,1.0,0.9958299999999999,0.9916799999999999,0.9977600000000001,0.03096,0.03283,0.13737,0.0,0.0,0.7974399999999999,0.00417,0.00224,0.008320000000000001
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.04,1.0,0.2259,1.0,0.9952200000000001,0.99046,0.9974299999999999,0.03538,0.03752,0.14078,0.0,0.0,0.7741,0.0047799999999999995,0.00257,0.00954
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.045,1.0,0.24813000000000002,1.0,0.99459,0.9892200000000001,0.9970899999999999,0.039810000000000005,0.042210000000000004,0.14419,0.0,0.0,0.7518699999999999,0.00541,0.0029100000000000003,0.01078
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.05,1.0,0.26933,1.0,0.9939600000000001,0.98798,0.99675,0.04423,0.0469,0.14759,0.0,0.0,0.7306699999999999,0.00604,0.00325,0.01202
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.055,1.0,0.28958,1.0,0.9933299999999999,0.98672,0.99641,0.04865,0.0516,0.151,0.0,0.0,0.7104199999999999,0.006670000000000001,0.00359,0.013280000000000002
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.06,1.0,0.30893000000000004,1.0,0.99269,0.98546,0.9960600000000001,0.053079999999999995,0.05629,0.15441,0.0,0.0,0.69107,0.00731,0.00394,0.01454
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.065,1.0,0.32745,1.0,0.9920399999999999,0.9841799999999999,0.99571,0.0575,0.06097999999999999,0.15782000000000002,0.0,0.0,0.67255,0.00796,0.0042899999999999995,0.015819999999999997
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.07,1.0,0.34519,1.0,0.99139,0.9828899999999999,0.99536,0.06192,0.06567,0.16122,0.0,0.0,0.65481,0.00861,0.00464,0.01711
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.075,1.0,0.36219,1.0,0.9907299999999999,0.9816,0.9950100000000001,0.06635,0.07036,0.16463,0.0,0.0,0.63781,0.00927,0.00499,0.0184
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.08,1.0,0.3785,1.0,0.9900700000000001,0.98029,0.99465,0.07077,0.07505,0.16804000000000002,0.0,0.0,0.6215,0.00993,0.00535,0.01971
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.085,1.0,0.39416,1.0,0.98939,0.9789700000000001,0.9942799999999999,0.07518999999999999,0.07973999999999999,0.17145,0.0,0.0,0.6058399999999999,0.01061,0.00572,0.02103
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.09,1.0,0.40922,1.0,0.98872,0.97764,0.9939100000000001,0.07962000000000001,0.08442999999999999,0.17485,0.0,0.0,0.59078,0.01128,0.00609,0.022359999999999998
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.095,1.0,0.42368999999999996,1.0,0.98803,0.9763,0.99354,0.08404,0.08912,0.17826,0.0,0.0,0.57631,0.01197,0.00646,0.0237
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.1,1.0,0.43763,1.0,0.98734,0.97495,0.9931700000000001,0.08846,0.09381,0.18167,0.0,0.0,0.56237,0.01266,0.00683,0.02505
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.105,1.0,0.45105,1.0,0.98664,0.97359,0.99279,0.09287999999999999,0.0985,0.18508,0.0,0.0,0.54895,0.013359999999999999,0.007209999999999999,0.026410000000000003
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.11,1.0,0.46398,1.0,0.9859399999999999,0.9722200000000001,0.99241,0.09731000000000001,0.10319,0.18848,0.0,0.0,0.5360199999999999,0.01406,0.00759,0.027780000000000003
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.115,1.0,0.47646000000000005,1.0,0.9852299999999999,0.97083,0.9920200000000001,0.10173,0.10787999999999999,0.19189,0.0,0.0,0.52354,0.014769999999999998,0.00798,0.029169999999999998
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.12,1.0,0.4885,1.0,0.98451,0.9694299999999999,0.9916299999999999,0.10615,0.11257,0.1953,0.0,0.0,0.5115,0.01549,0.00837,0.03057
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.125,1.0,0.50013,1.0,0.9837799999999999,0.9680200000000001,0.99123,0.11058,0.11725999999999999,0.19871,0.0,0.0,0.49987,0.01622,0.00877,0.03198
"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test,0.13,1.0,0.51136,1.0,0.98305,0.9666,0.9908299999999999,0.115,0.12195,0.20210999999999998,0.0,0.0,0.48863999999999996,0.01695,0.009170000000000001,0.0334
