company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.005,1.0,0.96411,1.0,1.0,0.9999600000000001,1.0,0.005,0.005,0.00515,0.0,0.0,0.03589,0.0,0.0,4e-05
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.01,1.0,0.9818100000000001,1.0,1.0,0.99992,1.0,0.01,0.01,0.01011,0.0,0.0,0.01819,0.0,0.0,8e-05
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.015,1.0,0.9878600000000001,1.0,1.0,0.99989,1.0,0.015,0.015,0.015069999999999998,0.0,0.0,0.01214,0.0,0.0,0.00011
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.02,1.0,0.99092,1.0,1.0,0.99985,1.0,0.02,0.02,0.020030000000000003,0.0,0.0,0.00908,0.0,0.0,0.00015
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.025,1.0,0.9927600000000001,1.0,1.0,0.9998100000000001,1.0,0.025,0.025,0.024990000000000002,0.0,0.0,0.007240000000000001,0.0,0.0,0.00018999999999999998
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.03,1.0,0.9939899999999999,1.0,1.0,0.99977,1.0,0.03,0.03,0.02995,0.0,0.0,0.00601,0.0,0.0,0.00022999999999999998
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.035,1.0,0.99487,1.0,1.0,0.9997299999999999,1.0,0.035,0.035,0.03492,0.0,0.0,0.00513,0.0,0.0,0.00027
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.04,1.0,0.9955299999999999,1.0,1.0,0.99969,1.0,0.04,0.04,0.03988,0.0,0.0,0.00447,0.0,0.0,0.00031
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.045,1.0,0.99605,1.0,1.0,0.99965,1.0,0.045,0.045,0.04484,0.0,0.0,0.00395,0.0,0.0,0.00035
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.05,1.0,0.99646,1.0,1.0,0.9996,1.0,0.05,0.05,0.0498,0.0,0.0,0.0035399999999999997,0.0,0.0,0.0004
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.055,1.0,0.9968,1.0,1.0,0.99956,1.0,0.055,0.055,0.05476,0.0,0.0,0.0032,0.0,0.0,0.00044
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.06,1.0,0.99708,1.0,1.0,0.9995200000000001,1.0,0.06,0.06,0.05972,0.0,0.0,0.00292,0.0,0.0,0.00047999999999999996
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.065,1.0,0.9973200000000001,1.0,1.0,0.9994799999999999,1.0,0.065,0.065,0.06468,0.0,0.0,0.00268,0.0,0.0,0.0005200000000000001
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.07,1.0,0.9975200000000001,1.0,1.0,0.9994299999999999,1.0,0.07,0.07,0.06965,0.0,0.0,0.00248,0.0,0.0,0.00057
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.075,1.0,0.9977,1.0,1.0,0.99939,1.0,0.075,0.075,0.07461,0.0,0.0,0.0023,0.0,0.0,0.00061
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.08,1.0,0.99785,1.0,1.0,0.99935,1.0,0.08,0.08,0.07957,0.0,0.0,0.00215,0.0,0.0,0.00065
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.085,1.0,0.9979899999999999,1.0,1.0,0.9993,1.0,0.085,0.085,0.08453,0.0,0.0,0.00201,0.0,0.0,0.0007
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.09,1.0,0.99811,1.0,1.0,0.99926,1.0,0.09,0.09,0.08949,0.0,0.0,0.0018899999999999998,0.0,0.0,0.00074
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.095,1.0,0.9982200000000001,1.0,1.0,0.99921,1.0,0.095,0.095,0.09445,0.0,0.0,0.0017800000000000001,0.0,0.0,0.00079
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.1,1.0,0.9983200000000001,1.0,1.0,0.99916,1.0,0.1,0.1,0.09942000000000001,0.0,0.0,0.00168,0.0,0.0,0.00084
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.105,1.0,0.99841,1.0,1.0,0.9991200000000001,1.0,0.105,0.105,0.10438,0.0,0.0,0.00159,0.0,0.0,0.00088
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.11,1.0,0.99849,1.0,1.0,0.9990700000000001,1.0,0.11,0.11,0.10934,0.0,0.0,0.00151,0.0,0.0,0.00093
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.115,1.0,0.99856,1.0,1.0,0.99902,1.0,0.115,0.115,0.1143,0.0,0.0,0.00144,0.0,0.0,0.00098
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.12,1.0,0.9986299999999999,1.0,1.0,0.99898,1.0,0.12,0.12,0.11925999999999999,0.0,0.0,0.00137,0.0,0.0,0.0010199999999999999
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.125,1.0,0.99869,1.0,1.0,0.9989299999999999,1.0,0.125,0.125,0.12422000000000001,0.0,0.0,0.00131,0.0,0.0,0.00107
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.13,1.0,0.99875,1.0,1.0,0.9988799999999999,1.0,0.13,0.13,0.12918,0.0,0.0,0.00125,0.0,0.0,0.00112
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.135,1.0,0.9988,1.0,1.0,0.9988299999999999,1.0,0.135,0.135,0.13415,0.0,0.0,0.0012,0.0,0.0,0.00117
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.14,1.0,0.99885,1.0,1.0,0.9987799999999999,1.0,0.14,0.14,0.13910999999999998,0.0,0.0,0.00115,0.0,0.0,0.00122
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.145,1.0,0.9989,1.0,1.0,0.9987299999999999,1.0,0.145,0.145,0.14407,0.0,0.0,0.0011,0.0,0.0,0.0012699999999999999
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.15,1.0,0.9989399999999999,1.0,1.0,0.9986700000000001,1.0,0.15,0.15,0.14903,0.0,0.0,0.00106,0.0,0.0,0.00133
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.155,1.0,0.99898,1.0,1.0,0.9986200000000001,1.0,0.155,0.155,0.15399000000000002,0.0,0.0,0.0010199999999999999,0.0,0.0,0.0013800000000000002
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.16,1.0,0.99902,1.0,1.0,0.9985700000000001,1.0,0.16,0.16,0.15895,0.0,0.0,0.00098,0.0,0.0,0.00143
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.165,1.0,0.99905,1.0,1.0,0.9985200000000001,1.0,0.165,0.165,0.16391,0.0,0.0,0.00095,0.0,0.0,0.00148
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.17,1.0,0.9990899999999999,1.0,1.0,0.99846,1.0,0.17,0.17,0.16888,0.0,0.0,0.00091,0.0,0.0,0.0015400000000000001
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.175,1.0,0.9991200000000001,1.0,1.0,0.99841,1.0,0.175,0.175,0.17384000000000002,0.0,0.0,0.00088,0.0,0.0,0.00159
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.18,1.0,0.99915,1.0,1.0,0.99835,1.0,0.18,0.18,0.1788,0.0,0.0,0.00085,0.0,0.0,0.00165
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.185,1.0,0.99918,1.0,1.0,0.9983,1.0,0.185,0.185,0.18375999999999998,0.0,0.0,0.00082,0.0,0.0,0.0017
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.19,1.0,0.9992,1.0,1.0,0.99824,1.0,0.19,0.19,0.18872,0.0,0.0,0.0008,0.0,0.0,0.00176
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.195,1.0,0.99923,1.0,1.0,0.99818,1.0,0.195,0.195,0.19368,0.0,0.0,0.0007700000000000001,0.0,0.0,0.00182
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.2,1.0,0.99925,1.0,1.0,0.9981200000000001,1.0,0.2,0.2,0.19864,0.0,0.0,0.00075,0.0,0.0,0.0018800000000000002
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.205,1.0,0.9992700000000001,1.0,1.0,0.9980600000000001,1.0,0.205,0.205,0.20360999999999999,0.0,0.0,0.00073,0.0,0.0,0.0019399999999999999
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.21,1.0,0.9993,1.0,1.0,0.998,1.0,0.21,0.21,0.20856999999999998,0.0,0.0,0.0007,0.0,0.0,0.002
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.215,1.0,0.9993200000000001,1.0,1.0,0.9979399999999999,1.0,0.215,0.215,0.21353000000000003,0.0,0.0,0.0006799999999999999,0.0,0.0,0.00206
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.22,1.0,0.99934,1.0,1.0,0.9978799999999999,1.0,0.22,0.22,0.21849000000000002,0.0,0.0,0.00066,0.0,0.0,0.00212
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.225,1.0,0.99936,1.0,1.0,0.99782,1.0,0.225,0.225,0.22345,0.0,0.0,0.00064,0.0,0.0,0.00218
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.23,1.0,0.9993700000000001,1.0,1.0,0.9977600000000001,1.0,0.23,0.23,0.22841,0.0,0.0,0.00063,0.0,0.0,0.00224
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.235,1.0,0.99939,1.0,1.0,0.99769,1.0,0.235,0.235,0.23337,0.0,0.0,0.00061,0.0,0.0,0.00231
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.24,1.0,0.99941,1.0,1.0,0.9976299999999999,1.0,0.24,0.24,0.23834,0.0,0.0,0.00059,0.0,0.0,0.00237
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.245,1.0,0.9994200000000001,1.0,1.0,0.9975700000000001,1.0,0.245,0.245,0.2433,0.0,0.0,0.00058,0.0,0.0,0.00243
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.25,1.0,0.99944,1.0,1.0,0.9975,1.0,0.25,0.25,0.24825999999999998,0.0,0.0,0.00056,0.0,0.0,0.0025
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.255,1.0,0.99945,1.0,1.0,0.9974299999999999,1.0,0.255,0.255,0.25322,0.0,0.0,0.00055,0.0,0.0,0.00257
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.26,1.0,0.9994700000000001,1.0,1.0,0.99736,1.0,0.26,0.26,0.25818,0.0,0.0,0.00053,0.0,0.0,0.00264
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.265,1.0,0.9994799999999999,1.0,1.0,0.9973,1.0,0.265,0.265,0.26314,0.0,0.0,0.0005200000000000001,0.0,0.0,0.0027
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.27,1.0,0.99949,1.0,1.0,0.99723,1.0,0.27,0.27,0.26811,0.0,0.0,0.0005099999999999999,0.0,0.0,0.00277
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.275,1.0,0.99951,1.0,1.0,0.99716,1.0,0.275,0.275,0.27307,0.0,0.0,0.00049,0.0,0.0,0.0028399999999999996
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.28,1.0,0.9995200000000001,1.0,1.0,0.99708,1.0,0.28,0.28,0.27803,0.0,0.0,0.00047999999999999996,0.0,0.0,0.00292
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.285,1.0,0.9995299999999999,1.0,1.0,0.9970100000000001,1.0,0.285,0.285,0.28299,0.0,0.0,0.00047000000000000004,0.0,0.0,0.00299
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.29,1.0,0.99954,1.0,1.0,0.9969399999999999,1.0,0.29,0.29,0.28795,0.0,0.0,0.00045999999999999996,0.0,0.0,0.0030600000000000002
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.295,1.0,0.99955,1.0,1.0,0.9968600000000001,1.0,0.295,0.295,0.29291,0.0,0.0,0.00045,0.0,0.0,0.00314
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.3,1.0,0.99956,1.0,1.0,0.99679,1.0,0.3,0.3,0.29786999999999997,0.0,0.0,0.00044,0.0,0.0,0.00321
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.305,1.0,0.9995700000000001,1.0,1.0,0.99671,1.0,0.305,0.305,0.30284,0.0,0.0,0.00043,0.0,0.0,0.00329
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.31,1.0,0.9995799999999999,1.0,1.0,0.9966299999999999,1.0,0.31,0.31,0.3078,0.0,0.0,0.00042,0.0,0.0,0.00337
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.315,1.0,0.99959,1.0,1.0,0.99655,1.0,0.315,0.315,0.31276,0.0,0.0,0.00041,0.0,0.0,0.00345
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.32,1.0,0.9996,1.0,1.0,0.9964700000000001,1.0,0.32,0.32,0.31772,0.0,0.0,0.0004,0.0,0.0,0.0035299999999999997
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.325,1.0,0.99961,1.0,1.0,0.99639,1.0,0.325,0.325,0.32268,0.0,0.0,0.00039,0.0,0.0,0.00361
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.33,1.0,0.9996200000000001,1.0,1.0,0.99631,1.0,0.33,0.33,0.32764,0.0,0.0,0.00037999999999999997,0.0,0.0,0.0036899999999999997
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.335,1.0,0.9996299999999999,1.0,1.0,0.99623,1.0,0.335,0.335,0.3326,0.0,0.0,0.00037,0.0,0.0,0.0037700000000000003
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.34,1.0,0.99964,1.0,1.0,0.9961399999999999,1.0,0.34,0.34,0.33757,0.0,0.0,0.00036,0.0,0.0,0.00386
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.345,1.0,0.99964,1.0,1.0,0.99605,1.0,0.345,0.345,0.34253,0.0,0.0,0.00036,0.0,0.0,0.00395
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.35,1.0,0.99965,1.0,1.0,0.99597,1.0,0.35,0.35,0.34749,0.0,0.0,0.00035,0.0,0.0,0.00403
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.355,1.0,0.99966,1.0,1.0,0.9958799999999999,1.0,0.355,0.355,0.35245,0.0,0.0,0.00033999999999999997,0.0,0.0,0.00412
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.36,1.0,0.9996700000000001,1.0,1.0,0.99579,1.0,0.36,0.36,0.35741,0.0,0.0,0.00033,0.0,0.0,0.00421
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.365,1.0,0.9996700000000001,1.0,1.0,0.9957,1.0,0.365,0.365,0.36236999999999997,0.0,0.0,0.00033,0.0,0.0,0.0043
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.37,1.0,0.9996799999999999,1.0,1.0,0.9956,1.0,0.37,0.37,0.36733000000000005,0.0,0.0,0.00032,0.0,0.0,0.0044
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.375,1.0,0.99969,1.0,1.0,0.99551,1.0,0.375,0.375,0.3723,0.0,0.0,0.00031,0.0,0.0,0.00449
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.38,1.0,0.99969,1.0,1.0,0.99541,1.0,0.38,0.38,0.37726,0.0,0.0,0.00031,0.0,0.0,0.0045899999999999995
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.385,1.0,0.9997,1.0,1.0,0.99531,1.0,0.385,0.385,0.38222,0.0,0.0,0.0003,0.0,0.0,0.00469
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.39,1.0,0.99971,1.0,1.0,0.99521,1.0,0.39,0.39,0.38718,0.0,0.0,0.00029,0.0,0.0,0.00479
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.395,1.0,0.99971,1.0,1.0,0.99511,1.0,0.395,0.395,0.39214,0.0,0.0,0.00029,0.0,0.0,0.00489
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.4,1.0,0.99972,1.0,1.0,0.9950100000000001,1.0,0.4,0.4,0.3971,0.0,0.0,0.00028,0.0,0.0,0.00499
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.405,1.0,0.9997299999999999,1.0,1.0,0.9949100000000001,1.0,0.405,0.405,0.40206,0.0,0.0,0.00027,0.0,0.0,0.00509
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.41,1.0,0.9997299999999999,1.0,1.0,0.9948,1.0,0.41,0.41,0.40703,0.0,0.0,0.00027,0.0,0.0,0.0052
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.415,1.0,0.99974,1.0,1.0,0.99469,1.0,0.415,0.415,0.41198999999999997,0.0,0.0,0.00026000000000000003,0.0,0.0,0.0053100000000000005
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.42,1.0,0.99974,1.0,1.0,0.9945799999999999,1.0,0.42,0.42,0.41695,0.0,0.0,0.00026000000000000003,0.0,0.0,0.00542
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.425,1.0,0.99975,1.0,1.0,0.9944700000000001,1.0,0.425,0.425,0.42191000000000006,0.0,0.0,0.00025,0.0,0.0,0.005529999999999999
"Mayo Clinic Laboratories, Rochester, MN",SARS-CoV-2 Molecular Detection Assay,0.43,1.0,0.99975,1.0,1.0,0.99436,1.0,0.43,0.43,0.42686999999999997,0.0,0.0,0.00025,0.0,0.0,0.00564
