company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.005,1.0,0.03676,1.0,0.99839,0.9975299999999999,0.9989600000000001,0.0034,0.00396,0.0737,0.0,0.0,0.96324,0.00161,0.0010400000000000001,0.00247
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.01,1.0,0.07125,1.0,0.9967799999999999,0.9950399999999999,0.9979100000000001,0.0068,0.00792,0.07606,0.0,0.0,0.92875,0.00322,0.00209,0.00496
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.015,1.0,0.10367,1.0,0.99515,0.99254,0.99685,0.0102,0.011890000000000001,0.07841000000000001,0.0,0.0,0.89633,0.00485,0.00315,0.00746
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.02,1.0,0.1342,1.0,0.99351,0.99003,0.9957799999999999,0.0136,0.01585,0.08076,0.0,0.0,0.8658,0.006490000000000001,0.004220000000000001,0.00997
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.025,1.0,0.163,1.0,0.9918600000000001,0.98751,0.99471,0.017,0.019809999999999998,0.08311,0.0,0.0,0.8370000000000001,0.008140000000000001,0.0052899999999999996,0.012490000000000001
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.03,1.0,0.19021,1.0,0.9902,0.9849700000000001,0.9936200000000001,0.0204,0.02377,0.08547,0.0,0.0,0.80979,0.0098,0.006379999999999999,0.015030000000000002
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.035,1.0,0.21597,1.0,0.9885299999999999,0.9824200000000001,0.9925299999999999,0.0238,0.02773,0.08782000000000001,0.0,0.0,0.78403,0.011470000000000001,0.00747,0.017580000000000002
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.04,1.0,0.24038,1.0,0.9868399999999999,0.9798600000000001,0.9914200000000001,0.0272,0.0317,0.09017,0.0,0.0,0.75962,0.01316,0.008579999999999999,0.02014
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.045,1.0,0.26355,1.0,0.98515,0.9772799999999999,0.99031,0.0306,0.035660000000000004,0.09252,0.0,0.0,0.73645,0.01485,0.00969,0.022719999999999997
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.05,1.0,0.28558,1.0,0.98344,0.97469,0.98919,0.034,0.039619999999999995,0.09487999999999999,0.0,0.0,0.7144199999999999,0.01656,0.01081,0.02531
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.055,1.0,0.30653,1.0,0.98172,0.97209,0.98806,0.0374,0.04358,0.09723,0.0,0.0,0.69347,0.01828,0.011940000000000001,0.02791
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.06,1.0,0.3265,1.0,0.97998,0.96947,0.98692,0.0408,0.04755,0.09958,0.0,0.0,0.6735,0.02002,0.013080000000000001,0.03053
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.065,1.0,0.34554,1.0,0.97824,0.9668399999999999,0.98577,0.0442,0.05151,0.10194,0.0,0.0,0.65446,0.021759999999999998,0.014230000000000001,0.03316
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.07,1.0,0.36373,1.0,0.9764799999999999,0.9642,0.98462,0.0476,0.055470000000000005,0.10429000000000001,0.0,0.0,0.63627,0.02352,0.015380000000000001,0.0358
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.075,1.0,0.38111,1.0,0.9747100000000001,0.96154,0.98345,0.051,0.05943,0.10664000000000001,0.0,0.0,0.6188899999999999,0.02529,0.01655,0.03846
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.08,1.0,0.39774,1.0,0.97293,0.9588700000000001,0.9822700000000001,0.0544,0.06339,0.10899,0.0,0.0,0.60226,0.02707,0.017730000000000003,0.04113
Mesa Biotech Inc.,Accula SARS-CoV-2 POCT - Source: FindDx 1,0.085,1.0,0.41367,1.0,0.9711299999999999,0.9561799999999999,0.98108,0.0578,0.06736,0.11135,0.0,0.0,0.58633,0.02887,0.01892,0.04382
