company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.005,1.0,0.01924,1.0,1.0,0.99871,1.0,0.005,0.005,0.20685,0.0,0.0,0.9807600000000001,0.0,0.0,0.0012900000000000001
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.01,1.0,0.037939999999999995,1.0,1.0,0.9974200000000001,1.0,0.01,0.01,0.20981,0.0,0.0,0.96206,0.0,0.0,0.0025800000000000003
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.015,1.0,0.05612,1.0,1.0,0.9961200000000001,1.0,0.015,0.015,0.21277,0.0,0.0,0.9438799999999999,0.0,0.0,0.0038799999999999998
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.02,1.0,0.0738,1.0,1.0,0.9948,1.0,0.02,0.02,0.21573,0.0,0.0,0.9262,0.0,0.0,0.0052
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.025,1.0,0.09101000000000001,1.0,1.0,0.9934799999999999,1.0,0.025,0.025,0.21869,0.0,0.0,0.90899,0.0,0.0,0.006520000000000001
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.03,1.0,0.10775,1.0,1.0,0.9921399999999999,1.0,0.03,0.03,0.22166,0.0,0.0,0.89225,0.0,0.0,0.007859999999999999
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.035,1.0,0.12405,1.0,1.0,0.9908,1.0,0.035,0.035,0.22462,0.0,0.0,0.87595,0.0,0.0,0.0092
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.04,1.0,0.13993,1.0,1.0,0.98944,1.0,0.04,0.04,0.22758,0.0,0.0,0.8600700000000001,0.0,0.0,0.01056
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.045,1.0,0.1554,1.0,1.0,0.98808,1.0,0.045,0.045,0.23054000000000002,0.0,0.0,0.8446,0.0,0.0,0.01192
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.05,1.0,0.17047,1.0,1.0,0.9867,1.0,0.05,0.05,0.2335,0.0,0.0,0.8295299999999999,0.0,0.0,0.0133
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.055,1.0,0.18517,1.0,1.0,0.98531,1.0,0.055,0.055,0.23646,0.0,0.0,0.81483,0.0,0.0,0.01469
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.06,1.0,0.19951,1.0,1.0,0.9839200000000001,1.0,0.06,0.06,0.23942,0.0,0.0,0.8004899999999999,0.0,0.0,0.01608
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.065,1.0,0.21349,1.0,1.0,0.98251,1.0,0.065,0.065,0.24238,0.0,0.0,0.78651,0.0,0.0,0.017490000000000002
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.07,1.0,0.22714,1.0,1.0,0.98109,1.0,0.07,0.07,0.24534,0.0,0.0,0.77286,0.0,0.0,0.01891
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.075,1.0,0.24045999999999998,1.0,1.0,0.9796600000000001,1.0,0.075,0.075,0.24831,0.0,0.0,0.75954,0.0,0.0,0.02034
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.08,1.0,0.25347,1.0,1.0,0.9782200000000001,1.0,0.08,0.08,0.25127,0.0,0.0,0.74653,0.0,0.0,0.02178
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.085,1.0,0.26618,1.0,1.0,0.9767600000000001,1.0,0.085,0.085,0.25423,0.0,0.0,0.73382,0.0,0.0,0.02324
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.09,1.0,0.27859,1.0,1.0,0.9753,1.0,0.09,0.09,0.25719000000000003,0.0,0.0,0.72141,0.0,0.0,0.0247
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.095,1.0,0.29072,1.0,1.0,0.97382,1.0,0.095,0.095,0.26015,0.0,0.0,0.70928,0.0,0.0,0.026180000000000002
"NeuMoDx Molecular, Inc.",NeuMoDx SARS-CoV-2 Assay,0.1,1.0,0.30258,1.0,1.0,0.9723299999999999,1.0,0.1,0.1,0.26311,0.0,0.0,0.6974199999999999,0.0,0.0,0.02767
