company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.005,1.0,0.03573,1.0,1.0,0.9993700000000001,1.0,0.005,0.005,0.12449,0.0,0.0,0.9642700000000001,0.0,0.0,0.00063
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.01,1.0,0.06932999999999999,1.0,1.0,0.99874,1.0,0.01,0.01,0.12834,0.0,0.0,0.9306700000000001,0.0,0.0,0.00126
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.015,1.0,0.10097,1.0,1.0,0.9980899999999999,1.0,0.015,0.015,0.13218,0.0,0.0,0.8990299999999999,0.0,0.0,0.0019100000000000002
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.02,1.0,0.13082,1.0,1.0,0.99745,1.0,0.02,0.02,0.13602999999999998,0.0,0.0,0.86918,0.0,0.0,0.00255
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.025,1.0,0.15902,1.0,1.0,0.9968,1.0,0.025,0.025,0.13987,0.0,0.0,0.84098,0.0,0.0,0.0032
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.03,1.0,0.18572,1.0,1.0,0.9961399999999999,1.0,0.03,0.03,0.14372000000000001,0.0,0.0,0.81428,0.0,0.0,0.00386
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.035,1.0,0.21103000000000002,1.0,1.0,0.9954700000000001,1.0,0.035,0.035,0.14757,0.0,0.0,0.78897,0.0,0.0,0.004529999999999999
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.04,1.0,0.23505,1.0,1.0,0.9948,1.0,0.04,0.04,0.15141,0.0,0.0,0.76495,0.0,0.0,0.0052
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.045,1.0,0.25789,1.0,1.0,0.99413,1.0,0.045,0.045,0.15525999999999998,0.0,0.0,0.74211,0.0,0.0,0.00587
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.05,1.0,0.27960999999999997,1.0,1.0,0.99344,1.0,0.05,0.05,0.1591,0.0,0.0,0.72039,0.0,0.0,0.00656
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.055,1.0,0.30032,1.0,1.0,0.9927600000000001,1.0,0.055,0.055,0.16295,0.0,0.0,0.69968,0.0,0.0,0.007240000000000001
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.06,1.0,0.32006,1.0,1.0,0.99206,1.0,0.06,0.06,0.16679000000000002,0.0,0.0,0.67994,0.0,0.0,0.007940000000000001
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.065,1.0,0.33892,1.0,1.0,0.99136,1.0,0.065,0.065,0.17064,0.0,0.0,0.66108,0.0,0.0,0.00864
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.07,1.0,0.35695,1.0,1.0,0.99065,1.0,0.07,0.07,0.17448,0.0,0.0,0.64305,0.0,0.0,0.00935
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.075,1.0,0.3742,1.0,1.0,0.9899399999999999,1.0,0.075,0.075,0.17833,0.0,0.0,0.6258,0.0,0.0,0.01006
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.08,1.0,0.39071999999999996,1.0,1.0,0.98921,1.0,0.08,0.08,0.18217,0.0,0.0,0.60928,0.0,0.0,0.010790000000000001
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.085,1.0,0.40656,1.0,1.0,0.98849,1.0,0.085,0.085,0.18602,0.0,0.0,0.59344,0.0,0.0,0.01151
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.09,1.0,0.42175,1.0,1.0,0.98775,1.0,0.09,0.09,0.18987,0.0,0.0,0.57825,0.0,0.0,0.01225
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.095,1.0,0.43635,1.0,1.0,0.98701,1.0,0.095,0.095,0.19371,0.0,0.0,0.56365,0.0,0.0,0.01299
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.1,1.0,0.45037,1.0,1.0,0.98626,1.0,0.1,0.1,0.19755999999999999,0.0,0.0,0.5496300000000001,0.0,0.0,0.01374
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.105,1.0,0.46386000000000005,1.0,1.0,0.9855,1.0,0.105,0.105,0.2014,0.0,0.0,0.53614,0.0,0.0,0.0145
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.11,1.0,0.47685,1.0,1.0,0.98474,1.0,0.11,0.11,0.20525,0.0,0.0,0.52315,0.0,0.0,0.01526
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.115,1.0,0.48935,1.0,1.0,0.9839700000000001,1.0,0.115,0.115,0.20909,0.0,0.0,0.51065,0.0,0.0,0.016030000000000003
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.12,1.0,0.50141,1.0,1.0,0.98319,1.0,0.12,0.12,0.21294000000000002,0.0,0.0,0.49859,0.0,0.0,0.01681
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.125,1.0,0.51303,1.0,1.0,0.9824,1.0,0.125,0.125,0.21678000000000003,0.0,0.0,0.48696999999999996,0.0,0.0,0.0176
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.13,1.0,0.5242600000000001,1.0,1.0,0.98161,1.0,0.13,0.13,0.22063000000000002,0.0,0.0,0.47573999999999994,0.0,0.0,0.01839
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.135,1.0,0.53509,1.0,1.0,0.9808100000000001,1.0,0.135,0.135,0.22446999999999998,0.0,0.0,0.46491000000000005,0.0,0.0,0.019190000000000002
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.14,1.0,0.54557,1.0,1.0,0.98,1.0,0.14,0.14,0.22832,0.0,0.0,0.45443,0.0,0.0,0.02
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.145,1.0,0.55569,1.0,1.0,0.9791799999999999,1.0,0.145,0.145,0.23217,0.0,0.0,0.44431000000000004,0.0,0.0,0.020819999999999998
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.15,1.0,0.5654899999999999,1.0,1.0,0.97835,1.0,0.15,0.15,0.23601,0.0,0.0,0.43451000000000006,0.0,0.0,0.02165
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.155,1.0,0.57497,1.0,1.0,0.97752,1.0,0.155,0.155,0.23986,0.0,0.0,0.42503,0.0,0.0,0.02248
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.16,1.0,0.58415,1.0,1.0,0.97667,1.0,0.16,0.16,0.2437,0.0,0.0,0.41585,0.0,0.0,0.02333
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.165,1.0,0.59305,1.0,1.0,0.97582,1.0,0.165,0.165,0.24755,0.0,0.0,0.40695,0.0,0.0,0.02418
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.17,1.0,0.6016699999999999,1.0,1.0,0.97496,1.0,0.17,0.17,0.25139,0.0,0.0,0.39833,0.0,0.0,0.02504
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.175,1.0,0.6100399999999999,1.0,1.0,0.97409,1.0,0.175,0.175,0.25524,0.0,0.0,0.38996,0.0,0.0,0.025910000000000002
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.18,1.0,0.61815,1.0,1.0,0.97321,1.0,0.18,0.18,0.25908000000000003,0.0,0.0,0.38185,0.0,0.0,0.026789999999999998
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.185,1.0,0.62603,1.0,1.0,0.9723299999999999,1.0,0.185,0.185,0.26293,0.0,0.0,0.37396999999999997,0.0,0.0,0.02767
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.19,1.0,0.63368,1.0,1.0,0.9714299999999999,1.0,0.19,0.19,0.26678,0.0,0.0,0.36632,0.0,0.0,0.028569999999999998
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.195,1.0,0.64112,1.0,1.0,0.97052,1.0,0.195,0.195,0.27061999999999997,0.0,0.0,0.35888000000000003,0.0,0.0,0.029480000000000003
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.2,1.0,0.6483399999999999,1.0,1.0,0.9696100000000001,1.0,0.2,0.2,0.27447,0.0,0.0,0.35166,0.0,0.0,0.030389999999999997
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.205,1.0,0.65537,1.0,1.0,0.9686799999999999,1.0,0.205,0.205,0.27831,0.0,0.0,0.34463,0.0,0.0,0.03132
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.21,1.0,0.6622,1.0,1.0,0.9677399999999999,1.0,0.21,0.21,0.28215999999999997,0.0,0.0,0.3378,0.0,0.0,0.032260000000000004
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.215,1.0,0.66886,1.0,1.0,0.9668,1.0,0.215,0.215,0.28600000000000003,0.0,0.0,0.33114,0.0,0.0,0.0332
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.22,1.0,0.67533,1.0,1.0,0.9658399999999999,1.0,0.22,0.22,0.28985,0.0,0.0,0.32466999999999996,0.0,0.0,0.03416
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.225,1.0,0.6816399999999999,1.0,1.0,0.96488,1.0,0.225,0.225,0.29369,0.0,0.0,0.31836,0.0,0.0,0.03512
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.23,1.0,0.6877800000000001,1.0,1.0,0.9639,1.0,0.23,0.23,0.29754,0.0,0.0,0.31222,0.0,0.0,0.0361
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.235,1.0,0.69376,1.0,1.0,0.96291,1.0,0.235,0.235,0.30138000000000004,0.0,0.0,0.30624,0.0,0.0,0.03709
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.24,1.0,0.6996,1.0,1.0,0.96191,1.0,0.24,0.24,0.30523,0.0,0.0,0.3004,0.0,0.0,0.03809
"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,0.245,1.0,0.70529,1.0,1.0,0.9609,1.0,0.245,0.245,0.30908,0.0,0.0,0.29470999999999997,0.0,0.0,0.0391
