company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.005,1.0,0.0074120663035561465,1.0,1.0,0.9968612173348754,1.0,0.005,0.005,0.4355473430634446,0.0,0.0,0.9925879336964438,0.0,0.0,0.003138782665124573
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.01,1.0,0.014788283040068675,1.0,1.0,0.9937106700366324,1.0,0.01,0.01,0.4366031913748082,0.0,0.0,0.9852117169599314,0.0,0.0,0.006289329963367618
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.015,1.0,0.02212890966976617,1.0,1.0,0.990548291837639,1.0,0.015,0.015,0.43765903968617176,0.0,0.0,0.9778710903302338,0.0,0.0,0.00945170816236096
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.02,1.0,0.029434203155121588,1.0,1.0,0.9873740159716315,1.0,0.02,0.02,0.4387148879975353,0.0,0.0,0.9705657968448784,0.0,0.0,0.012625984028368452
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.025,1.0,0.036704417990836666,1.0,1.0,0.9841877751690162,1.0,0.025,0.025,0.4397707363088989,0.0,0.0,0.9632955820091632,0.0,0.0,0.015812224830983768
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.03,1.0,0.04393980623339538,1.0,1.0,0.9809895016521176,1.0,0.03,0.03,0.4408265846202624,0.0,0.0,0.9560601937666048,0.0,0.0,0.019010498347882262
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.035,1.0,0.05114061753019373,1.0,1.0,0.9777791271303724,1.0,0.035,0.035,0.44188243293162605,0.0,0.0,0.9488593824698064,0.0,0.0,0.022220872869627598
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.04,1.0,0.05830709914825295,1.0,1.0,0.974556582795468,1.0,0.04,0.04,0.4429382812429895,0.0,0.0,0.9416929008517472,0.0,0.0,0.025443417204532026
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.045,1.0,0.06543949600252286,1.0,1.0,0.971321799316428,1.0,0.045,0.045,0.4439941295543531,0.0,0.0,0.9345605039974773,0.0,0.0,0.02867820068357185
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.05,1.0,0.07253805068378258,1.0,1.0,0.9680747068346396,1.0,0.05,0.05,0.4450499778657167,0.0,0.0,0.9274619493162174,0.0,0.0,0.031925293165360524
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.055,1.0,0.07960300348614484,1.0,1.0,0.9648152349588228,1.0,0.055,0.055,0.4461058261770802,0.0,0.0,0.9203969965138552,0.0,0.0,0.03518476504117718
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.06,1.0,0.08663459243417065,1.0,1.0,0.9615433127599472,1.0,0.06,0.06,0.4471616744884437,0.0,0.0,0.9133654075658292,0.0,0.0,0.0384566872400528
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.065,1.0,0.0936330533096008,1.0,1.0,0.9582588687660842,1.0,0.065,0.065,0.44821752279980737,0.0,0.0,0.9063669466903992,0.0,0.0,0.04174113123391576
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.07,1.0,0.10059861967771046,1.0,1.0,0.9549618309572036,1.0,0.07,0.07,0.4492733711111709,0.0,0.0,0.8994013803222896,0.0,0.0,0.04503816904279645
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.075,1.0,0.10753152291329277,1.0,1.0,0.9516521267599104,1.0,0.07500000000000001,0.07500000000000001,0.4503292194225345,0.0,0.0,0.8924684770867073,0.0,0.0,0.04834787324008971
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.08,1.0,0.1144319922262782,1.0,1.0,0.948329683042118,1.0,0.08,0.08,0.4513850677338979,0.0,0.0,0.8855680077737218,0.0,0.0,0.05167031695788205
Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,0.085,1.0,0.12130025468699475,1.0,1.0,0.9449944261076632,1.0,0.085,0.085,0.4524409160452616,0.0,0.0,0.8786997453130052,0.0,0.0,0.055005573892336734
