company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.005,0.11654,0.030019999999999998,0.35293,0.99871,0.9978100000000001,0.99926,0.03218,0.0121,0.10086,0.88346,0.64707,0.96998,0.0012900000000000001,0.00074,0.0021899999999999997
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.01,0.20958000000000002,0.058570000000000004,0.52298,0.99741,0.9956,0.9985200000000001,0.035789999999999995,0.01633,0.1034,0.79042,0.47702,0.9414299999999999,0.00259,0.00148,0.0044
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.015,0.28558,0.08575,0.62305,0.9961,0.9933799999999999,0.99777,0.039389999999999994,0.020569999999999998,0.10593,0.7144199999999999,0.37695,0.91425,0.0039,0.00223,0.00662
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.02,0.34884,0.11166,0.68897,0.9947799999999999,0.99115,0.9970100000000001,0.043,0.0248,0.10847000000000001,0.6511600000000001,0.31103000000000003,0.88834,0.005220000000000001,0.00299,0.00885
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.025,0.4023,0.13639,0.7356699999999999,0.99344,0.9889100000000001,0.99625,0.046610000000000006,0.02903,0.11101,0.5977,0.26433,0.86361,0.00656,0.00375,0.011090000000000001
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.03,0.44808000000000003,0.16000999999999999,0.77048,0.9921,0.98665,0.9954799999999999,0.050210000000000005,0.033260000000000005,0.11354000000000002,0.55192,0.22951999999999997,0.83999,0.0079,0.004520000000000001,0.01335
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.035,0.48772,0.1826,0.7974399999999999,0.99075,0.9843799999999999,0.9947,0.05382000000000001,0.037489999999999996,0.11607999999999999,0.5122800000000001,0.20256,0.8174,0.00925,0.0053,0.015619999999999998
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.04,0.5223899999999999,0.20422,0.81892,0.98939,0.9821,0.99392,0.057429999999999995,0.04173,0.11862,0.47761000000000003,0.18108,0.79578,0.01061,0.0060799999999999995,0.0179
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.045,0.55295,0.22494,0.83645,0.9880200000000001,0.9798,0.99313,0.06104,0.04596,0.12115,0.44705,0.16355,0.7750600000000001,0.01198,0.00687,0.0202
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.05,0.58011,0.24481,0.85103,0.98664,0.9775,0.9923299999999999,0.06464,0.05019,0.12369000000000001,0.41989,0.14897,0.7551899999999999,0.013359999999999999,0.007670000000000001,0.0225
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.055,0.6044,0.26388,0.8633299999999999,0.98524,0.9751700000000001,0.9915200000000001,0.06825,0.05442,0.12622,0.3956,0.13667,0.73612,0.014759999999999999,0.00848,0.02483
"OptiGene Ltd. (Camberley, UK)",LAMP-COVID-19,0.06,0.62624,0.28219,0.87387,0.9838399999999999,0.9728399999999999,0.9907100000000001,0.07186000000000001,0.05865,0.12875999999999999,0.37376,0.12613,0.7178100000000001,0.01616,0.009290000000000001,0.027160000000000004
