company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.005,1.0,0.1776,1.0,0.99964,0.99903,0.9998799999999999,0.00464,0.00488,0.0228,0.0,0.0,0.8224,0.00036,0.00011999999999999999,0.0009699999999999999
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.01,1.0,0.30269,1.0,0.99928,0.99805,0.99975,0.009290000000000001,0.00975,0.026760000000000003,0.0,0.0,0.69731,0.00072,0.00025,0.00195
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.015,1.0,0.39557,1.0,0.9989100000000001,0.9970600000000001,0.9996299999999999,0.013930000000000001,0.01463,0.03071,0.0,0.0,0.60443,0.00109,0.00037,0.00294
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.02,1.0,0.46725,1.0,0.99854,0.9960600000000001,0.9995,0.01857,0.01951,0.03467,0.0,0.0,0.53275,0.00146,0.0005,0.00394
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.025,1.0,0.5242399999999999,1.0,0.9981700000000001,0.99506,0.9993700000000001,0.023209999999999998,0.024390000000000002,0.03862,0.0,0.0,0.47576,0.00183,0.00063,0.00494
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.03,1.0,0.57065,1.0,0.9978,0.9940399999999999,0.99924,0.027860000000000003,0.02926,0.04258,0.0,0.0,0.42935,0.0022,0.0007599999999999999,0.00596
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.035,1.0,0.60917,1.0,0.9974200000000001,0.9930200000000001,0.99911,0.0325,0.03414,0.04653,0.0,0.0,0.39083,0.0025800000000000003,0.0008900000000000001,0.00698
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.04,1.0,0.64166,1.0,0.99703,0.9919899999999999,0.99898,0.03714,0.03902,0.05049,0.0,0.0,0.35834,0.00297,0.0010199999999999999,0.00801
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.045,1.0,0.66942,1.0,0.99665,0.99095,0.99884,0.04179,0.04389,0.054439999999999995,0.0,0.0,0.33058000000000004,0.00335,0.00116,0.00905
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.05,1.0,0.69342,1.0,0.99625,0.9899100000000001,0.99871,0.04643,0.04877,0.0584,0.0,0.0,0.30658,0.00375,0.0012900000000000001,0.01009
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.055,1.0,0.71438,1.0,0.9958600000000001,0.98885,0.9985700000000001,0.05107,0.05365,0.06235,0.0,0.0,0.28562,0.00414,0.00143,0.01115
"Outdo Biotech Co., Ltd",Unknown Test Name - Source: FindDx 1,0.06,1.0,0.7328399999999999,1.0,0.99546,0.9877799999999999,0.9984299999999999,0.05571,0.05852,0.06631000000000001,0.0,0.0,0.26716,0.00454,0.00157,0.01222
