company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.005,0.3042,0.07192,0.71208,1.0,0.99979,1.0,0.01644,0.00702,0.06676,0.6958,0.28792,0.9280799999999999,0.0,0.0,0.00021
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.01,0.46774,0.13477999999999998,0.8325299999999999,1.0,0.9995700000000001,1.0,0.02138,0.01201,0.07125,0.5322600000000001,0.16747,0.8652200000000001,0.0,0.0,0.00043
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.015,0.56987,0.19018,0.88228,1.0,0.99936,1.0,0.02632,0.017,0.07574,0.43013,0.11772,0.80982,0.0,0.0,0.00064
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.02,0.63971,0.23938,0.90945,1.0,0.9991399999999999,1.0,0.03126,0.02199,0.08023,0.36029,0.09055,0.76062,0.0,0.0,0.00086
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.025,0.69048,0.28336999999999996,0.92658,1.0,0.99892,1.0,0.03621,0.02698,0.08472,0.30951999999999996,0.07342,0.71663,0.0,0.0,0.00108
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.03,0.72905,0.32293,0.93835,1.0,0.99869,1.0,0.04115,0.03197,0.08922000000000001,0.27095,0.06165,0.67707,0.0,0.0,0.00131
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.035,0.75935,0.35869,0.94695,1.0,0.9984700000000001,1.0,0.04609,0.03696,0.09371,0.24065,0.05305,0.64131,0.0,0.0,0.0015300000000000001
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.04,0.78378,0.39119,0.9535,1.0,0.99824,1.0,0.05103,0.04195,0.0982,0.21622,0.0465,0.6088100000000001,0.0,0.0,0.00176
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.045,0.8039,0.42083999999999994,0.9586600000000001,1.0,0.9980100000000001,1.0,0.055979999999999995,0.046939999999999996,0.10269,0.1961,0.041339999999999995,0.57916,0.0,0.0,0.00199
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.05,0.82075,0.44801,0.96283,1.0,0.9977799999999999,1.0,0.06092,0.05193,0.10718,0.17925,0.03717,0.55199,0.0,0.0,0.0022199999999999998
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.055,0.8350799999999999,0.473,0.9662700000000001,1.0,0.99754,1.0,0.06586,0.056920000000000005,0.11167,0.16492,0.03373,0.527,0.0,0.0,0.00246
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.06,0.8474,0.49605,0.96915,1.0,0.99731,1.0,0.0708,0.06191,0.11615999999999999,0.1526,0.03085,0.50395,0.0,0.0,0.0026899999999999997
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.065,0.8581200000000001,0.51739,0.9716,1.0,0.9970700000000001,1.0,0.07575,0.0669,0.12065,0.14188,0.0284,0.48261000000000004,0.0,0.0,0.00293
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.07,0.8675200000000001,0.53719,0.9737100000000001,1.0,0.9968299999999999,1.0,0.08069,0.07189,0.12514,0.13248,0.026289999999999997,0.46281000000000005,0.0,0.0,0.00317
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.075,0.87584,0.5556300000000001,0.97555,1.0,0.9965799999999999,1.0,0.08563,0.07687999999999999,0.12963,0.12415999999999999,0.02445,0.44437,0.0,0.0,0.0034200000000000003
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.08,0.88325,0.5728300000000001,0.9771700000000001,1.0,0.9963299999999999,1.0,0.09057,0.08187,0.13412000000000002,0.11675,0.02283,0.42717,0.0,0.0,0.00367
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.085,0.88989,0.58891,0.9786,1.0,0.9960899999999999,1.0,0.09552000000000001,0.08686,0.13860999999999998,0.11010999999999999,0.0214,0.41108999999999996,0.0,0.0,0.00391
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.09,0.8958799999999999,0.6039899999999999,0.97987,1.0,0.9958299999999999,1.0,0.10046000000000001,0.09185,0.1431,0.10412,0.020130000000000002,0.39601,0.0,0.0,0.00417
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.095,0.90131,0.61815,0.98101,1.0,0.9955799999999999,1.0,0.1054,0.09684,0.14759,0.09869,0.01899,0.38185,0.0,0.0,0.00442
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.1,0.90625,0.63147,0.9820399999999999,1.0,0.9953200000000001,1.0,0.11034000000000001,0.10182999999999999,0.15208,0.09375,0.01796,0.36853,0.0,0.0,0.00468
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.105,0.9107700000000001,0.64403,0.98298,1.0,0.99506,1.0,0.11529,0.10682,0.15657000000000001,0.08922999999999999,0.01702,0.35597,0.0,0.0,0.00494
"P23 Labs, LLC",P23 Labs TaqPath SARS-CoV-2 Assay,0.11,0.91491,0.65588,0.98383,1.0,0.9948,1.0,0.12022999999999999,0.11180999999999999,0.16105999999999998,0.08509,0.01617,0.34412,0.0,0.0,0.0052
