company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.005,0.16247999999999999,0.04334,0.43682,0.9992200000000001,0.9983200000000001,0.99966,0.02611,0.01069,0.0797,0.83752,0.56318,0.9566600000000001,0.00078,0.00033999999999999997,0.00168
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.01,0.28055,0.08346,0.60924,0.99844,0.9966299999999999,0.9993200000000001,0.030239999999999996,0.015319999999999999,0.08277000000000001,0.71945,0.39076,0.9165399999999999,0.00156,0.0006799999999999999,0.00337
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.015,0.37024,0.1207,0.7015399999999999,0.99765,0.99493,0.99898,0.03438,0.01996,0.08585,0.62976,0.29846,0.8793,0.00235,0.0010199999999999999,0.00507
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.02,0.44068,0.15538,0.7590399999999999,0.99685,0.99321,0.99864,0.03851,0.0246,0.08892,0.5593199999999999,0.24095999999999998,0.84462,0.00315,0.0013599999999999999,0.006790000000000001
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.025,0.49746,0.18774000000000002,0.7982899999999999,0.9960399999999999,0.99149,0.99829,0.04264,0.029230000000000003,0.09199,0.50254,0.20171,0.81226,0.00396,0.0017100000000000001,0.00851
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.03,0.5442100000000001,0.21800999999999998,0.8268,0.99523,0.98975,0.9979299999999999,0.04677,0.03387,0.09506,0.45579,0.1732,0.78199,0.00477,0.00207,0.01025
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.035,0.5833699999999999,0.24639,0.84844,0.99441,0.988,0.9975799999999999,0.050910000000000004,0.03851,0.09813,0.41663,0.15156,0.75361,0.0055899999999999995,0.00242,0.012
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.04,0.61665,0.27304,0.8654299999999999,0.99359,0.98624,0.9972200000000001,0.05504,0.04315,0.1012,0.38335,0.13457,0.72696,0.006409999999999999,0.00278,0.01376
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.045,0.64528,0.29813,0.87913,0.99275,0.9844700000000001,0.9968600000000001,0.05917000000000001,0.04778,0.10427,0.35472,0.12087,0.70187,0.00725,0.00314,0.01553
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.05,0.6701699999999999,0.32178,0.8904,0.9919100000000001,0.9826799999999999,0.99649,0.0633,0.05242,0.10734,0.32983,0.1096,0.6782199999999999,0.00809,0.00351,0.01732
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.055,0.69202,0.34410999999999997,0.8998299999999999,0.99106,0.98088,0.9961200000000001,0.06744,0.05706,0.11041,0.30798000000000003,0.10017000000000001,0.65589,0.00894,0.0038799999999999998,0.019119999999999998
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.06,0.71133,0.36523,0.90785,0.99021,0.9790700000000001,0.99575,0.07157000000000001,0.061689999999999995,0.11348,0.28867,0.09215,0.63477,0.00979,0.00425,0.02093
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.065,0.72854,0.38525,0.91475,0.98934,0.97725,0.9953700000000001,0.0757,0.06633,0.11655,0.27146,0.08525,0.61475,0.01066,0.00463,0.02275
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.07,0.74397,0.40423000000000003,0.92075,0.9884700000000001,0.97541,0.9949899999999999,0.07983,0.07097,0.11962,0.25603000000000004,0.07925,0.59577,0.01153,0.0050100000000000006,0.02459
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.075,0.75788,0.42226,0.92601,0.98759,0.97357,0.9946,0.08397,0.07561,0.1227,0.24211999999999997,0.07399,0.5777399999999999,0.01241,0.0054,0.026430000000000002
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.08,0.77049,0.43942,0.93066,0.9867100000000001,0.9717100000000001,0.9942200000000001,0.0881,0.08023999999999999,0.12577,0.22951,0.06934,0.56058,0.01329,0.0057799999999999995,0.02829
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.085,0.78196,0.45575,0.93481,0.9858100000000001,0.96983,0.99382,0.09222999999999999,0.08488,0.12884,0.21804,0.06519,0.54425,0.014190000000000001,0.00618,0.03017
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.09,0.79245,0.47133,0.93852,0.9849100000000001,0.9679399999999999,0.9934299999999999,0.09636,0.08952,0.13191,0.20755,0.06147999999999999,0.52867,0.015090000000000001,0.00657,0.032060000000000005
Pathology/Laboratory Medicine Lab of Baptist Hospital Miami,COVID-19 RT-PCR Test,0.095,0.80208,0.48618999999999996,0.9418700000000001,0.9840000000000001,0.96604,0.99303,0.1005,0.09416000000000001,0.13498,0.19792,0.058129999999999994,0.51381,0.016,0.0069700000000000005,0.033960000000000004
