company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.005,1.0,0.044302276163519984,1.0,1.0,0.9995115843514468,1.0,0.005,0.005,0.10297162355518984,0.0,0.0,0.9556977238364799,0.0,0.0,0.0004884156485532866
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.01,1.0,0.08523768302281748,1.0,1.0,0.9990187193254708,1.0,0.01,0.01,0.10703897952099094,0.0,0.0,0.9147623169771826,0.0,0.0,0.0009812806745292946
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.015,1.0,0.12317598138110696,1.0,1.0,0.9985213438443442,1.0,0.015,0.015,0.11110633548679202,0.0,0.0,0.8768240186188929,0.0,0.0,0.0014786561556557887
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.02,1.0,0.15843469966839646,1.0,1.0,0.9980193957072944,1.0,0.02,0.02,0.11517369145259315,0.0,0.0,0.8415653003316035,0.0,0.0,0.0019806042927056344
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.025,1.0,0.19128804226875315,1.0,1.0,0.9975128115645728,1.0,0.025,0.025,0.11924104741839422,0.0,0.0,0.8087119577312468,0.0,0.0,0.0024871884354270572
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.03,1.0,0.22197403478826053,1.0,1.0,0.9970015268908026,1.0,0.03,0.03,0.12330840338419533,0.0,0.0,0.7780259652117395,0.0,0.0,0.0029984731091974304
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.035,1.0,0.2507003003490803,1.0,1.0,0.9964854759575792,1.0,0.035,0.035,0.1273757593499964,0.0,0.0,0.7492996996509197,0.0,0.0,0.003514524042420808
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.04,1.0,0.27764876343887257,1.0,1.0,0.9959645918053024,1.0,0.04,0.04,0.1314431153157975,0.0,0.0,0.7223512365611274,0.0,0.0,0.0040354081946976095
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.045,1.0,0.3029795066420642,1.0,1.0,0.9954388062142138,1.0,0.045,0.045,0.1355104712815986,0.0,0.0,0.6970204933579358,0.0,0.0,0.004561193785786233
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.05,1.0,0.3268339530505928,1.0,1.0,0.9949080496746108,1.0,0.05,0.05,0.1395778272473997,0.0,0.0,0.6731660469494072,0.0,0.0,0.005091950325389115
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.055,1.0,0.3493375080092271,1.0,1.0,0.994372251356214,1.0,0.055,0.055,0.1436451832132008,0.0,0.0,0.6506624919907729,0.0,0.0,0.005627748643786124
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.06,1.0,0.3706017644083556,1.0,1.0,0.9938313390766548,1.0,0.06,0.06,0.1477125391790019,0.0,0.0,0.6293982355916443,0.0,0.0,0.006168660923345115
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.065,1.0,0.3907263533957917,1.0,1.0,0.9932852392690601,1.0,0.065,0.065,0.151779895144803,0.0,0.0,0.6092736466042084,0.0,0.0,0.006714760730940017
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.07,1.0,0.4098005052854409,1.0,1.0,0.9927338769486952,1.0,0.07,0.07,0.1558472511106041,0.0,0.0,0.5901994947145589,0.0,0.0,0.007266123051304695
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.075,1.0,0.42790437225991773,1.0,1.0,0.9921771756786428,1.0,0.07500000000000001,0.07500000000000001,0.1599146070764052,0.0,0.0,0.5720956277400822,0.0,0.0,0.007822824321357058
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.08,1.0,0.4451101542258167,1.0,1.0,0.991615057534476,1.0,0.08,0.08,0.16398196304220627,0.0,0.0,0.5548898457741833,0.0,0.0,0.008384942465523905
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.085,1.0,0.4614830611721872,1.0,1.0,0.9910474430678964,1.0,0.085,0.085,0.16804931900800738,0.0,0.0,0.5385169388278128,0.0,0.0,0.008952556932103728
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.09,1.0,0.47708213907781,1.0,1.0,0.9904742512693008,1.0,0.09000000000000001,0.09000000000000001,0.17211667497380848,0.0,0.0,0.5229178609221901,0.0,0.0,0.009525748730699224
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.095,1.0,0.4919609814179043,1.0,1.0,0.98989539952924,1.0,0.095,0.095,0.17618403093960955,0.0,0.0,0.5080390185820958,0.0,0.0,0.010104600470760115
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.1,1.0,0.5061683443403346,1.0,1.0,0.9893108035987268,1.0,0.1,0.1,0.18025138690541065,0.0,0.0,0.4938316556596654,0.0,0.0,0.01068919640127308
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.105,1.0,0.5197486803913716,1.0,1.0,0.9887203775483608,1.0,0.105,0.105,0.18431874287121172,0.0,0.0,0.4802513196086285,0.0,0.0,0.01127962245163916
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.11,1.0,0.532742603100917,1.0,1.0,0.9881240337262194,1.0,0.11,0.11,0.18838609883701285,0.0,0.0,0.467257396899083,0.0,0.0,0.011875966273780623
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.115,1.0,0.5451872926558176,1.0,1.0,0.9875216827144812,1.0,0.115,0.115,0.19245345480281395,0.0,0.0,0.4548127073441824,0.0,0.0,0.012478317285518849
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.12,1.0,0.5571168511962908,1.0,1.0,0.986913233284728,1.0,0.12,0.12,0.19652081076861505,0.0,0.0,0.4428831488037092,0.0,0.0,0.013086766715272093
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.125,1.0,0.568562614885962,1.0,1.0,0.9862985923518846,1.0,0.125,0.125,0.20058816673441607,0.0,0.0,0.431437385114038,0.0,0.0,0.013701407648115449
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.13,1.0,0.5795534287691281,1.0,1.0,0.9856776649267442,1.0,0.13,0.13,0.2046555227002172,0.0,0.0,0.4204465712308719,0.0,0.0,0.014322335073255752
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.135,1.0,0.5901158894913717,1.0,1.0,0.9850503540670298,1.0,0.135,0.135,0.2087228786660183,0.0,0.0,0.4098841105086283,0.0,0.0,0.014949645932970212
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.14,1.0,0.6002745601834338,1.0,1.0,0.9844165608269386,1.0,0.14,0.14,0.21279023463181945,0.0,0.0,0.39972543981656616,0.0,0.0,0.015583439173061375
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.145,1.0,0.6100521611630629,1.0,1.0,0.9837761842051146,1.0,0.14500000000000002,0.14500000000000002,0.2168575905976205,0.0,0.0,0.38994783883693696,0.0,0.0,0.01622381579488541
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.15,1.0,0.6194697395712774,1.0,1.0,0.9831291210909904,1.0,0.15,0.15,0.2209249465634216,0.0,0.0,0.3805302604287226,0.0,0.0,0.016870878909009734
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.155,1.0,0.6285468206087689,1.0,1.0,0.9824752662094391,1.0,0.155,0.155,0.2249923025292227,0.0,0.0,0.3714531793912311,0.0,0.0,0.017524733790560743
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.16,1.0,0.6373015426595015,1.0,1.0,0.981814512063678,1.0,0.16,0.16,0.2290596584950238,0.0,0.0,0.36269845734049855,0.0,0.0,0.01818548793632213
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.165,1.0,0.6457507782693397,1.0,1.0,0.981146748876348,1.0,0.165,0.165,0.2331270144608249,0.0,0.0,0.3542492217306603,0.0,0.0,0.018853251123651882
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.17,1.0,0.6539102426775906,1.0,1.0,0.9804718645287164,1.0,0.17,0.17,0.23719437042662603,0.0,0.0,0.34608975732240943,0.0,0.0,0.019528135471283736
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.175,1.0,0.6617945913703496,1.0,1.0,0.9797897444979168,1.0,0.17500000000000002,0.17500000000000002,0.2412617263924271,0.0,0.0,0.33820540862965043,0.0,0.0,0.02021025550208322
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.18,1.0,0.669417507929717,1.0,1.0,0.9791002717921647,1.0,0.18000000000000002,0.18000000000000002,0.2453290823582282,0.0,0.0,0.330582492070283,0.0,0.0,0.020899728207835144
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.185,1.0,0.6767917832867247,1.0,1.0,0.978403326883865,1.0,0.185,0.185,0.2493964383240293,0.0,0.0,0.3232082167132753,0.0,0.0,0.021596673116134998
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.19,1.0,0.6839293873435902,1.0,1.0,0.9776987876405312,1.0,0.19,0.19,0.25346379428983035,0.0,0.0,0.3160706126564098,0.0,0.0,0.022301212359468803
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.195,1.0,0.6908415338089108,1.0,1.0,0.9769865292534368,1.0,0.195,0.195,0.25753115025563145,0.0,0.0,0.3091584661910892,0.0,0.0,0.02301347074656324
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.2,1.0,0.6975387389844794,1.0,1.0,0.9762664241639064,1.0,0.2,0.2,0.2615985062214325,0.0,0.0,0.3024612610155206,0.0,0.0,0.02373357583609359
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.205,1.0,0.704030875151928,1.0,1.0,0.9755383419871588,1.0,0.205,0.205,0.26566586218723365,0.0,0.0,0.29596912484807203,0.0,0.0,0.02446165801284106
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.21,1.0,0.7103272191292097,1.0,1.0,0.9748021494336044,1.0,0.21,0.21,0.26973321815303475,0.0,0.0,0.2896727808707903,0.0,0.0,0.025197850566395563
"Patients Choice Laboratories, LLC",PCL SARS-CoV-2 Real-Time RT-PCR Assay,0.215,1.0,0.7164364964991904,1.0,1.0,0.9740577102274972,1.0,0.215,0.215,0.27380057411883585,0.0,0.0,0.2835635035008096,0.0,0.0,0.025942289772502902
