company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.005,1.0,0.18949000000000002,1.0,0.9998799999999999,0.9993700000000001,0.99998,0.00488,0.00498,0.02314,0.0,0.0,0.8105100000000001,0.00011999999999999999,2e-05,0.00063
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.01,1.0,0.3197,1.0,0.99976,0.9987299999999999,0.9999600000000001,0.00976,0.00996,0.02743,0.0,0.0,0.6803,0.00023999999999999998,4e-05,0.0012699999999999999
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.015,1.0,0.41468999999999995,1.0,0.99964,0.9980899999999999,0.9999399999999999,0.01464,0.01494,0.03172,0.0,0.0,0.58531,0.00036,5.9999999999999995e-05,0.0019100000000000002
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.02,1.0,0.48704,1.0,0.99951,0.99744,0.9999100000000001,0.01952,0.01992,0.036000000000000004,0.0,0.0,0.5129600000000001,0.00049,9e-05,0.00256
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.025,1.0,0.54399,1.0,0.99939,0.99679,0.99989,0.0244,0.02489,0.04029,0.0,0.0,0.45601,0.00061,0.00011,0.00321
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.03,1.0,0.5899800000000001,1.0,0.99926,0.99613,0.99987,0.029289999999999997,0.029869999999999997,0.04458,0.0,0.0,0.41002,0.00074,0.00013000000000000002,0.00387
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.035,1.0,0.62789,1.0,0.9991399999999999,0.9954700000000001,0.99985,0.03417,0.03485,0.04887,0.0,0.0,0.37211,0.00086,0.00015,0.004529999999999999
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.04,1.0,0.65969,1.0,0.9990100000000001,0.99479,0.99982,0.03905,0.039830000000000004,0.05316,0.0,0.0,0.34031,0.00099,0.00018,0.00521
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.045,1.0,0.68674,1.0,0.9988799999999999,0.9941200000000001,0.9998,0.043930000000000004,0.04481,0.05745,0.0,0.0,0.31326,0.00112,0.0002,0.00588
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.05,1.0,0.71003,1.0,0.99875,0.9934299999999999,0.9997799999999999,0.04881,0.04979,0.061739999999999996,0.0,0.0,0.28997,0.00125,0.00022,0.00657
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.055,1.0,0.73029,1.0,0.9986200000000001,0.99274,0.99975,0.053689999999999995,0.054770000000000006,0.06602999999999999,0.0,0.0,0.26971,0.0013800000000000002,0.00025,0.007259999999999999
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.06,1.0,0.7480899999999999,1.0,0.9984799999999999,0.99205,0.9997299999999999,0.058570000000000004,0.05975,0.07032000000000001,0.0,0.0,0.25190999999999997,0.0015199999999999999,0.00027,0.00795
PerkinElmer Inc.,PerkinElmer® SARS-CoV-2 Realtime RT-PCR Assay,0.065,1.0,0.76383,1.0,0.99835,0.99135,0.99971,0.06345,0.06473,0.07461,0.0,0.0,0.23617,0.00165,0.00029,0.00865
