company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.005,0.14295847794695085,0.06470422091987671,0.2838219176015322,0.9998477736224626,0.9995537135551198,0.9999488465747536,0.03394650842793264,0.01743959279638549,0.07086616761532624,0.8570415220530492,0.7161780823984678,0.9352957790801232,0.00015222637753742332,5.1153425246419644e-05,0.00044628644488020614
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.01,0.2511013215859028,0.12208294712071352,0.4433944872690811,0.9996940566478272,0.9991033233831392,0.9998971817608734,0.03865325077399386,0.02232656837998154,0.07511843829577894,0.7488986784140972,0.5566055127309188,0.8779170528792865,0.00030594335217293267,0.00010281823912661191,0.0008966766168607697
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.015,0.3357662785854535,0.1733135645733065,0.5456553556146188,0.9995388270745365,0.9986487726202636,0.9998449978511889,0.04335999312005509,0.02721354396357759,0.07937070897623166,0.6642337214145465,0.4543446443853813,0.8266864354266935,0.0004611729254635488,0.0001550021488111453,0.0013512273797364749
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.02,0.4038502826880408,0.21933397656731568,0.6167798826291343,0.999382062465896,0.9981900033472356,0.9997922869828736,0.048066735466116325,0.03210051954717364,0.08362297965668437,0.5961497173119592,0.3832201173708657,0.7806660234326843,0.0006179375341039961,0.00020771301712652068,0.001809996652764489
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.025,0.4597897824492785,0.26090054637313875,0.6691097426522318,0.9992237399392612,0.9977269565647342,0.9997390411334958,0.05277347781217755,0.036987495130769696,0.08787525033713707,0.5402102175507215,0.3308902573477682,0.7390994536268612,0.0007762600607389425,0.00026095886650423505,0.002273043435265798
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.03,0.5065681199317749,0.2986299933709239,0.7092252513599279,0.9990638361549032,0.99725957216808,0.9996852521169488,0.05748022015823879,0.041874470714365744,0.0921275210175898,0.4934318800682251,0.2907747486400721,0.7013700066290761,0.0009361638450967602,0.00031474788305130286,0.002740427831919856
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.035,0.5462654367938483,0.3330301984512535,0.7409559248198488,0.9989023273045397,0.9967877889212272,0.999630911579254,0.062186962504300024,0.04676144629796178,0.0963797916980425,0.4537345632061517,0.2590440751801512,0.6669698015487465,0.001097672695460461,0.0003690884207459,0.0032122110787727864
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.04,0.5803764270286944,0.3645231992070913,0.7666818832933063,0.9987391890995156,0.996311544430018,0.9995760109942372,0.06689370485036125,0.05164842188155784,0.10063206237849524,0.4196235729713056,0.2333181167066937,0.6354768007929088,0.001260810900484466,0.00042398900576279264,0.003688455569982096
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.045,0.6100027625304775,0.3934625914334596,0.7879602872589218,0.9985743967586284,0.9958307751146735,0.9995205416590672,0.07160044719642247,0.05653539746515389,0.10488433305894794,0.3899972374695225,0.21203971274107825,0.6065374085665405,0.0014256032413716426,0.00047945834093265915,0.00416922488532645
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.05,0.635974304068522,0.42014686255732137,0.8058527249885754,0.9984079249955776,0.9953454161814992,0.9994644946896586,0.07630718954248371,0.06142237304874994,0.10913660373940064,0.3640256959314781,0.1941472750114246,0.5798531374426786,0.0015920750044223775,0.0005355053103414108,0.0046545838185008135
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.055,0.6589280596159354,0.4448297249131748,0.8211078300307783,0.9982397480060304,0.9948554015937736,0.9994078610159264,0.08101393188854494,0.06630934863234599,0.11338887441985335,0.34107194038406463,0.17889216996922175,0.5551702750868253,0.0017602519939696746,0.0005921389840737312,0.005144598406226275
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.06,0.6793611300613986,0.4677282079718707,0.8342686885879991,0.9980698394542876,0.9943606640417966,0.9993506313768936,0.08572067423460616,0.07119632421594202,0.11764114510030607,0.32063886993860136,0.16573131141200093,0.5322717920281292,0.0019301605457123785,0.0006493686231063832,0.005639335958203429
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.065,0.6976671199916306,0.4890290567774997,0.8457388530087205,0.9978981724595352,0.9938611349120666,0.9992927963156436,0.0904274165806674,0.07608329979953808,0.1218934157807588,0.30233288000836944,0.15426114699127946,0.5109709432225004,0.002101827540464729,0.0007072036843562834,0.006138865087933376
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.07,0.7141617399793889,0.5088938362669925,0.8558244497421356,0.9977247195816678,0.9933567442555592,0.9992343461741094,0.09513415892672863,0.08097027538313414,0.12614568646121152,0.2858382600206111,0.14417555025786444,0.4911061637330075,0.0022752804183322484,0.0007656538258905554,0.0066432557444406895
Phosphorus Diagnostics LLC,Phosphorus COVID-19 RT-qPCR Test,0.075,0.7291011671475943,0.5274630368801221,0.8647619066404821,0.9975494528066648,0.992847420755074,0.9991752710876968,0.09984090127278987,0.08585725096673019,0.13039795714166424,0.2708988328524057,0.13523809335951795,0.4725369631198779,0.0024505471933352623,0.0008247289123031187,0.007152579244926072
