company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.005,1.0,0.03131526017649612,1.0,1.0,0.9991709708242864,1.0,0.005,0.005,0.13681490585632647,0.0,0.0,0.968684739823504,0.0,0.0,0.0008290291757137025
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.01,1.0,0.06101677922687461,1.0,1.0,0.99833496192472,1.0,0.01,0.01,0.14043331775947426,0.0,0.0,0.9389832207731252,0.0,0.0,0.0016650380752800675
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.015,1.0,0.08922616305159263,1.0,1.0,0.9974918847836298,1.0,0.015,0.015,0.14405172966262206,0.0,0.0,0.9107738369484074,0.0,0.0,0.002508115216370177
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.02,1.0,0.11605309854749445,1.0,1.0,0.9966416493802016,1.0,0.02,0.02,0.14767014156576982,0.0,0.0,0.8839469014525055,0.0,0.0,0.0033583506197983892
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.025,1.0,0.14159677895902148,1.0,1.0,0.9957841641584356,1.0,0.025,0.025,0.15128855346891762,0.0,0.0,0.8584032210409785,0.0,0.0,0.004215835841564264
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.03,1.0,0.16594712946405554,1.0,1.0,0.9949193359942812,1.0,0.03,0.03,0.15490696537206544,0.0,0.0,0.8340528705359445,0.0,0.0,0.005080664005718939
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.035,1.0,0.1891858649125266,1.0,1.0,0.9940470701619216,1.0,0.035,0.035,0.1585253772752132,0.0,0.0,0.8108141350874734,0.0,0.0,0.00595292983807849
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.04,1.0,0.2113874059376164,1.0,1.0,0.9931672702991884,1.0,0.04,0.04,0.162143789178361,0.0,0.0,0.7886125940623836,0.0,0.0,0.006832729700811614
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.045,1.0,0.23261967508058495,1.0,1.0,0.992279838372073,1.0,0.045,0.045,0.1657622010815088,0.0,0.0,0.767380324919415,0.0,0.0,0.0077201616279269905
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.05,1.0,0.252944790871774,1.0,1.0,0.991384674638312,1.0,0.05,0.05,0.1693806129846566,0.0,0.0,0.7470552091282259,0.0,0.0,0.008615325361688075
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.055,1.0,0.2724196748080796,1.0,1.0,0.9904816776100156,1.0,0.055,0.055,0.1729990248878044,0.0,0.0,0.7275803251919204,0.0,0.0,0.009518322389984513
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.06,1.0,0.2910965837184997,1.0,1.0,0.989570744015312,1.0,0.06,0.06,0.17661743679095218,0.0,0.0,0.7089034162815003,0.0,0.0,0.010429255984688137
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.065,1.0,0.3090235780031099,1.0,1.0,0.9886517687589748,1.0,0.065,0.065,0.1802358486941,0.0,0.0,0.6909764219968901,0.0,0.0,0.011348231241025129
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.07,1.0,0.32624493457993603,1.0,1.0,0.9877246448820038,1.0,0.07,0.07,0.18385426059724772,0.0,0.0,0.6737550654200639,0.0,0.0,0.012275355117996156
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.075,1.0,0.3428015120100755,1.0,1.0,0.9867892635201244,1.0,0.07500000000000001,0.07500000000000001,0.1874726725003956,0.0,0.0,0.6571984879899245,0.0,0.0,0.013210736479875472
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.08,1.0,0.3587310741397826,1.0,1.0,0.9858455138611762,1.0,0.08,0.08,0.19109108440354336,0.0,0.0,0.6412689258602173,0.0,0.0,0.014154486138823754
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.085,1.0,0.3740685776558589,1.0,1.0,0.9848932831013484,1.0,0.085,0.085,0.19470949630669115,0.0,0.0,0.6259314223441411,0.0,0.0,0.01510671689865151
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.09,1.0,0.3888464281630562,1.0,1.0,0.9839324564002344,1.0,0.09000000000000001,0.09000000000000001,0.19832790820983892,0.0,0.0,0.6111535718369439,0.0,0.0,0.016067543599765588
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.095,1.0,0.4030947087315861,1.0,1.0,0.9829629168346607,1.0,0.095,0.095,0.20194632011298674,0.0,0.0,0.596905291268414,0.0,0.0,0.01703708316533914
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.1,1.0,0.4168413843068576,1.0,1.0,0.9819845453512558,1.0,0.1,0.1,0.2055647320161345,0.0,0.0,0.5831586156931424,0.0,0.0,0.018015454648744208
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.105,1.0,0.4301124849041617,1.0,1.0,0.9809972207177148,1.0,0.105,0.105,0.20918314391928236,0.0,0.0,0.5698875150958382,0.0,0.0,0.01900277928228533
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.11,1.0,0.4429322701134409,1.0,1.0,0.9800008194727228,1.0,0.11,0.11,0.2128015558224301,0.0,0.0,0.5570677298865592,0.0,0.0,0.01999918052727712
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.115,1.0,0.4553233771015324,1.0,1.0,0.9789952158744888,1.0,0.115,0.115,0.21641996772557792,0.0,0.0,0.5446766228984676,0.0,0.0,0.0210047841255111
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.12,1.0,0.4673069540115117,1.0,1.0,0.9779802818478476,1.0,0.12,0.12,0.2200383796287257,0.0,0.0,0.5326930459884883,0.0,0.0,0.022019718152152312
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.125,1.0,0.4789027804128981,1.0,1.0,0.9769558869298818,1.0,0.125,0.125,0.22365679153187348,0.0,0.0,0.5210972195871019,0.0,0.0,0.023044113070118225
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.13,1.0,0.4901293762458508,1.0,1.0,0.9759218982140176,1.0,0.13,0.13,0.2272752034350213,0.0,0.0,0.5098706237541493,0.0,0.0,0.024078101785982464
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.135,1.0,0.5010041005215561,1.0,1.0,0.9748781802925406,1.0,0.135,0.135,0.2308936153381691,0.0,0.0,0.4989958994784439,0.0,0.0,0.025121819707459414
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.14,1.0,0.5115432408852071,1.0,1.0,0.9738245951974828,1.0,0.14,0.14,0.2345120272413169,0.0,0.0,0.4884567591147929,0.0,0.0,0.026175404802517236
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.145,1.0,0.5217620950134843,1.0,1.0,0.9727610023398242,1.0,0.14500000000000002,0.14500000000000002,0.23813043914446466,0.0,0.0,0.4782379049865158,0.0,0.0,0.02723899766017579
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.15,1.0,0.5316750447020583,1.0,1.0,0.9716872584469536,1.0,0.15,0.15,0.2417488510476125,0.0,0.0,0.4683249552979417,0.0,0.0,0.028312741553046306
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.155,1.0,0.5412956233977209,1.0,1.0,0.9706032174983308,1.0,0.155,0.155,0.24536726295076025,0.0,0.0,0.4587043766022792,0.0,0.0,0.029396782501669105
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.16,1.0,0.5506365778420045,1.0,1.0,0.9695087306592888,1.0,0.16,0.16,0.248985674853908,0.0,0.0,0.4493634221579955,0.0,0.0,0.03049126934071134
Poplar Healthcare,Poplar SARS-CoV-2 TMA Pooling assay,0.165,1.0,0.5597099244167412,1.0,1.0,0.9684036462129112,1.0,0.165,0.165,0.2526040867570558,0.0,0.0,0.4402900755832588,0.0,0.0,0.03159635378708869
