company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.005,0.12677,0.03863,0.3502,0.9998100000000001,0.9994799999999999,0.9999299999999999,0.03798,0.01407,0.11760999999999999,0.87323,0.6498,0.9613700000000001,0.00018999999999999998,7e-05,0.0005200000000000001
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.01,0.22589,0.07472999999999999,0.51999,0.99961,0.9989600000000001,0.99985,0.04263,0.01895,0.12159,0.7741100000000001,0.48001000000000005,0.92527,0.00039,0.00015,0.0010400000000000001
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.015,0.30551999999999996,0.10854000000000001,0.6202300000000001,0.9994200000000001,0.9984299999999999,0.9997799999999999,0.04728,0.02383,0.12555999999999998,0.69448,0.37977,0.89146,0.00058,0.00022,0.00157
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.02,0.3709,0.14028,0.68639,0.9992200000000001,0.9979,0.9997,0.05193,0.02872,0.12954000000000002,0.6291,0.31361,0.85972,0.00078,0.0003,0.0021
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.025,0.42553,0.17013,0.73333,0.99902,0.99736,0.9996299999999999,0.05657,0.0336,0.13351,0.57447,0.26666999999999996,0.8298700000000001,0.00098,0.00037,0.00264
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.03,0.47186999999999996,0.19826,0.76835,0.99882,0.99682,0.99955,0.061220000000000004,0.03848,0.13749,0.52813,0.23165,0.80174,0.00118,0.00045,0.00318
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.035,0.51167,0.2248,0.7954899999999999,0.99861,0.9962700000000001,0.9994700000000001,0.06587,0.04336,0.14146,0.48833000000000004,0.20451,0.7752,0.00139,0.00053,0.00373
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.04,0.5462199999999999,0.2499,0.81714,0.99841,0.99572,0.99939,0.07052,0.04824,0.14544,0.45378,0.18286,0.7501,0.00159,0.00061,0.00428
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.045,0.5765,0.27365,0.83481,0.9982,0.9951700000000001,0.99931,0.07517,0.05312000000000001,0.14941,0.4235,0.16519,0.72635,0.0018,0.0006900000000000001,0.00483
PreciGenome LLC,FastPlex Triplex SARS-CoV-2 detection kit (RT-Digital PCR),0.05,0.60325,0.29618,0.8495,0.9979899999999999,0.9946,0.99923,0.07981,0.057999999999999996,0.15339,0.39675,0.1505,0.70382,0.00201,0.0007700000000000001,0.0054
