company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.005,0.00733,0.00487,0.01114,0.99734,0.9947799999999999,0.9986200000000001,0.50117,0.37115,0.6310600000000001,0.99267,0.9888600000000001,0.99513,0.00266,0.0013800000000000002,0.005220000000000001
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.01,0.01462,0.00975,0.02215,0.99466,0.9895700000000001,0.99724,0.50234,0.37344,0.63098,0.9853799999999999,0.97785,0.99025,0.00534,0.0027600000000000003,0.01043
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.015,0.02188,0.01463,0.03302,0.99197,0.98436,0.99584,0.50352,0.37573,0.6309,0.9781200000000001,0.96698,0.9853700000000001,0.008029999999999999,0.0041600000000000005,0.01564
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.02,0.0291,0.0195,0.04376,0.9892700000000001,0.97915,0.99444,0.50469,0.37801999999999997,0.6308199999999999,0.9709,0.95624,0.9805,0.01073,0.00556,0.02085
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.025,0.036289999999999996,0.024380000000000002,0.05437,0.98656,0.97395,0.9930200000000001,0.5058600000000001,0.38031,0.63074,0.9637100000000001,0.94563,0.97562,0.01344,0.00698,0.02605
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.03,0.04345,0.02926,0.06485,0.9838399999999999,0.9687399999999999,0.9916,0.50703,0.3826,0.63066,0.95655,0.93515,0.9707399999999999,0.01616,0.0084,0.03126
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.035,0.05058,0.03414,0.07521,0.9811,0.96354,0.99016,0.5082,0.38489,0.63058,0.94942,0.92479,0.96586,0.0189,0.00984,0.03646
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.04,0.057670000000000006,0.03903,0.08544,0.97834,0.95834,0.9887100000000001,0.50938,0.38718,0.6305,0.9423299999999999,0.91456,0.9609700000000001,0.02166,0.011290000000000001,0.04166
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.045,0.06473,0.043910000000000005,0.09556,0.9755799999999999,0.95314,0.98725,0.51055,0.38947,0.63042,0.93527,0.9044399999999999,0.95609,0.024419999999999997,0.01275,0.04686
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.05,0.07176,0.0488,0.10555,0.9728,0.94795,0.9857799999999999,0.51172,0.39177,0.63034,0.92824,0.89445,0.9512,0.0272,0.014219999999999998,0.05205
Pro-Lab Diagnostics,Pro-AmpRT SARS-CoV-2 Test,0.055,0.07875,0.05368,0.11542999999999999,0.97001,0.94275,0.9843,0.51289,0.39405999999999997,0.63027,0.92125,0.8845700000000001,0.94632,0.02999,0.0157,0.05725
