company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.005,0.06792000000000001,0.02045,0.20811,1.0,0.99944,1.0,0.07362,0.024030000000000003,0.22311,0.9320799999999999,0.79189,0.97955,0.0,0.0,0.00056
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.01,0.12775,0.04027,0.34567,1.0,0.99887,1.0,0.07828,0.02893,0.22658000000000003,0.87225,0.65433,0.95973,0.0,0.0,0.0011300000000000001
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.015,0.18087,0.059489999999999994,0.44333999999999996,1.0,0.99829,1.0,0.08292999999999999,0.03383,0.23004000000000002,0.81913,0.55666,0.9405100000000001,0.0,0.0,0.0017100000000000001
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.02,0.22835,0.07815,0.5162800000000001,1.0,0.99771,1.0,0.08759,0.03874,0.2335,0.77165,0.48372,0.92185,0.0,0.0,0.00229
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.025,0.27103,0.09626,0.5728300000000001,1.0,0.99713,1.0,0.09224,0.04364,0.23697,0.72897,0.42717,0.90374,0.0,0.0,0.0028699999999999997
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.03,0.30961,0.11384000000000001,0.61795,1.0,0.99654,1.0,0.0969,0.04855,0.24043,0.69039,0.38205,0.8861600000000001,0.0,0.0,0.00346
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.035,0.34465,0.13093,0.6548,1.0,0.9959399999999999,1.0,0.10155,0.05345,0.24389,0.65535,0.3452,0.8690700000000001,0.0,0.0,0.00406
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.04,0.37661999999999995,0.14754,0.68545,1.0,0.99534,1.0,0.10620999999999998,0.05836,0.24736,0.62338,0.31455,0.85246,0.0,0.0,0.00466
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.045,0.40591,0.16369,0.71135,1.0,0.99474,1.0,0.11085999999999999,0.06326,0.25082,0.59409,0.28865,0.83631,0.0,0.0,0.00526
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.05,0.43283999999999995,0.1794,0.73352,1.0,0.9941200000000001,1.0,0.11552,0.06816,0.25429,0.56716,0.26648,0.8206,0.0,0.0,0.00588
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.055,0.45768000000000003,0.19469,0.75271,1.0,0.99351,1.0,0.12017,0.07307000000000001,0.25775,0.54232,0.24729,0.8053100000000001,0.0,0.0,0.006490000000000001
QIAGEN GmbH,QIAstat-Dx Respiratory Panel 2019-nCoV - Source: FindDx 1,0.06,0.48066000000000003,0.20956999999999998,0.76949,1.0,0.9928799999999999,1.0,0.12483,0.07797,0.26121,0.5193399999999999,0.23051,0.79043,0.0,0.0,0.0071200000000000005
