company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.005,0.12719,0.0245,0.45813000000000004,0.9998299999999999,0.9990000000000001,0.99997,0.038,0.01085,0.17004,0.8728100000000001,0.54187,0.9755,0.00016999999999999999,2.9999999999999997e-05,0.001
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.01,0.22655999999999998,0.048060000000000005,0.62956,0.99965,0.99798,0.9999399999999999,0.04267,0.015790000000000002,0.17337,0.77344,0.37044,0.95194,0.00035,5.9999999999999995e-05,0.00202
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.015,0.30634,0.07074,0.71927,0.9994799999999999,0.9969600000000001,0.9999100000000001,0.047330000000000004,0.020730000000000002,0.17670999999999998,0.69366,0.28073000000000004,0.9292600000000001,0.0005200000000000001,9e-05,0.0030399999999999997
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.02,0.37179,0.09257,0.77445,0.9993,0.99593,0.9998799999999999,0.052000000000000005,0.02567,0.18004,0.62821,0.22555,0.90743,0.0007,0.00011999999999999999,0.004070000000000001
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.025,0.42646999999999996,0.11360999999999999,0.81182,0.9991200000000001,0.9949,0.99985,0.056670000000000005,0.030610000000000002,0.18337,0.57353,0.18818,0.88639,0.00088,0.00015,0.0051
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.03,0.47283000000000003,0.13389,0.8388,0.9989299999999999,0.99385,0.99982,0.061329999999999996,0.03555,0.18671,0.52717,0.1612,0.86611,0.00107,0.00018,0.00615
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.035,0.51263,0.15347,0.8592,0.99875,0.9928,0.9997799999999999,0.066,0.04049,0.19004000000000001,0.48736999999999997,0.1408,0.8465299999999999,0.00125,0.00022,0.0072
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.04,0.5471699999999999,0.17237,0.87516,0.9985700000000001,0.9917299999999999,0.99975,0.07067000000000001,0.045439999999999994,0.19337000000000001,0.45283,0.12484,0.82763,0.00143,0.00025,0.00827
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.045,0.57743,0.19063,0.88799,0.9983799999999999,0.99066,0.99972,0.07533,0.05038,0.1967,0.42257,0.11200999999999998,0.80937,0.00162,0.00028,0.009340000000000001
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.05,0.60417,0.20828000000000002,0.8985299999999999,0.9981899999999999,0.9895799999999999,0.99969,0.08,0.05532,0.20004,0.39583,0.10147,0.79172,0.0018100000000000002,0.00031,0.01042
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.055,0.62795,0.22536,0.9073399999999999,0.998,0.98849,0.99965,0.08467000000000001,0.06026,0.20337,0.37205,0.09266,0.77464,0.002,0.00035,0.01151
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.06,0.64925,0.24188,0.9148200000000001,0.9978,0.98739,0.9996200000000001,0.08932999999999999,0.0652,0.2067,0.35075,0.08517999999999999,0.75812,0.0022,0.00037999999999999997,0.01261
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.065,0.6684399999999999,0.25788,0.92124,0.99761,0.9862799999999999,0.99959,0.094,0.07014,0.21004,0.33155999999999997,0.07876,0.74212,0.0023899999999999998,0.00041,0.01372
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.07,0.68581,0.27338,0.92681,0.99741,0.9851700000000001,0.99955,0.09867000000000001,0.07508,0.21336999999999998,0.31419,0.07318999999999999,0.7266199999999999,0.00259,0.00045,0.014830000000000001
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.075,0.7016100000000001,0.2884,0.9317,0.99721,0.9840399999999999,0.9995200000000001,0.10332999999999999,0.08002000000000001,0.2167,0.29839,0.0683,0.7116,0.00279,0.00047999999999999996,0.01596
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.08,0.71605,0.30296999999999996,0.9360200000000001,0.9970100000000001,0.9829,0.9994799999999999,0.10800000000000001,0.08496000000000001,0.22003000000000003,0.28395,0.06398,0.69703,0.00299,0.0005200000000000001,0.0171
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.085,0.72929,0.3171,0.9398700000000001,0.9968100000000001,0.98175,0.99945,0.11267,0.0899,0.22336999999999999,0.27071,0.060129999999999996,0.6829,0.0031899999999999997,0.00055,0.01825
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.09,0.74148,0.33082,0.94331,0.9966,0.9806,0.99941,0.11732999999999999,0.09484,0.2267,0.25851999999999997,0.05669,0.66918,0.0034,0.00059,0.0194
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.095,0.75273,0.34414,0.9464100000000001,0.99639,0.9794299999999999,0.9993799999999999,0.122,0.09979,0.23003,0.24727,0.05359,0.65586,0.00361,0.00062,0.020569999999999998
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.1,0.7631600000000001,0.35708,0.9492200000000001,0.99618,0.97825,0.99934,0.12667,0.10472999999999999,0.23337,0.23684000000000002,0.05078,0.6429199999999999,0.0038200000000000005,0.00066,0.02175
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.105,0.77284,0.36965,0.95178,0.99597,0.9770700000000001,0.9993,0.13133,0.10967,0.2367,0.22716,0.04822,0.63035,0.00403,0.0007,0.022930000000000002
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.11,0.78186,0.38188,0.9541200000000001,0.9957600000000001,0.9758700000000001,0.9992700000000001,0.136,0.11460999999999999,0.24003000000000002,0.21814,0.045880000000000004,0.61812,0.00424,0.00073,0.024130000000000002
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.115,0.79028,0.39377,0.95626,0.99554,0.9746600000000001,0.99923,0.14067000000000002,0.11955,0.24336,0.20972,0.04374,0.60623,0.00446,0.0007700000000000001,0.02534
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.12,0.7981699999999999,0.40533,0.9582299999999999,0.9953200000000001,0.97344,0.9991899999999999,0.14533,0.12449,0.2467,0.20182999999999998,0.04177,0.59467,0.00468,0.00081,0.026560000000000004
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.125,0.80556,0.4166,0.96006,0.9951,0.97221,0.99915,0.15,0.12943,0.25003000000000003,0.19444,0.039939999999999996,0.5834,0.0049,0.00085,0.02779
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.13,0.8125,0.42756000000000005,0.96175,0.99487,0.9709700000000001,0.99911,0.15467,0.13437000000000002,0.25336,0.1875,0.03825,0.57244,0.00513,0.0008900000000000001,0.02903
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.135,0.81904,0.43823999999999996,0.96331,0.99465,0.96972,0.9990700000000001,0.15933,0.13931,0.2567,0.18095999999999998,0.03669,0.56176,0.00535,0.00093,0.03028
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.14,0.8252,0.44865,0.96478,0.9944200000000001,0.96846,0.99903,0.16399999999999998,0.14425,0.26003000000000004,0.1748,0.03522,0.55135,0.00558,0.0009699999999999999,0.03154
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.145,0.8310299999999999,0.45879,0.96614,0.99419,0.96719,0.9989899999999999,0.16867000000000001,0.14919000000000002,0.26336,0.16897,0.03386,0.5412100000000001,0.00581,0.00101,0.03281
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.15,0.83654,0.46868000000000004,0.9674200000000001,0.99395,0.9659,0.99895,0.17332999999999998,0.15414,0.2667,0.16346,0.03258,0.53132,0.00605,0.00105,0.0341
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.155,0.8417600000000001,0.47831999999999997,0.9686100000000001,0.99371,0.9646,0.9989100000000001,0.17800000000000002,0.15908,0.27003,0.15824000000000002,0.031389999999999994,0.52168,0.00629,0.00109,0.0354
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.16,0.84672,0.48773,0.9697399999999999,0.9934700000000001,0.96329,0.99887,0.18267,0.16402,0.27336,0.15328,0.030260000000000002,0.51227,0.006529999999999999,0.0011300000000000001,0.03671
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.165,0.8514200000000001,0.49691,0.9708,0.99323,0.9619700000000001,0.9988299999999999,0.18733,0.16896,0.27669,0.14858,0.0292,0.5030899999999999,0.00677,0.00117,0.03803
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.17,0.8559,0.50588,0.9718,0.9929899999999999,0.9606399999999999,0.9987799999999999,0.192,0.1739,0.28003,0.1441,0.0282,0.49412,0.00701,0.00122,0.03936
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.175,0.8601700000000001,0.51463,0.9727399999999999,0.99274,0.95929,0.99874,0.19667,0.17884,0.28336,0.13982999999999998,0.027260000000000003,0.48536999999999997,0.007259999999999999,0.00126,0.04071
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.18,0.86424,0.52318,0.97364,0.99249,0.95793,0.9987,0.20133,0.18378,0.28669,0.13576,0.02636,0.47681999999999997,0.007509999999999999,0.0013,0.042069999999999996
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.185,0.8681200000000001,0.53154,0.9744799999999999,0.99223,0.9565600000000001,0.99865,0.20600000000000002,0.18872,0.29003,0.13188,0.025519999999999998,0.46846000000000004,0.00777,0.00135,0.04344
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.19,0.87184,0.5397,0.97529,0.99198,0.9551799999999999,0.99861,0.21066999999999997,0.19366,0.29336,0.12816,0.02471,0.4603,0.008020000000000001,0.00139,0.04482
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.195,0.87539,0.5476800000000001,0.97605,0.99172,0.95378,0.99856,0.21533000000000002,0.1986,0.29669,0.12460999999999998,0.02395,0.45232,0.00828,0.00144,0.04622
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.2,0.87879,0.55548,0.97678,0.99145,0.95237,0.9985200000000001,0.22,0.20355,0.30002,0.12120999999999998,0.023219999999999998,0.44451999999999997,0.00855,0.00148,0.04763
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.205,0.88205,0.56311,0.9774700000000001,0.99119,0.95094,0.9984700000000001,0.22466999999999998,0.20849,0.30336,0.11795,0.02253,0.43688999999999995,0.00881,0.0015300000000000001,0.04906
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.21,0.8851700000000001,0.57058,0.9781299999999999,0.99092,0.9495100000000001,0.9984200000000001,0.22933,0.21343,0.30669,0.11483,0.02187,0.42941999999999997,0.00908,0.00158,0.05049
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.215,0.88818,0.57789,0.9787600000000001,0.99064,0.94805,0.9983700000000001,0.23399999999999999,0.21836999999999998,0.31001999999999996,0.11182,0.021240000000000002,0.42211000000000004,0.00936,0.0016300000000000002,0.05195
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.22,0.8910600000000001,0.58503,0.97936,0.9903700000000001,0.9465899999999999,0.9983299999999999,0.23867,0.22330999999999998,0.31335999999999997,0.10894000000000001,0.020640000000000002,0.41497,0.00963,0.0016699999999999998,0.05341
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.225,0.89384,0.5920300000000001,0.9799399999999999,0.9900899999999999,0.94511,0.99828,0.24333000000000002,0.22825,0.31669,0.10615999999999999,0.020059999999999998,0.40797,0.009909999999999999,0.00172,0.054889999999999994
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.23,0.89651,0.5988899999999999,0.98049,0.9898,0.9436100000000001,0.99823,0.248,0.23319,0.32001999999999997,0.10349000000000001,0.01951,0.40110999999999997,0.0102,0.0017699999999999999,0.056389999999999996
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.235,0.8990799999999999,0.6056,0.9810200000000001,0.9895200000000001,0.9421,0.99818,0.25267,0.23813,0.32335,0.10092000000000001,0.01898,0.3944,0.01048,0.00182,0.0579
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.24,0.90155,0.6121800000000001,0.9815299999999999,0.9892299999999999,0.94058,0.99813,0.25733,0.24306999999999998,0.32669000000000004,0.09845,0.01847,0.38782,0.01077,0.00187,0.05942000000000001
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.245,0.90394,0.61862,0.98201,0.98893,0.93904,0.99808,0.262,0.24800999999999998,0.33002,0.09606,0.01799,0.38138,0.01107,0.0019199999999999998,0.06096
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.25,0.90625,0.62493,0.9824799999999999,0.98864,0.93748,0.99802,0.26666999999999996,0.25295,0.33335,0.09375,0.017519999999999997,0.37506999999999996,0.011359999999999999,0.00198,0.06252
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.255,0.90848,0.63112,0.98293,0.9883299999999999,0.93591,0.99797,0.27133,0.2579,0.33669,0.09152,0.01707,0.36888000000000004,0.01167,0.00203,0.06409
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.26,0.9106299999999999,0.6371899999999999,0.9833700000000001,0.98803,0.9343299999999999,0.99792,0.276,0.26284,0.34002,0.08937,0.016630000000000002,0.36280999999999997,0.01197,0.0020800000000000003,0.06567
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.265,0.91271,0.6431399999999999,0.9837799999999999,0.98772,0.9327200000000001,0.9978600000000001,0.28067,0.26778,0.34335,0.08728999999999999,0.01622,0.35686,0.01228,0.00214,0.06727999999999999
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.27,0.9147200000000001,0.6489699999999999,0.9841799999999999,0.98741,0.9311,0.9978100000000001,0.28533000000000003,0.27271999999999996,0.34669,0.08528,0.015819999999999997,0.35103,0.01259,0.0021899999999999997,0.0689
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.275,0.9166700000000001,0.6547,0.9845700000000001,0.9870899999999999,0.92947,0.99775,0.29,0.27766,0.35002,0.08333,0.015430000000000001,0.3453,0.01291,0.00225,0.07053
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.28,0.91855,0.6603100000000001,0.98495,0.98677,0.9278200000000001,0.99769,0.29467,0.2826,0.35335,0.08145,0.01505,0.33969,0.01323,0.00231,0.07218
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.285,0.92038,0.66582,0.98531,0.98644,0.92615,0.99764,0.29933000000000004,0.28754,0.35668,0.07962000000000001,0.01469,0.33418000000000003,0.01356,0.00236,0.07385
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.29,0.92215,0.67123,0.9856600000000001,0.98611,0.9244600000000001,0.9975799999999999,0.304,0.29248,0.36002,0.07785,0.01434,0.32877,0.013890000000000001,0.00242,0.07554
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.295,0.9238700000000001,0.6765399999999999,0.9859899999999999,0.9857799999999999,0.92275,0.9975200000000001,0.30867,0.29741999999999996,0.36335,0.07612999999999999,0.01401,0.32345999999999997,0.014219999999999998,0.00248,0.07725
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.3,0.92553,0.68175,0.9863200000000001,0.98544,0.9210299999999999,0.99746,0.31333,0.30236,0.36668,0.07447000000000001,0.013680000000000001,0.31825,0.01456,0.0025399999999999997,0.07897
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.305,0.92715,0.68687,0.98664,0.9850899999999999,0.9192899999999999,0.9974,0.318,0.3073,0.37001999999999996,0.07285,0.013359999999999999,0.31313,0.01491,0.0026,0.08071
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.31,0.9287200000000001,0.6919,0.9869399999999999,0.98474,0.91753,0.99734,0.32266999999999996,0.31225,0.37335,0.07128,0.013059999999999999,0.3081,0.01526,0.00266,0.08247
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.315,0.93024,0.69684,0.98724,0.98439,0.91575,0.9972700000000001,0.32733,0.31719,0.37668,0.06976,0.012759999999999999,0.30316,0.015609999999999999,0.0027300000000000002,0.08425
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.32,0.93173,0.7016899999999999,0.9875299999999999,0.98403,0.91396,0.99721,0.332,0.32213,0.38001,0.06827000000000001,0.01247,0.29830999999999996,0.015969999999999998,0.00279,0.08603999999999999
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.325,0.93317,0.7064600000000001,0.9878100000000001,0.98367,0.91214,0.99715,0.33666999999999997,0.32706999999999997,0.38335,0.06683,0.012190000000000001,0.29354,0.01633,0.00285,0.08786000000000001
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.33,0.9345700000000001,0.71115,0.98808,0.9833,0.9103,0.99708,0.34133,0.33200999999999997,0.38668,0.06543,0.01192,0.28885,0.0167,0.00292,0.0897
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.335,0.9359299999999999,0.71575,0.98834,0.98293,0.90845,0.9970100000000001,0.34600000000000003,0.33695,0.39000999999999997,0.06407,0.01166,0.28425,0.01707,0.00299,0.09155
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.34,0.93726,0.72028,0.98859,0.98255,0.9065700000000001,0.99695,0.35067,0.34189,0.39335,0.06274,0.01141,0.27971999999999997,0.01745,0.00305,0.09343
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.345,0.9385600000000001,0.72473,0.9888399999999999,0.98216,0.9046700000000001,0.9968799999999999,0.35533000000000003,0.34683,0.39668000000000003,0.061439999999999995,0.01116,0.27526999999999996,0.01784,0.00312,0.09533
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.35,0.93981,0.72911,0.98908,0.98177,0.90275,0.9968100000000001,0.36,0.35176999999999997,0.40001,0.06019,0.010920000000000001,0.27089,0.01823,0.0031899999999999997,0.09725
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.355,0.94104,0.73341,0.9893200000000001,0.9813700000000001,0.90081,0.99674,0.36467,0.35670999999999997,0.40335,0.058960000000000005,0.01068,0.26659,0.01863,0.0032600000000000003,0.09919
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.36,0.94224,0.73765,0.98954,0.9809700000000001,0.89885,0.9966700000000001,0.36933,0.36165,0.40668000000000004,0.05776,0.010459999999999999,0.26235,0.019030000000000002,0.0033299999999999996,0.10115
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.365,0.9434,0.7418100000000001,0.98977,0.98056,0.8968700000000001,0.9966,0.374,0.3666,0.41001000000000004,0.0566,0.01023,0.25819000000000003,0.01944,0.0034,0.10313
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.37,0.9445399999999999,0.7459100000000001,0.98998,0.98015,0.89486,0.9965200000000001,0.37867,0.37154,0.41334,0.05546,0.010020000000000001,0.25409,0.01985,0.0034799999999999996,0.10514000000000001
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.375,0.94565,0.7499399999999999,0.99019,0.9797299999999999,0.8928299999999999,0.99645,0.38333,0.37648000000000004,0.41668,0.05435,0.00981,0.25006,0.02027,0.00355,0.10717
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.38,0.9467399999999999,0.7539100000000001,0.9904,0.9793,0.8907799999999999,0.9963700000000001,0.38799999999999996,0.38142,0.42001000000000005,0.05326,0.0096,0.24609,0.0207,0.0036299999999999995,0.10922
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.385,0.9477899999999999,0.7578199999999999,0.9906,0.97887,0.8887,0.99629,0.39266999999999996,0.38636,0.42333999999999994,0.05221,0.0094,0.24218,0.02113,0.00371,0.1113
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.39,0.94883,0.76167,0.99079,0.9784299999999999,0.8866,0.99621,0.39733,0.3913,0.42668,0.05117,0.00921,0.23833000000000001,0.02157,0.00379,0.1134
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.395,0.94983,0.76545,0.99098,0.97798,0.8844700000000001,0.99613,0.402,0.39624000000000004,0.43001000000000006,0.05017,0.00902,0.23455,0.022019999999999998,0.00387,0.11553
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.4,0.9508200000000001,0.76918,0.99116,0.9775299999999999,0.8823200000000001,0.99605,0.40667,0.40118000000000004,0.43333999999999995,0.04918,0.00884,0.23081999999999997,0.02247,0.00395,0.11767999999999999
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.405,0.95178,0.77285,0.99134,0.9770700000000001,0.88015,0.99597,0.41133000000000003,0.40612,0.43667,0.04822,0.00866,0.22715,0.022930000000000002,0.00403,0.11985
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.41,0.9527200000000001,0.77646,0.9915200000000001,0.9766,0.8779399999999999,0.9958899999999999,0.41600000000000004,0.41106000000000004,0.44001,0.04728,0.00848,0.22354000000000002,0.0234,0.00411,0.12205999999999999
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.415,0.95365,0.7800199999999999,0.99169,0.9761200000000001,0.87572,0.9958,0.42067,0.41600000000000004,0.44333999999999996,0.04635,0.00831,0.21998,0.023880000000000002,0.0042,0.12428
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.42,0.95455,0.7835300000000001,0.9918600000000001,0.97564,0.87346,0.99571,0.42533000000000004,0.42095,0.44666999999999996,0.04545,0.008140000000000001,0.21646999999999997,0.02436,0.0042899999999999995,0.12654
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.425,0.9554299999999999,0.78699,0.9920200000000001,0.97515,0.87118,0.9956299999999999,0.43,0.42589,0.45001,0.04457,0.00798,0.21300999999999998,0.02485,0.004370000000000001,0.12882000000000002
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.43,0.95629,0.7903899999999999,0.99218,0.97465,0.86887,0.99554,0.43467,0.43083,0.45333999999999997,0.04371,0.00782,0.20961,0.02535,0.00446,0.13113
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.435,0.9571299999999999,0.79375,0.99234,0.97414,0.8665299999999999,0.99544,0.43933,0.43577,0.45666999999999996,0.04287,0.007659999999999999,0.20625,0.02586,0.00456,0.13347
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.44,0.95796,0.79705,0.99249,0.97362,0.86416,0.99535,0.444,0.44071000000000005,0.46,0.04204,0.007509999999999999,0.20295,0.02638,0.00465,0.13584000000000002
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.445,0.9587700000000001,0.8003100000000001,0.99264,0.9731,0.86177,0.99526,0.44866999999999996,0.44565,0.46334,0.04123,0.007359999999999999,0.19969,0.0269,0.00474,0.13823
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.45,0.9595600000000001,0.80353,0.99279,0.9725600000000001,0.85934,0.99516,0.45333,0.45059,0.46667,0.04044,0.007209999999999999,0.19647,0.02744,0.00484,0.14065999999999998
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.455,0.9603299999999999,0.80669,0.99293,0.9720200000000001,0.85688,0.99506,0.45799999999999996,0.45553,0.47,0.03967,0.00707,0.19330999999999998,0.02798,0.00494,0.14312
Quidel Corporation,Lyra SARS-CoV-2 Assay,0.46,0.9611,0.80981,0.9930700000000001,0.97146,0.85439,0.9949600000000001,0.46266999999999997,0.46047,0.47334,0.0389,0.0069299999999999995,0.19019,0.02854,0.00504,0.14561
