company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.005,0.08235,0.0292,0.19788,0.9994299999999999,0.99845,0.9998100000000001,0.05421,0.02433,0.12466,0.91765,0.8021199999999999,0.9708,0.00057,0.00018999999999999998,0.00155
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.01,0.15281,0.05702,0.3315,0.9988600000000001,0.9968799999999999,0.9996200000000001,0.058429999999999996,0.02905,0.12769,0.84719,0.6685,0.9429799999999999,0.00114,0.00037999999999999997,0.00312
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.015,0.2138,0.08354,0.42778999999999995,0.99829,0.99531,0.9994200000000001,0.06264,0.033760000000000005,0.13072,0.7862,0.57221,0.91646,0.0017100000000000001,0.00058,0.00469
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.02,0.26709,0.10885999999999998,0.50048,0.9977,0.99372,0.99923,0.06686,0.03848,0.13375,0.7329100000000001,0.49951999999999996,0.8911399999999999,0.0023,0.0007700000000000001,0.00628
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.025,0.31406999999999996,0.13305999999999998,0.55729,0.9971200000000001,0.9921200000000001,0.99903,0.07107000000000001,0.04319,0.13677999999999998,0.68593,0.44271000000000005,0.8669399999999999,0.00288,0.0009699999999999999,0.00788
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.03,0.35579,0.15621,0.60292,0.9965200000000001,0.99051,0.9988299999999999,0.07529,0.04791,0.13982,0.6442100000000001,0.39708000000000004,0.8437899999999999,0.0034799999999999996,0.00117,0.00949
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.035,0.39308000000000004,0.17837999999999998,0.64036,0.99593,0.9888899999999999,0.9986299999999999,0.0795,0.052629999999999996,0.14285,0.60692,0.35964,0.8216200000000001,0.004070000000000001,0.00137,0.01111
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.04,0.42662,0.19963,0.67165,0.9953200000000001,0.98726,0.9984200000000001,0.08371,0.057339999999999995,0.14587999999999998,0.57338,0.32835,0.80037,0.00468,0.00158,0.012740000000000001
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.045,0.45695,0.22000999999999998,0.69819,0.99471,0.98562,0.9982200000000001,0.08793,0.062060000000000004,0.14891,0.54305,0.30180999999999997,0.77999,0.0052899999999999996,0.0017800000000000001,0.01438
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.05,0.4845,0.23956999999999998,0.72097,0.9941,0.9839700000000001,0.9980100000000001,0.09214,0.06677999999999999,0.15195,0.5155,0.27903,0.76043,0.0059,0.00199,0.016030000000000003
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.055,0.50964,0.25837,0.74075,0.9934799999999999,0.9823,0.9978,0.09636,0.07149,0.15498,0.49036,0.25925,0.74163,0.006520000000000001,0.0022,0.0177
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.06,0.53267,0.27645,0.75808,0.99285,0.98062,0.99759,0.10057,0.07621,0.15800999999999998,0.46733,0.24191999999999997,0.72355,0.00715,0.0024100000000000002,0.01938
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.065,0.55385,0.29385,0.7733899999999999,0.9922200000000001,0.97893,0.9973700000000001,0.10479000000000001,0.08093,0.16104000000000002,0.44615,0.22660999999999998,0.70615,0.00778,0.00263,0.02107
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.07,0.57339,0.31061,0.7870199999999999,0.9915799999999999,0.9772299999999999,0.99716,0.109,0.08564,0.16407,0.42661000000000004,0.21298000000000003,0.68939,0.00842,0.0028399999999999996,0.02277
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.075,0.59148,0.32676,0.7992199999999999,0.9909399999999999,0.97551,0.9969399999999999,0.11320999999999999,0.09036,0.16710999999999998,0.40852,0.20078,0.67324,0.009059999999999999,0.0030600000000000002,0.02449
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.08,0.60827,0.34233,0.81021,0.99029,0.97378,0.99672,0.11742999999999999,0.09507,0.17014,0.39173,0.18979000000000001,0.65767,0.00971,0.00328,0.02622
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.085,0.6239,0.35736,0.82016,0.9896299999999999,0.97204,0.9965,0.12164000000000001,0.09979,0.17317000000000002,0.3761,0.17984,0.64264,0.01037,0.0035,0.027960000000000002
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.09,0.63848,0.37187,0.8292200000000001,0.9889700000000001,0.97029,0.9962700000000001,0.12586,0.10450999999999999,0.1762,0.36152,0.17078,0.62813,0.01103,0.00373,0.029710000000000004
"RainSure Scientific Co., Ltd",RainSure COVID-19 dPCR Detection Kit (lab-based),0.095,0.6521100000000001,0.38588,0.83749,0.9883,0.96852,0.9960399999999999,0.13007,0.10922,0.17923,0.34789000000000003,0.16251,0.61412,0.0117,0.00396,0.03148
