company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.005,1.0,0.02207872256588601,1.0,0.9980953590248238,0.9972301690521601,0.9985916179482308,0.00310126582278481,0.0035966834526513225,0.1154995893226542,0.0,0.0,0.9779212774341141,0.001904640975176175,0.0014083820517692967,0.002769830947840002
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.01,1.0,0.043412292864652036,1.0,0.9961788307222008,0.9944478937469936,0.9971730314835341,0.00620253164556962,0.007193366905302645,0.11748208725483048,0.0,0.0,0.956587707135348,0.0038211692777990742,0.002826968516466022,0.005552106253006507
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.015,1.0,0.06403780798644597,1.0,0.9942503034562064,0.9916530900302574,0.9957441292987708,0.009303797468354429,0.01079005035795397,0.11946458518700673,0.0,0.0,0.9359621920135541,0.0057496965437935366,0.004255870701229236,0.008346909969742633
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.02,1.0,0.08398994273501355,1.0,0.9923096641886696,0.988845673089018,0.9943047984620816,0.01240506329113924,0.01438673381060529,0.12144708311918298,0.0,0.0,0.9160100572649864,0.007690335811330495,0.0056952015379184715,0.011154326910981949
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.025,1.0,0.10330114415877174,1.0,0.9903567984570876,0.9860255573430724,0.9928549243871329,0.01550632911392405,0.017983417263256612,0.12342958105135925,0.0,0.0,0.8966988558412282,0.009643201542912316,0.007145075612867147,0.0139744426569276
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.03,1.0,0.1220018076311502,1.0,0.9883915903521218,0.9831926564362516,0.9913943908027086,0.018607594936708858,0.02158010071590793,0.1254120789835355,0.0,0.0,0.8779981923688498,0.011608409647878236,0.008605609197291364,0.016807343563748356
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.035,1.0,0.1401204364900954,1.0,0.9864139224946626,0.9803468832276064,0.9899230797216269,0.02170886075949367,0.025176784168559254,0.12739457691571174,0.0,0.0,0.8598795635099046,0.013586077505337356,0.010076920278373149,0.019653116772393564
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.04,1.0,0.15768378700024566,1.0,0.9844236760124612,0.9774881497824716,0.9884408714089672,0.02481012658227848,0.02877346762121058,0.12937707484788805,0.0,0.0,0.8423162129997543,0.015576323987538944,0.01155912859103292,0.02251185021752844
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.045,1.0,0.1747170001883637,1.0,0.9824207305163096,0.9746163673634092,0.9869476443495884,0.027911392405063292,0.0323701510738619,0.1313595727800643,0.0,0.0,0.8252829998116363,0.017579269483690374,0.013052355650411629,0.025383632636590825
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.05,1.0,0.1912437219181837,1.0,0.9804049640757676,0.9717314464210264,0.9854432752149204,0.031012658227848093,0.035966834526513225,0.13334207071224055,0.0,0.0,0.8087562780818163,0.01959503592423251,0.014556724785079744,0.028268553578973725
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.055,1.0,0.20728621241071649,1.0,0.9783762531944172,0.9688332965846668,0.9839276388290084,0.03411392405063291,0.03956351797916455,0.13532456864441686,0.0,0.0,0.7927137875892835,0.02162374680558288,0.016072361170991645,0.031166703415333338
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.06,1.0,0.2228654462767499,1.0,0.9763344727846436,0.9659218266529752,0.9824006081337928,0.037215189873417716,0.04316020143181587,0.13730706657659308,0.0,0.0,0.7771345537232501,0.023665527215356308,0.01759939186620707,0.03407817334702479
RapiGEN Inc.,BIOCREDIT COVID-19 Ag,0.065,1.0,0.2380012040068182,1.0,0.9742794961419244,0.96299694458433,0.980862054153602,0.04031645569620253,0.046756884884467186,0.13928956450876934,0.0,0.0,0.7619987959931818,0.02572050385807556,0.01913794584639794,0.03700305541567006
