company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.005,0.14409,0.0449,0.37926,1.0,0.99977,1.0,0.0347,0.01318,0.10675,0.8559100000000001,0.62074,0.9551,0.0,0.0,0.00022999999999999998
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.01,0.25283,0.08634,0.5512,1.0,0.9995299999999999,1.0,0.03955,0.01814,0.11102999999999999,0.74717,0.4488,0.91366,0.0,0.0,0.00047000000000000004
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.015,0.33782,0.1247,0.64932,1.0,0.9993,1.0,0.0444,0.0231,0.11531,0.66218,0.35068,0.8753,0.0,0.0,0.0007
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.02,0.40606,0.16032000000000002,0.7127600000000001,1.0,0.9990600000000001,1.0,0.04925,0.02806,0.11959000000000002,0.5939399999999999,0.28724,0.83968,0.0,0.0,0.0009400000000000001
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.025,0.46207,0.19347,0.7571399999999999,1.0,0.99882,1.0,0.0541,0.03302,0.12387000000000001,0.53793,0.24286,0.80653,0.0,0.0,0.00118
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.03,0.5088600000000001,0.22441,0.78994,1.0,0.9985799999999999,1.0,0.058960000000000005,0.03798,0.12815,0.49113999999999997,0.21006,0.77559,0.0,0.0,0.0014199999999999998
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.035,0.5485399999999999,0.25335,0.81515,1.0,0.9983299999999999,1.0,0.06381,0.04294,0.13243,0.45146000000000003,0.18485,0.74665,0.0,0.0,0.0016699999999999998
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.04,0.5826100000000001,0.28048,0.83515,1.0,0.99808,1.0,0.06866,0.0479,0.13671,0.41739,0.16485,0.7195199999999999,0.0,0.0,0.0019199999999999998
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.045,0.6121800000000001,0.30596,0.8514,1.0,0.9978299999999999,1.0,0.07351,0.05285,0.14099,0.38782,0.1486,0.69404,0.0,0.0,0.00217
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.05,0.6381,0.32993,0.86485,1.0,0.9975799999999999,1.0,0.07836,0.05781,0.14528,0.3619,0.13515,0.6700699999999999,0.0,0.0,0.00242
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.055,0.66099,0.35254,0.87618,1.0,0.9973200000000001,1.0,0.08321,0.06277,0.14956,0.33901,0.12382,0.64746,0.0,0.0,0.00268
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.06,0.6813600000000001,0.37389,0.8858600000000001,1.0,0.9970700000000001,1.0,0.08806,0.06773,0.15384,0.31864000000000003,0.11414,0.62611,0.0,0.0,0.00293
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.065,0.6996,0.39408000000000004,0.8942100000000001,1.0,0.9968100000000001,1.0,0.09291,0.07269,0.15812,0.3004,0.10579000000000001,0.60592,0.0,0.0,0.0031899999999999997
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.07,0.71603,0.4132,0.90149,1.0,0.99654,1.0,0.09776,0.07765,0.1624,0.28397,0.09851,0.5868,0.0,0.0,0.00346
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.075,0.7309100000000001,0.43135,0.90791,1.0,0.9962799999999999,1.0,0.10260999999999999,0.08261,0.16668,0.26909,0.09208999999999999,0.56865,0.0,0.0,0.00372
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.08,0.74444,0.44858000000000003,0.91359,1.0,0.9960100000000001,1.0,0.10745999999999999,0.08757000000000001,0.17096,0.25556,0.08641,0.55142,0.0,0.0,0.00399
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.085,0.75681,0.46498,0.9186700000000001,1.0,0.99574,1.0,0.11231,0.09253,0.17524,0.24319000000000002,0.08133,0.5350199999999999,0.0,0.0,0.00426
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.09,0.76815,0.48058999999999996,0.9232299999999999,1.0,0.99546,1.0,0.11715999999999999,0.09748,0.17952,0.23185,0.07677,0.51941,0.0,0.0,0.00454
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.095,0.77859,0.49546999999999997,0.9273399999999999,1.0,0.99518,1.0,0.12201,0.10244,0.1838,0.22141,0.07266,0.50453,0.0,0.0,0.0048200000000000005
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.1,0.7882399999999999,0.50968,0.9310799999999999,1.0,0.9949,1.0,0.12687,0.1074,0.18808,0.21176,0.06892000000000001,0.49032,0.0,0.0,0.0051
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.105,0.7971699999999999,0.5232600000000001,0.9344899999999999,1.0,0.9946200000000001,1.0,0.13172,0.11235999999999999,0.19236,0.20282999999999998,0.06551,0.47673999999999994,0.0,0.0,0.005379999999999999
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.11,0.8054600000000001,0.5362399999999999,0.93761,1.0,0.9943299999999999,1.0,0.13657,0.11732000000000001,0.19664,0.19454000000000002,0.06239,0.46376000000000006,0.0,0.0,0.0056700000000000006
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.115,0.81319,0.54867,0.94047,1.0,0.99405,1.0,0.14142000000000002,0.12228,0.20093,0.18681,0.05952999999999999,0.45133,0.0,0.0,0.00595
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.12,0.8204100000000001,0.56058,0.9431200000000001,1.0,0.99375,1.0,0.14627,0.12724000000000002,0.20521,0.17959,0.05687999999999999,0.43942,0.0,0.0,0.00625
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.125,0.82716,0.57201,0.9455600000000001,1.0,0.99346,1.0,0.15112,0.1322,0.20949,0.17284000000000002,0.054439999999999995,0.42799,0.0,0.0,0.006540000000000001
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.13,0.83349,0.58297,0.94783,1.0,0.99316,1.0,0.15597,0.13716,0.21377,0.16651,0.05217,0.41703,0.0,0.0,0.006840000000000001
"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19,0.135,0.83944,0.59351,0.94994,1.0,0.9928600000000001,1.0,0.16082,0.14211,0.21805,0.16055999999999998,0.05006,0.40649,0.0,0.0,0.0071400000000000005
