company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.005,0.2949714285714289,0.06732694351725202,0.7085818918694529,0.9997814001696032,0.9994353518721848,0.9999151570000264,0.016221727845754527,0.006937441740751339,0.06643498169606935,0.7050285714285711,0.29141810813054714,0.9326730564827479,0.00021859983039673736,8.484299997368883e-05,0.0005646481278150928
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.01,0.4568141592920357,0.126716356204485,0.8301501220340249,0.999560689263397,0.9988656472079072,0.9998294716143354,0.020949202817945854,0.011843028057024642,0.07059647853198954,0.5431858407079643,0.16984987796597506,0.8732836437955149,0.0004393107366029714,0.00017052838566455897,0.0011343527920928411
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.015,0.5590613718411556,0.17949379600805515,0.8805048854488148,0.9993378365521834,0.9982908177782284,0.9997429312345674,0.025676677790137173,0.016748614373297947,0.07475797536790972,0.4409386281588445,0.11949511455118522,0.8205062039919448,0.000662163447816555,0.00025706876543263313,0.0017091822217716324
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.02,0.6295121951219516,0.2267052292832677,0.9080447094522656,0.9991128107074568,0.9977107941211598,0.9996555229994806,0.030404152762328506,0.02165420068957125,0.07891947220382993,0.3704878048780485,0.09195529054773444,0.7732947707167324,0.0008871892925430557,0.00034447700051942753,0.002289205878840184
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.025,0.6810026385224277,0.26918705402201626,0.9254113356244104,0.998885579786723,0.9971255055136821,0.9995672337885798,0.035131627734519826,0.026559787005844555,0.0830809690397501,0.3189973614775723,0.07458866437558953,0.7308129459779837,0.001114420213277012,0.000432766211420188,0.0028744944863180466
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.03,0.7202790697674422,0.30761608228235343,0.9373628991600649,0.9986561112183818,0.9965348799429976,0.9994780502155509,0.03985910270671115,0.031465373322117865,0.08724246587567029,0.27972093023255784,0.06263710083993501,0.6923839177176465,0.0013438887816181744,0.0005219497844489718,0.003465120057002502
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.035,0.7512266112266114,0.3425458688299984,0.9460904935114316,0.9984243717861648,0.9959388440769942,0.9993879586214952,0.04458657767890247,0.03637095963839116,0.09140396271159047,0.24877338877338864,0.053909506488568286,0.6574541311700016,0.0015756282138351676,0.0006120413785047907,0.004061155923005821
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.04,0.7762406015037596,0.3744335479700998,0.9527435941553514,0.9981903276131046,0.9953373232338928,0.9992969450679544,0.0493140526510938,0.04127654595466446,0.09556545954751068,0.2237593984962404,0.04725640584464863,0.6255664520299002,0.0018096723868954445,0.0007030549320456991,0.004662676766107099
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.045,0.7968782161234993,0.4036599511491429,0.9579832754582962,0.9979539441450268,0.9947302413510536,0.9992049953297224,0.05404152762328512,0.046182132270937766,0.09972695638343083,0.2031217838765007,0.0420167245417038,0.596340048850857,0.0020460558549730834,0.0007950046702775992,0.005269758648946299
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.05,0.8141955835962147,0.4305448894091133,0.9622166989124988,0.9977151861335434,0.9941175209529122,0.999112094887434,0.058769002595476426,0.05108771858721107,0.10388845321935104,0.1858044164037853,0.03778330108750128,0.5694551105908867,0.002284813866456625,0.0008879051125658678,0.00588247904708783
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.055,0.8289343065693432,0.4553589042592062,0.9657083399624041,0.9974740176185292,0.9934990831180188,0.9990182289199204,0.06349647756766777,0.05599330490348438,0.10804995005527122,0.1710656934306568,0.03429166003759598,0.5446410957407938,0.002525982381470837,0.000981771080079685,0.006500916881981289
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.06,0.8416304347826088,0.4783324037760414,0.9686374569264784,0.9972304019100676,0.9928748474451512,0.9989233822963272,0.06822395253985909,0.060898891219757674,0.11221144689119142,0.1583695652173912,0.03136254307352149,0.5216675962239585,0.002769598089932379,0.0010766177036728444,0.0071251525548488015
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.065,0.8526810673443458,0.4996628384620426,0.9711298547907056,0.996984301569843,0.9922447320184686,0.9988275395679836,0.07295142751205043,0.06580447753603097,0.1163729437271116,0.1473189326556542,0.028870145209294318,0.5003371615379575,0.003015698430157032,0.0011724604320164644,0.0077552679815313654
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.07,0.8623866348448689,0.5195203906085811,0.9732764271191788,0.9967356783919598,0.9916086533716778,0.9987306849600136,0.07767890248424175,0.0707100638523043,0.1205344405630318,0.13761336515513112,0.02672357288082117,0.4804796093914189,0.003264321608040244,0.0012693150399863964,0.008391346628322194
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.075,0.8709786276715412,0.5380525244271342,0.9751444804950814,0.99648449338317,0.9909665264511746,0.9986328023626806,0.08240637745643307,0.0756156501685776,0.124695937398952,0.12902137232845878,0.0248555195049186,0.4619474755728658,0.0035155066168299776,0.0013671976373194061,0.009033473548825444
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.08,0.8786382978723405,0.5553876544917837,0.9767849194557328,0.9962307067424858,0.990318264578132,0.9985338753224542,0.0871338524286244,0.08052123648485089,0.12885743423487214,0.12136170212765952,0.02321508054426713,0.44461234550821627,0.0037692932575141844,0.0014661246775458105,0.0096817354218679
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.085,0.8855095862764886,0.5716381255784432,0.9782369558829836,0.9959742778401552,0.989663779409495,0.9984338870327903,0.09186132740081572,0.08542682280112421,0.13301893107079235,0.11449041372351144,0.02176304411701635,0.4283618744215568,0.004025722159844869,0.001566112967209543,0.010336220590504984
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.09,0.8917082533589252,0.5869026501267911,0.9795312839063992,0.9957151651959778,0.9890029808978448,0.9983328203246132,0.09658880237300706,0.09033240911739752,0.13718042790671256,0.10829174664107476,0.020468716093600903,0.4130973498732089,0.004284834804022197,0.0016671796753867651,0.010997019102155114
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.095,0.8973284537968894,0.601268315108518,0.9806922735954341,0.9954533264569366,0.9883357772500999,0.998230657656486,0.10131627734519837,0.0952379954336708,0.14134192474263274,0.1026715462031106,0.019307726404566017,0.398731684891482,0.004546673543063372,0.0017693423435140019,0.011664222749899977
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.1,0.9024475524475524,0.6148122445087889,0.9817395198965784,0.9951887183741186,0.9876620748850072,0.998127381104462,0.10604375231738968,0.10014358174994413,0.14550342157855292,0.09755244755244752,0.018260480103421628,0.3851877554912111,0.004811281625881403,0.0018726188955379144,0.012337925114992765
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.105,0.9071297071129708,0.627602984451674,0.9826889575768792,0.9949212967789012,0.9869817783893856,0.9980229723516014,0.110771227289581,0.10504916806621742,0.1496649184144731,0.0928702928870292,0.01731104242312087,0.3723970155483261,0.0050787032210987135,0.001977027648398577,0.0130182216106145
Roche Molecular Diagnostics,cobas® SARS-CoV-2 (for use on the cobas® 6800/8800 Systems),0.11,0.9114285714285716,0.6397016634931233,0.9835536777109712,0.9946510165583736,0.9862947904730788,0.99791741267714,0.11549870226177232,0.10995475438249072,0.15382641525039328,0.08857142857142852,0.01644632228902887,0.3602983365068767,0.005348983441626487,0.00208258732285993,0.013705209526921336
