company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.005,0.07009,0.01305,0.29749000000000003,1.0,0.99846,1.0,0.07132999999999999,0.01681,0.3006,0.92991,0.7025100000000001,0.98695,0.0,0.0,0.0015400000000000001
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.01,0.13158,0.025889999999999996,0.45981000000000005,1.0,0.9969100000000001,1.0,0.076,0.02175,0.30304000000000003,0.8684200000000001,0.54019,0.97411,0.0,0.0,0.00309
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.015,0.18595,0.03853,0.56204,1.0,0.99535,1.0,0.08067,0.02669,0.30546999999999996,0.81405,0.43796,0.96147,0.0,0.0,0.00465
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.02,0.23438,0.05097,0.6323300000000001,1.0,0.9937799999999999,1.0,0.08532999999999999,0.03163,0.3079,0.76562,0.36767,0.9490299999999999,0.0,0.0,0.006220000000000001
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.025,0.27778,0.06321,0.68362,1.0,0.99219,1.0,0.09,0.03657,0.31033,0.72222,0.31638,0.93679,0.0,0.0,0.007809999999999999
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.03,0.3169,0.07527,0.7227100000000001,1.0,0.9906,1.0,0.09467,0.041510000000000005,0.31277,0.6831,0.27729000000000004,0.9247299999999999,0.0,0.0,0.0094
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.035,0.35235,0.08713,0.75348,1.0,0.9890000000000001,1.0,0.09933,0.04645,0.3152,0.64765,0.24652,0.9128700000000001,0.0,0.0,0.011000000000000001
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.04,0.38461999999999996,0.09882,0.77833,1.0,0.9873799999999999,1.0,0.10400000000000001,0.05139,0.31763,0.61538,0.22166999999999998,0.90118,0.0,0.0,0.012620000000000001
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.045,0.41411000000000003,0.11032,0.79883,1.0,0.98575,1.0,0.10867,0.05633,0.32006,0.5858899999999999,0.20117000000000002,0.8896799999999999,0.0,0.0,0.01425
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.05,0.44118,0.12165999999999999,0.81602,1.0,0.98411,1.0,0.11333,0.061270000000000005,0.3225,0.55882,0.18398,0.87834,0.0,0.0,0.01589
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.055,0.4661,0.13282,0.8306399999999999,1.0,0.98246,1.0,0.11800000000000001,0.06621,0.32493,0.5339,0.16935999999999998,0.86718,0.0,0.0,0.01754
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.06,0.48913,0.14382,0.8432299999999999,1.0,0.9807899999999999,1.0,0.12267,0.07115,0.32736,0.5108699999999999,0.15677,0.8561799999999999,0.0,0.0,0.019209999999999998
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.065,0.51047,0.15466,0.85419,1.0,0.9791200000000001,1.0,0.12733,0.0761,0.32979,0.48953,0.14581,0.84534,0.0,0.0,0.020880000000000003
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.07,0.5303,0.16533,0.8638100000000001,1.0,0.9774299999999999,1.0,0.132,0.08104,0.33223,0.4697,0.13619,0.83467,0.0,0.0,0.02257
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.075,0.54878,0.17585,0.8723299999999999,1.0,0.9757299999999999,1.0,0.13667,0.08598,0.33466,0.45121999999999995,0.12767,0.82415,0.0,0.0,0.02427
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.08,0.56604,0.18622,0.87992,1.0,0.9740200000000001,1.0,0.14132999999999998,0.09092,0.33709,0.43396,0.12007999999999999,0.8137800000000001,0.0,0.0,0.02598
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.085,0.58219,0.19645,0.8867299999999999,1.0,0.97229,1.0,0.146,0.09586,0.33952,0.41781,0.11327000000000001,0.80355,0.0,0.0,0.027710000000000002
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.09,0.59735,0.20651999999999998,0.89287,1.0,0.97055,1.0,0.15067,0.1008,0.34196,0.40265,0.10712999999999999,0.79348,0.0,0.0,0.02945
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.095,0.61159,0.21645999999999999,0.89844,1.0,0.9688,1.0,0.15533,0.10574000000000001,0.34439000000000003,0.38841,0.10156,0.78354,0.0,0.0,0.0312
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.1,0.625,0.22625,0.90351,1.0,0.96704,1.0,0.16,0.11068,0.34681999999999996,0.375,0.09648999999999999,0.77375,0.0,0.0,0.03296
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.105,0.63765,0.23590999999999998,0.90814,1.0,0.96526,1.0,0.16467,0.11562,0.34925,0.36235,0.09186,0.7640899999999999,0.0,0.0,0.03474
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.11,0.64961,0.24543,0.9124,1.0,0.96347,1.0,0.16933,0.12055999999999999,0.35169,0.35039000000000003,0.0876,0.75457,0.0,0.0,0.03653
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.115,0.66092,0.25482,0.91632,1.0,0.9616600000000001,1.0,0.174,0.1255,0.35412,0.33908,0.08367999999999999,0.7451800000000001,0.0,0.0,0.03834
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.12,0.67164,0.26409,0.91994,1.0,0.9598399999999999,1.0,0.17867,0.13044,0.35655,0.32836,0.08006,0.7359100000000001,0.0,0.0,0.04016
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.125,0.68182,0.27323000000000003,0.9233,1.0,0.95801,1.0,0.18333,0.13538,0.35898,0.31818,0.0767,0.72677,0.0,0.0,0.04199
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.13,0.6914899999999999,0.28225,0.92643,1.0,0.9561700000000001,1.0,0.188,0.14032,0.36141999999999996,0.30851,0.07357000000000001,0.71775,0.0,0.0,0.04383
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.135,0.7006899999999999,0.29114,0.9293399999999999,1.0,0.95431,1.0,0.19267,0.14526,0.36385,0.29930999999999996,0.07066,0.70886,0.0,0.0,0.045689999999999995
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.14,0.7094600000000001,0.29991999999999996,0.93206,1.0,0.9524299999999999,1.0,0.19733,0.15020999999999998,0.36628,0.29054,0.06794,0.70008,0.0,0.0,0.04757
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.145,0.71782,0.30858,0.9346,1.0,0.9505399999999999,1.0,0.20199999999999999,0.15515,0.36872,0.28218000000000004,0.0654,0.69142,0.0,0.0,0.049460000000000004
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.15,0.7258100000000001,0.31713,0.93699,1.0,0.9486399999999999,1.0,0.20667,0.16009,0.37115,0.27419,0.06301,0.68287,0.0,0.0,0.05136
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.155,0.73344,0.32556999999999997,0.93924,1.0,0.9467200000000001,1.0,0.21133000000000002,0.16502999999999998,0.37358,0.26655999999999996,0.06076,0.67443,0.0,0.0,0.053279999999999994
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.16,0.74074,0.3339,0.94135,1.0,0.94479,1.0,0.21600000000000003,0.16997,0.37601,0.25926,0.05865,0.6661,0.0,0.0,0.05521
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.165,0.74773,0.34212,0.94335,1.0,0.94284,1.0,0.22066999999999998,0.17490999999999998,0.37845,0.25227,0.05665,0.65788,0.0,0.0,0.05716
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.17,0.75444,0.35023000000000004,0.94524,1.0,0.9408799999999999,1.0,0.22533000000000003,0.17985,0.38088,0.24556,0.05476,0.64977,0.0,0.0,0.059120000000000006
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.175,0.7608699999999999,0.35825,0.9470200000000001,1.0,0.9389,1.0,0.23,0.18479,0.38331,0.23913,0.05297999999999999,0.64175,0.0,0.0,0.0611
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.18,0.76705,0.36616,0.94871,1.0,0.9369,1.0,0.23467,0.18972999999999998,0.38574,0.23295,0.051289999999999995,0.63384,0.0,0.0,0.0631
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.185,0.77298,0.37396999999999997,0.95032,1.0,0.93489,1.0,0.23933000000000001,0.19467,0.38818,0.22701999999999997,0.04968,0.62603,0.0,0.0,0.06511
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.19,0.77869,0.38169000000000003,0.95185,1.0,0.9328700000000001,1.0,0.244,0.19960999999999998,0.39061,0.22130999999999998,0.04815,0.61831,0.0,0.0,0.06713
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.195,0.78418,0.38931,0.9533,1.0,0.9308200000000001,1.0,0.24866999999999997,0.20455,0.39304,0.21581999999999998,0.0467,0.61069,0.0,0.0,0.06917999999999999
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.2,0.78947,0.39683,0.95468,1.0,0.9287700000000001,1.0,0.25333,0.20949,0.39547,0.21053000000000002,0.04532,0.60317,0.0,0.0,0.07123
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.205,0.79457,0.40426999999999996,0.95601,1.0,0.92669,1.0,0.258,0.21443,0.39791,0.20543000000000003,0.043989999999999994,0.59573,0.0,0.0,0.07331
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.21,0.7994899999999999,0.41161000000000003,0.9572700000000001,1.0,0.9246,1.0,0.26266999999999996,0.21936999999999998,0.40034000000000003,0.20051,0.042730000000000004,0.58839,0.0,0.0,0.0754
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.215,0.80424,0.41886999999999996,0.95847,1.0,0.9224899999999999,1.0,0.26733,0.22432,0.40276999999999996,0.19576,0.041530000000000004,0.58113,0.0,0.0,0.07751
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.22,0.80882,0.42603,0.9596299999999999,1.0,0.9203600000000001,1.0,0.272,0.22926,0.4052,0.19118,0.040369999999999996,0.57397,0.0,0.0,0.07964
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.225,0.81325,0.43312,0.96073,1.0,0.91822,1.0,0.27666999999999997,0.2342,0.40764,0.18675,0.03927,0.56688,0.0,0.0,0.08177999999999999
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.23,0.8175399999999999,0.44011000000000006,0.9617899999999999,1.0,0.91605,1.0,0.28133,0.23914000000000002,0.41007,0.18245999999999998,0.03821,0.55989,0.0,0.0,0.08395
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.235,0.82168,0.44703000000000004,0.96281,1.0,0.9138700000000001,1.0,0.28600000000000003,0.24408000000000002,0.4125,0.17832,0.03719,0.55297,0.0,0.0,0.08613
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.24,0.8256899999999999,0.45387,0.96378,1.0,0.9116700000000001,1.0,0.29067,0.24902,0.41493,0.17431,0.03622,0.54613,0.0,0.0,0.08832999999999999
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.245,0.82957,0.46062,0.96472,1.0,0.90946,1.0,0.29533000000000004,0.25395999999999996,0.41736999999999996,0.17043,0.03528,0.53938,0.0,0.0,0.09054
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.25,0.8333299999999999,0.4673,0.96562,1.0,0.90722,1.0,0.3,0.2589,0.4198,0.16667,0.03438,0.5327,0.0,0.0,0.09278
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.255,0.83698,0.4739,0.96649,1.0,0.90497,1.0,0.30467,0.26384,0.42223,0.16302,0.033510000000000005,0.5261,0.0,0.0,0.09502999999999999
Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,0.26,0.84052,0.48041999999999996,0.9673299999999999,1.0,0.9027,1.0,0.30933,0.26878,0.42466000000000004,0.15947999999999998,0.03267,0.51958,0.0,0.0,0.0973
