company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.005,1.0,0.03132,1.0,1.0,0.9991700000000001,1.0,0.005,0.005,0.13681,0.0,0.0,0.9686799999999999,0.0,0.0,0.0008300000000000001
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.01,1.0,0.061020000000000005,1.0,1.0,0.9983299999999999,1.0,0.01,0.01,0.14043,0.0,0.0,0.9389799999999999,0.0,0.0,0.0016699999999999998
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.015,1.0,0.08922999999999999,1.0,1.0,0.99749,1.0,0.015,0.015,0.14405,0.0,0.0,0.9107700000000001,0.0,0.0,0.00251
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.02,1.0,0.11605,1.0,1.0,0.99664,1.0,0.02,0.02,0.14767,0.0,0.0,0.88395,0.0,0.0,0.00336
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.025,1.0,0.1416,1.0,1.0,0.9957799999999999,1.0,0.025,0.025,0.15129,0.0,0.0,0.8584,0.0,0.0,0.004220000000000001
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.03,1.0,0.16595,1.0,1.0,0.99492,1.0,0.03,0.03,0.15491,0.0,0.0,0.83405,0.0,0.0,0.0050799999999999994
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.035,1.0,0.18919,1.0,1.0,0.99405,1.0,0.035,0.035,0.15853,0.0,0.0,0.81081,0.0,0.0,0.00595
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.04,1.0,0.21139000000000002,1.0,1.0,0.9931700000000001,1.0,0.04,0.04,0.16214,0.0,0.0,0.78861,0.0,0.0,0.00683
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.045,1.0,0.23262,1.0,1.0,0.9922799999999999,1.0,0.045,0.045,0.16576,0.0,0.0,0.7673800000000001,0.0,0.0,0.00772
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.05,1.0,0.25294,1.0,1.0,0.9913799999999999,1.0,0.05,0.05,0.16938,0.0,0.0,0.7470600000000001,0.0,0.0,0.008620000000000001
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.055,1.0,0.27242,1.0,1.0,0.9904799999999999,1.0,0.055,0.055,0.17300000000000001,0.0,0.0,0.72758,0.0,0.0,0.00952
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.06,1.0,0.2911,1.0,1.0,0.9895700000000001,1.0,0.06,0.06,0.17662,0.0,0.0,0.7089,0.0,0.0,0.01043
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.065,1.0,0.30901999999999996,1.0,1.0,0.98865,1.0,0.065,0.065,0.18024,0.0,0.0,0.69098,0.0,0.0,0.01135
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.07,1.0,0.32624000000000003,1.0,1.0,0.98772,1.0,0.07,0.07,0.18385,0.0,0.0,0.67376,0.0,0.0,0.01228
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.075,1.0,0.3428,1.0,1.0,0.98679,1.0,0.075,0.075,0.18747,0.0,0.0,0.6572,0.0,0.0,0.01321
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.08,1.0,0.35873,1.0,1.0,0.98585,1.0,0.08,0.08,0.19109,0.0,0.0,0.64127,0.0,0.0,0.01415
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.085,1.0,0.37406999999999996,1.0,1.0,0.9848899999999999,1.0,0.085,0.085,0.19471,0.0,0.0,0.62593,0.0,0.0,0.01511
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.09,1.0,0.38885,1.0,1.0,0.98393,1.0,0.09,0.09,0.19833,0.0,0.0,0.61115,0.0,0.0,0.016069999999999997
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.095,1.0,0.40309,1.0,1.0,0.9829600000000001,1.0,0.095,0.095,0.20195,0.0,0.0,0.59691,0.0,0.0,0.01704
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.1,1.0,0.41684,1.0,1.0,0.98198,1.0,0.1,0.1,0.20556,0.0,0.0,0.58316,0.0,0.0,0.018019999999999998
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.105,1.0,0.43011000000000005,1.0,1.0,0.981,1.0,0.105,0.105,0.20918,0.0,0.0,0.56989,0.0,0.0,0.019
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.11,1.0,0.44293000000000005,1.0,1.0,0.98,1.0,0.11,0.11,0.2128,0.0,0.0,0.55707,0.0,0.0,0.02
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.115,1.0,0.45532,1.0,1.0,0.9790000000000001,1.0,0.115,0.115,0.21641999999999997,0.0,0.0,0.54468,0.0,0.0,0.021
"Seasun Biomaterials, Inc.",U-TOP COVID-19 Detection Kit,0.12,1.0,0.46731000000000006,1.0,1.0,0.97798,1.0,0.12,0.12,0.22004,0.0,0.0,0.53269,0.0,0.0,0.022019999999999998
