company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.005,1.0,0.02712,1.0,0.9983799999999999,0.9978100000000001,0.9986799999999999,0.00339,0.0036899999999999997,0.11277000000000001,0.0,0.0,0.97288,0.00162,0.00132,0.0021899999999999997
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.01,1.0,0.05306,1.0,0.9967600000000001,0.99561,0.99736,0.00678,0.007379999999999999,0.11527000000000001,0.0,0.0,0.94694,0.00324,0.00264,0.00439
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.015,1.0,0.0779,1.0,0.9951200000000001,0.9934,0.9960200000000001,0.01017,0.01107,0.11778,0.0,0.0,0.9221,0.00488,0.00398,0.0066
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.02,1.0,0.1017,1.0,0.9934700000000001,0.9911700000000001,0.99467,0.01356,0.01475,0.12029000000000001,0.0,0.0,0.8983,0.006529999999999999,0.00533,0.00883
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.025,1.0,0.12453,1.0,0.9918100000000001,0.98893,0.9933200000000001,0.01695,0.01844,0.12279000000000001,0.0,0.0,0.8754700000000001,0.008190000000000001,0.006679999999999999,0.01107
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.03,1.0,0.14644000000000001,1.0,0.9901399999999999,0.9866799999999999,0.99195,0.02034,0.02213,0.1253,0.0,0.0,0.85356,0.009859999999999999,0.00805,0.013319999999999999
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.035,1.0,0.1675,1.0,0.98845,0.9844200000000001,0.9905799999999999,0.02373,0.02582,0.12780999999999998,0.0,0.0,0.8325,0.01155,0.00942,0.015580000000000002
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.04,1.0,0.18775,1.0,0.9867600000000001,0.98214,0.98919,0.02712,0.02951,0.13030999999999998,0.0,0.0,0.81225,0.01324,0.01081,0.01786
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.045,1.0,0.20723000000000003,1.0,0.98505,0.97985,0.98779,0.0305,0.0332,0.13282,0.0,0.0,0.79277,0.01495,0.012209999999999999,0.02015
"Shenzhen Bioeasy Biotechnology Co., Ltd",Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence),0.05,1.0,0.22599,1.0,0.9833299999999999,0.97754,0.9863799999999999,0.03389,0.03688,0.13533,0.0,0.0,0.7740100000000001,0.016669999999999997,0.013619999999999998,0.02246
