company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.005,0.09104,0.03503,0.20722,0.99985,0.9991899999999999,0.99997,0.0534,0.02401,0.12251,0.90896,0.79278,0.9649700000000001,0.00015,2.9999999999999997e-05,0.00081
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.01,0.16758,0.06801,0.34443,0.99971,0.9983799999999999,0.99995,0.05801,0.02889,0.12621,0.83242,0.65557,0.93199,0.00029,5e-05,0.00162
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.015,0.23284000000000002,0.0991,0.442,0.99956,0.99756,0.99992,0.06262999999999999,0.03377,0.12991,0.7671600000000001,0.5579999999999999,0.9009,0.00044,8e-05,0.00244
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.02,0.28914,0.12847999999999998,0.5149199999999999,0.9994,0.9967299999999999,0.9999,0.06725,0.03865,0.13360999999999998,0.71086,0.48508,0.8715200000000001,0.0006,0.0001,0.0032700000000000003
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.025,0.3382,0.15628,0.5715,0.99925,0.9958899999999999,0.99987,0.07187,0.04353,0.1373,0.6618,0.4285,0.84372,0.00075,0.00013000000000000002,0.00411
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.03,0.38134,0.18262,0.6166699999999999,0.9991,0.99505,0.99984,0.07647999999999999,0.04841,0.141,0.61866,0.38333,0.81738,0.0009,0.00016,0.00495
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.035,0.41957,0.20761,0.65356,0.9989399999999999,0.9942,0.99982,0.0811,0.05329,0.1447,0.58043,0.34644,0.7923899999999999,0.00106,0.00018,0.0058
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.04,0.45368,0.23135,0.6842699999999999,0.9987799999999999,0.99334,0.99979,0.08572,0.058170000000000006,0.1484,0.54632,0.31573,0.76865,0.00122,0.00021,0.006659999999999999
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.045,0.48431,0.25395,0.71022,0.9986299999999999,0.9924799999999999,0.99976,0.09034,0.06305,0.15209,0.51569,0.28978000000000004,0.74605,0.00137,0.00023999999999999998,0.007520000000000001
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.05,0.51195,0.27547,0.73245,0.9984700000000001,0.99161,0.99974,0.09495,0.06792999999999999,0.15579,0.48805,0.26755,0.72453,0.0015300000000000001,0.00026000000000000003,0.00839
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.055,0.53703,0.29599000000000003,0.7517,0.9983,0.9907299999999999,0.99971,0.09957,0.07281,0.15949000000000002,0.46297,0.2483,0.70401,0.0017,0.00029,0.00927
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.06,0.55989,0.31558,0.76852,0.9981399999999999,0.9898399999999999,0.9996799999999999,0.10419,0.07769,0.16319,0.44011000000000006,0.23148000000000002,0.68442,0.00186,0.00032,0.010159999999999999
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.065,0.58081,0.3343,0.7833600000000001,0.99797,0.9889399999999999,0.99965,0.1088,0.08257,0.16688,0.41918999999999995,0.21664,0.6657,0.00203,0.00035,0.011059999999999999
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.07,0.60002,0.35222,0.7965399999999999,0.9978100000000001,0.9880399999999999,0.9996200000000001,0.11342,0.08745,0.17057999999999998,0.39998,0.20346,0.64778,0.0021899999999999997,0.00037999999999999997,0.01196
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.075,0.61774,0.36937,0.80833,0.99764,0.98713,0.99959,0.11804,0.09233,0.17428,0.38226,0.19167,0.63063,0.00236,0.00041,0.01287
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.08,0.6341100000000001,0.38581,0.81894,0.9974700000000001,0.98621,0.99956,0.12265999999999999,0.09721,0.17798,0.36589,0.18106,0.61419,0.00253,0.00044,0.01379
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay,0.085,0.6493,0.40158,0.8285299999999999,0.99729,0.9852799999999999,0.9995299999999999,0.12727,0.10209,0.18167,0.3507,0.17147,0.59842,0.00271,0.00047000000000000004,0.014719999999999999
