company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.005,1.0,0.040619999999999996,1.0,0.9998299999999999,0.9990700000000001,0.99997,0.00483,0.0049700000000000005,0.10257999999999999,0.0,0.0,0.9593799999999999,0.00016999999999999999,2.9999999999999997e-05,0.00093
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.01,1.0,0.07843,1.0,0.99966,0.99813,0.9999399999999999,0.00967,0.009940000000000001,0.10625,0.0,0.0,0.9215700000000001,0.00033999999999999997,5.9999999999999995e-05,0.00187
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.015,1.0,0.11370999999999999,1.0,0.99949,0.9971899999999999,0.9999100000000001,0.0145,0.01491,0.10992,0.0,0.0,0.8862899999999999,0.0005099999999999999,9e-05,0.00281
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.02,1.0,0.14672000000000002,1.0,0.9993200000000001,0.99624,0.9998799999999999,0.01933,0.019880000000000002,0.11359000000000001,0.0,0.0,0.8532799999999999,0.0006799999999999999,0.00011999999999999999,0.0037600000000000003
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.025,1.0,0.17765,1.0,0.99915,0.9952799999999999,0.99985,0.02417,0.02485,0.11725999999999999,0.0,0.0,0.82235,0.00085,0.00015,0.00472
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.03,1.0,0.20670999999999998,1.0,0.99897,0.99431,0.99982,0.028999999999999998,0.02982,0.12094,0.0,0.0,0.7932899999999999,0.00103,0.00018,0.00569
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.035,1.0,0.23406,1.0,0.99879,0.9933299999999999,0.99979,0.03383,0.034789999999999995,0.12460999999999998,0.0,0.0,0.76594,0.00121,0.00021,0.006670000000000001
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.04,1.0,0.25984,1.0,0.99861,0.99235,0.99975,0.038669999999999996,0.039760000000000004,0.12828,0.0,0.0,0.74016,0.00139,0.00025,0.00765
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.045,1.0,0.28418000000000004,1.0,0.9984299999999999,0.99136,0.99972,0.0435,0.04473,0.13195,0.0,0.0,0.71582,0.00157,0.00028,0.00864
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.05,1.0,0.30721,1.0,0.99825,0.99036,0.99969,0.04833,0.0497,0.13562000000000002,0.0,0.0,0.69279,0.00175,0.00031,0.009640000000000001
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.055,1.0,0.32902,1.0,0.9980600000000001,0.98935,0.99966,0.05317,0.05467999999999999,0.1393,0.0,0.0,0.67098,0.0019399999999999999,0.00033999999999999997,0.01065
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.06,1.0,0.34970999999999997,1.0,0.9978799999999999,0.9883299999999999,0.9996200000000001,0.057999999999999996,0.05965,0.14297,0.0,0.0,0.6502899999999999,0.00212,0.00037999999999999997,0.01167
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.065,1.0,0.36937,1.0,0.99769,0.9873,0.99959,0.06283,0.06462000000000001,0.14664000000000002,0.0,0.0,0.63063,0.00231,0.00041,0.0127
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.07,1.0,0.38806,1.0,0.9975,0.9862700000000001,0.99956,0.06767000000000001,0.06959,0.15031,0.0,0.0,0.6119399999999999,0.0025,0.00044,0.013730000000000001
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.075,1.0,0.40587,1.0,0.9973,0.9852200000000001,0.9995200000000001,0.0725,0.07456,0.15398,0.0,0.0,0.59413,0.0027,0.00047999999999999996,0.014780000000000001
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.08,1.0,0.42283999999999994,1.0,0.99711,0.9841700000000001,0.99949,0.07733,0.07952999999999999,0.15766,0.0,0.0,0.57716,0.0028899999999999998,0.0005099999999999999,0.01583
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.085,1.0,0.43904,1.0,0.9969100000000001,0.9831,0.99945,0.08217,0.0845,0.16133,0.0,0.0,0.56096,0.00309,0.00055,0.0169
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.09,1.0,0.45453000000000005,1.0,0.99671,0.98203,0.9994200000000001,0.087,0.08947000000000001,0.165,0.0,0.0,0.54547,0.00329,0.00058,0.01797
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.095,1.0,0.46933,1.0,0.99651,0.98095,0.9993799999999999,0.09183,0.09444,0.16867000000000001,0.0,0.0,0.53067,0.00349,0.00062,0.01905
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.1,1.0,0.48351000000000005,1.0,0.99631,0.9798600000000001,0.99934,0.09667,0.09941,0.17234000000000002,0.0,0.0,0.51649,0.0036899999999999997,0.00066,0.02014
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.105,1.0,0.49709,1.0,0.9961,0.9787600000000001,0.99931,0.1015,0.10438,0.17602,0.0,0.0,0.5029100000000001,0.0039,0.0006900000000000001,0.021240000000000002
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.11,1.0,0.51012,1.0,0.9959,0.97765,0.9992700000000001,0.10633,0.10935,0.17969000000000002,0.0,0.0,0.48988000000000004,0.0041,0.00073,0.02235
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.115,1.0,0.52263,1.0,0.99569,0.97652,0.99923,0.11117,0.11432,0.18336,0.0,0.0,0.47736999999999996,0.0043100000000000005,0.0007700000000000001,0.02348
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.12,1.0,0.53464,1.0,0.9954799999999999,0.97539,0.9991899999999999,0.11599999999999999,0.11929000000000001,0.18703,0.0,0.0,0.46536000000000005,0.004520000000000001,0.00081,0.02461
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.125,1.0,0.5462,1.0,0.99526,0.97425,0.99916,0.12082999999999999,0.12426,0.1907,0.0,0.0,0.4538,0.00474,0.00084,0.02575
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.13,1.0,0.5573199999999999,1.0,0.9950399999999999,0.9731,0.9991200000000001,0.12567,0.12922999999999998,0.19437000000000001,0.0,0.0,0.44268,0.00496,0.00088,0.0269
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.135,1.0,0.56802,1.0,0.99482,0.9719399999999999,0.99908,0.1305,0.1342,0.19805,0.0,0.0,0.43198000000000003,0.00518,0.0009199999999999999,0.02806
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.14,1.0,0.57834,1.0,0.9946,0.9707600000000001,0.9990399999999999,0.13533,0.13917000000000002,0.20172,0.0,0.0,0.42166000000000003,0.0054,0.0009599999999999999,0.02924
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.145,1.0,0.58828,1.0,0.9943799999999999,0.9695799999999999,0.9990000000000001,0.14017000000000002,0.14414000000000002,0.20539000000000002,0.0,0.0,0.41172,0.00562,0.001,0.03042
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.15,1.0,0.59788,1.0,0.99415,0.9683799999999999,0.9989600000000001,0.145,0.14911,0.20906,0.0,0.0,0.40212,0.00585,0.0010400000000000001,0.03162
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay,0.155,1.0,0.60714,1.0,0.99392,0.9671799999999999,0.99892,0.14983,0.15408,0.21273000000000003,0.0,0.0,0.39286,0.0060799999999999995,0.00108,0.03282
