company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.005,1.0,0.05379,1.0,1.0,0.9994,1.0,0.005,0.005,0.08271,0.0,0.0,0.94621,0.0,0.0,0.0006
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.01,1.0,0.10255,1.0,1.0,0.99879,1.0,0.01,0.01,0.08677,0.0,0.0,0.89745,0.0,0.0,0.00121
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.015,1.0,0.14695,1.0,1.0,0.99818,1.0,0.015,0.015,0.09082,0.0,0.0,0.85305,0.0,0.0,0.00182
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.02,1.0,0.18756,1.0,1.0,0.99756,1.0,0.02,0.02,0.09487999999999999,0.0,0.0,0.8124399999999999,0.0,0.0,0.00244
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.025,1.0,0.22484,1.0,1.0,0.9969399999999999,1.0,0.025,0.025,0.09892999999999999,0.0,0.0,0.7751600000000001,0.0,0.0,0.0030600000000000002
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.03,1.0,0.25918,1.0,1.0,0.99631,1.0,0.03,0.03,0.10299000000000001,0.0,0.0,0.74082,0.0,0.0,0.0036899999999999997
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.035,1.0,0.29091999999999996,1.0,1.0,0.9956799999999999,1.0,0.035,0.035,0.10704000000000001,0.0,0.0,0.70908,0.0,0.0,0.00432
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.04,1.0,0.32035,1.0,1.0,0.9950399999999999,1.0,0.04,0.04,0.1111,0.0,0.0,0.67965,0.0,0.0,0.00496
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.045,1.0,0.3477,1.0,1.0,0.99439,1.0,0.045,0.045,0.11515,0.0,0.0,0.6523,0.0,0.0,0.00561
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.05,1.0,0.37319,1.0,1.0,0.99374,1.0,0.05,0.05,0.11921,0.0,0.0,0.6268100000000001,0.0,0.0,0.00626
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.055,1.0,0.397,1.0,1.0,0.99308,1.0,0.055,0.055,0.12326,0.0,0.0,0.603,0.0,0.0,0.00692
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.06,1.0,0.4193,1.0,1.0,0.9924200000000001,1.0,0.06,0.06,0.12732000000000002,0.0,0.0,0.5807,0.0,0.0,0.00758
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.065,1.0,0.44021000000000005,1.0,1.0,0.99175,1.0,0.065,0.065,0.13137000000000001,0.0,0.0,0.55979,0.0,0.0,0.00825
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.07,1.0,0.45988,1.0,1.0,0.9910700000000001,1.0,0.07,0.07,0.13543,0.0,0.0,0.5401199999999999,0.0,0.0,0.00893
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.075,1.0,0.4784,1.0,1.0,0.99039,1.0,0.075,0.075,0.13949,0.0,0.0,0.5216,0.0,0.0,0.009609999999999999
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.08,1.0,0.49588000000000004,1.0,1.0,0.9897,1.0,0.08,0.08,0.14354,0.0,0.0,0.50412,0.0,0.0,0.0103
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.085,1.0,0.5124,1.0,1.0,0.9890100000000001,1.0,0.085,0.085,0.1476,0.0,0.0,0.4876,0.0,0.0,0.01099
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.09,1.0,0.52803,1.0,1.0,0.9883,1.0,0.09,0.09,0.15165,0.0,0.0,0.47197,0.0,0.0,0.0117
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.095,1.0,0.54285,1.0,1.0,0.98759,1.0,0.095,0.095,0.15571,0.0,0.0,0.45715,0.0,0.0,0.01241
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.1,1.0,0.55691,1.0,1.0,0.98688,1.0,0.1,0.1,0.15975999999999999,0.0,0.0,0.44309,0.0,0.0,0.01312
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.105,1.0,0.57028,1.0,1.0,0.98615,1.0,0.105,0.105,0.16382,0.0,0.0,0.42972,0.0,0.0,0.01385
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.11,1.0,0.58301,1.0,1.0,0.9854200000000001,1.0,0.11,0.11,0.16787,0.0,0.0,0.41698999999999997,0.0,0.0,0.014580000000000001
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.115,1.0,0.59513,1.0,1.0,0.98469,1.0,0.115,0.115,0.17193,0.0,0.0,0.40487,0.0,0.0,0.015309999999999999
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.12,1.0,0.60669,1.0,1.0,0.9839399999999999,1.0,0.12,0.12,0.17598,0.0,0.0,0.39331,0.0,0.0,0.016059999999999998
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.125,1.0,0.61774,1.0,1.0,0.98319,1.0,0.125,0.125,0.18004,0.0,0.0,0.38226,0.0,0.0,0.01681
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.13,1.0,0.6283,1.0,1.0,0.9824299999999999,1.0,0.13,0.13,0.1841,0.0,0.0,0.3717,0.0,0.0,0.01757
SpectronRX,Hymon SARS-CoV-2 Test Kit,0.135,1.0,0.6384,1.0,1.0,0.98167,1.0,0.135,0.135,0.18815,0.0,0.0,0.3616,0.0,0.0,0.018330000000000003
