company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.005,1.0,0.13389,1.0,0.9999600000000001,0.99976,0.9999899999999999,0.00496,0.00499,0.03564,0.0,0.0,0.86611,4e-05,1e-05,0.00023999999999999998
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.01,1.0,0.23708,1.0,0.99992,0.9995200000000001,0.9999899999999999,0.00992,0.00999,0.04025,0.0,0.0,0.7629199999999999,8e-05,1e-05,0.00047999999999999996
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.015,1.0,0.31903000000000004,1.0,0.99987,0.99928,0.99998,0.01487,0.014980000000000002,0.04487,0.0,0.0,0.68097,0.00013000000000000002,2e-05,0.00072
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.02,1.0,0.38569000000000003,1.0,0.9998299999999999,0.9990399999999999,0.99997,0.01983,0.019969999999999998,0.04949,0.0,0.0,0.61431,0.00016999999999999999,2.9999999999999997e-05,0.0009599999999999999
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.025,1.0,0.44097,1.0,0.99979,0.99879,0.9999600000000001,0.02479,0.02496,0.0541,0.0,0.0,0.55903,0.00021,4e-05,0.00121
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.03,1.0,0.48756000000000005,1.0,0.99974,0.99854,0.99995,0.02975,0.029960000000000004,0.05872,0.0,0.0,0.51244,0.00026000000000000003,5e-05,0.00146
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.035,1.0,0.52736,1.0,0.9997,0.99829,0.99995,0.034710000000000005,0.03495,0.06334,0.0,0.0,0.47263999999999995,0.0003,5e-05,0.0017100000000000001
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.04,1.0,0.56175,1.0,0.99965,0.9980399999999999,0.9999399999999999,0.03967,0.039939999999999996,0.06795,0.0,0.0,0.43825,0.00035,5.9999999999999995e-05,0.00196
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.045,1.0,0.59177,1.0,0.99961,0.9977799999999999,0.9999299999999999,0.04462,0.04493,0.07257000000000001,0.0,0.0,0.40823000000000004,0.00039,7e-05,0.0022199999999999998
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.05,1.0,0.6182,1.0,0.99956,0.9975200000000001,0.99992,0.04958,0.04993,0.07718,0.0,0.0,0.3818,0.00044,8e-05,0.00248
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.055,1.0,0.64164,1.0,0.9995200000000001,0.99726,0.9999100000000001,0.05454,0.054920000000000004,0.0818,0.0,0.0,0.35836,0.00047999999999999996,9e-05,0.00274
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.06,1.0,0.6625800000000001,1.0,0.9994700000000001,0.997,0.9999100000000001,0.0595,0.059910000000000005,0.08642000000000001,0.0,0.0,0.33742,0.00053,9e-05,0.003
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.065,1.0,0.6813899999999999,1.0,0.9994200000000001,0.9967299999999999,0.9999,0.06446,0.0649,0.09103,0.0,0.0,0.31861,0.00058,0.0001,0.0032700000000000003
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.07,1.0,0.69839,1.0,0.9993700000000001,0.99646,0.99989,0.06942000000000001,0.0699,0.09565,0.0,0.0,0.30161,0.00063,0.00011,0.0035399999999999997
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.075,1.0,0.71382,1.0,0.9993200000000001,0.9961899999999999,0.9998799999999999,0.07438,0.07489,0.10027,0.0,0.0,0.28618000000000005,0.0006799999999999999,0.00011999999999999999,0.00381
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.08,1.0,0.7279,1.0,0.99928,0.99592,0.99987,0.07933,0.07987999999999999,0.10488,0.0,0.0,0.2721,0.00072,0.00013000000000000002,0.004079999999999999
Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device,0.085,1.0,0.74079,1.0,0.99923,0.99564,0.9998600000000001,0.08429,0.08487,0.1095,0.0,0.0,0.25921,0.0007700000000000001,0.00014,0.00436
