company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Stanford University,SHC EUA test,0.005,0.06352999999999999,0.02433,0.14690999999999999,1.0,0.9992200000000001,1.0,0.0787,0.03404,0.17902,0.93647,0.85309,0.97567,0.0,0.0,0.00078
Stanford University,SHC EUA test,0.01,0.12,0.04774,0.25714000000000004,1.0,0.9984299999999999,1.0,0.08333,0.03889,0.1825,0.88,0.7428600000000001,0.95226,0.0,0.0,0.00157
Stanford University,SHC EUA test,0.015,0.17053,0.07027,0.34291,1.0,0.9976299999999999,1.0,0.08796,0.04374,0.18598,0.82947,0.65709,0.92973,0.0,0.0,0.00237
Stanford University,SHC EUA test,0.02,0.21600000000000003,0.09197000000000001,0.41153999999999996,1.0,0.99682,1.0,0.09258999999999999,0.0486,0.18946,0.784,0.58846,0.9080299999999999,0.0,0.0,0.00318
Stanford University,SHC EUA test,0.025,0.25714000000000004,0.1129,0.46771,1.0,0.9960100000000001,1.0,0.09722,0.05345,0.19294,0.7428600000000001,0.5322899999999999,0.8871,0.0,0.0,0.00399
Stanford University,SHC EUA test,0.03,0.29455,0.13308,0.51453,1.0,0.99519,1.0,0.10185,0.05831,0.19642,0.70545,0.48546999999999996,0.86692,0.0,0.0,0.00481
Stanford University,SHC EUA test,0.035,0.3287,0.15255,0.55415,1.0,0.9943700000000001,1.0,0.10647999999999999,0.06316000000000001,0.19989,0.6713,0.44585,0.84745,0.0,0.0,0.00563
Stanford University,SHC EUA test,0.04,0.36,0.17135999999999998,0.58812,1.0,0.99354,1.0,0.11110999999999999,0.06801,0.20337,0.64,0.41188,0.8286399999999999,0.0,0.0,0.00646
Stanford University,SHC EUA test,0.045,0.3888,0.18954000000000001,0.61756,1.0,0.9927,1.0,0.11574000000000001,0.07287,0.20685,0.6112,0.38244,0.8104600000000001,0.0,0.0,0.0073
Stanford University,SHC EUA test,0.05,0.41538,0.20711999999999997,0.64332,1.0,0.99185,1.0,0.12037,0.07772000000000001,0.21033000000000002,0.58462,0.35668,0.79288,0.0,0.0,0.00815
Stanford University,SHC EUA test,0.055,0.44,0.22411999999999999,0.66605,1.0,0.9909899999999999,1.0,0.125,0.08258,0.21381,0.56,0.33395,0.77588,0.0,0.0,0.009009999999999999
Stanford University,SHC EUA test,0.06,0.46286000000000005,0.24059,0.68626,1.0,0.99013,1.0,0.12963,0.08743,0.21729,0.53714,0.31374,0.75941,0.0,0.0,0.00987
Stanford University,SHC EUA test,0.065,0.48413999999999996,0.25653000000000004,0.70435,1.0,0.98926,1.0,0.13426,0.09228,0.22077,0.51586,0.29565,0.74347,0.0,0.0,0.010740000000000001
Stanford University,SHC EUA test,0.07,0.504,0.27197,0.7206199999999999,1.0,0.9883799999999999,1.0,0.13889,0.09714,0.22424000000000002,0.496,0.27938,0.7280300000000001,0.0,0.0,0.01162
Stanford University,SHC EUA test,0.075,0.52258,0.28695,0.73535,1.0,0.9875,1.0,0.14352,0.10199,0.22771999999999998,0.47741999999999996,0.26465,0.71305,0.0,0.0,0.0125
Stanford University,SHC EUA test,0.08,0.54,0.30146999999999996,0.74874,1.0,0.9866,1.0,0.14815,0.10685,0.2312,0.46,0.25126,0.69853,0.0,0.0,0.0134
Stanford University,SHC EUA test,0.085,0.5563600000000001,0.31556999999999996,0.7609600000000001,1.0,0.9857,1.0,0.15278,0.1117,0.23468000000000003,0.44364,0.23904,0.68443,0.0,0.0,0.0143
Stanford University,SHC EUA test,0.09,0.57176,0.32925,0.77217,1.0,0.9847899999999999,1.0,0.15741,0.11655,0.23815999999999998,0.42823999999999995,0.22783,0.67075,0.0,0.0,0.01521
Stanford University,SHC EUA test,0.095,0.58629,0.34254,0.7824800000000001,1.0,0.98387,1.0,0.16204000000000002,0.12140999999999999,0.24164000000000002,0.41371,0.21752,0.65746,0.0,0.0,0.016130000000000002
Stanford University,SHC EUA test,0.1,0.6,0.35545,0.792,1.0,0.98295,1.0,0.16667,0.12625999999999998,0.24511999999999998,0.4,0.20800000000000002,0.64455,0.0,0.0,0.01705
Stanford University,SHC EUA test,0.105,0.61297,0.368,0.80081,1.0,0.98201,1.0,0.1713,0.13112000000000001,0.24859,0.38703000000000004,0.19919,0.632,0.0,0.0,0.01799
Stanford University,SHC EUA test,0.11,0.62526,0.3802,0.809,1.0,0.9810700000000001,1.0,0.17593,0.13597,0.25206999999999996,0.37474,0.191,0.6198,0.0,0.0,0.018930000000000002
Stanford University,SHC EUA test,0.115,0.6369199999999999,0.39208000000000004,0.81662,1.0,0.98011,1.0,0.18056,0.14082999999999998,0.25555,0.36308,0.18338,0.60792,0.0,0.0,0.01989
Stanford University,SHC EUA test,0.12,0.648,0.40363000000000004,0.82373,1.0,0.97915,1.0,0.18519000000000002,0.14568,0.25903000000000004,0.35200000000000004,0.17627,0.59637,0.0,0.0,0.02085
