company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.005,1.0,0.04818116264519574,1.0,0.9997488068324542,0.9992475786223629,0.9999138305857116,0.00475,0.004914254044104294,0.08955705989330798,0.0,0.0,0.9518188373548042,0.00025119316754584897,8.616941428840619e-05,0.0007524213776369804
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.01,1.0,0.09235431841167707,1.0,0.999495204442201,0.998488705645134,0.9998268058480856,0.0095,0.009828508088208588,0.09344367091770846,0.0,0.0,0.9076456815883228,0.0005047955577990315,0.00017319415191441312,0.0015112943548658553
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.015,1.0,0.13299961274061153,1.0,0.9992391580015216,0.997723297732656,0.999738912988608,0.01425,0.01474276213231288,0.09733028194210892,0.0,0.0,0.8670003872593884,0.0007608419984783675,0.00026108701139193613,0.002276702267343889
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.02,1.0,0.17052344296609626,1.0,0.9989806320081548,0.9969512701077969,0.99965013895214,0.019,0.019657016176417172,0.1012168929665094,0.0,0.0,0.8294765570339038,0.0010193679918450993,0.0003498610478600561,0.0030487298922029504
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.025,1.0,0.20527209393124507,1.0,0.998719590268886,0.996172536520648,0.9995604704204524,0.02375,0.02457127022052147,0.10510350399090987,0.0,0.0,0.7947279060687549,0.001280409731113874,0.0004395295795475152,0.0038274634793521453
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.03,1.0,0.2375424561102004,1.0,0.9984559958826555,0.9953870092164009,0.9994698938055671,0.0285,0.02948552426462576,0.10899011501531032,0.0,0.0,0.7624575438897996,0.0015440041173443444,0.0005301061944330554,0.0046129907835990025
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.035,1.0,0.26759052942932465,1.0,0.9981898112231704,0.9945945989023848,0.9993783952428898,0.033249999999999995,0.03439977830873005,0.1128767260397108,0.0,0.0,0.7324094705706754,0.001810188776829591,0.0006216047571101503,0.005405401097615226
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.04,1.0,0.29563822872762124,1.0,0.997920997920998,0.9937952147142268,0.9992859605841379,0.038,0.03931403235283435,0.11676333706411128,0.0,0.0,0.7043617712723788,0.002079002079002134,0.0007140394158620111,0.0062047852857730615
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.045,1.0,0.3218788738327099,1.0,0.9976495168451291,0.9929887641811208,0.9991925753900456,0.04275,0.04422828639693864,0.12064994808851175,0.0,0.0,0.6781211261672901,0.0023504831548707412,0.0008074246099544213,0.007011235818879079
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.05,1.0,0.3464816516114603,1.0,0.9973753280839897,0.992175153190168,0.9990982249228452,0.0475,0.04914254044104293,0.1245365591129122,0.0,0.0,0.6535183483885397,0.002624671916010457,0.0009017750771549428,0.007824846809832087
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.055,1.0,0.3695952677810785,1.0,0.997098390925877,0.9913542859497628,0.999002894138513,0.05225,0.05405679448514723,0.1284231701373127,0.0,0.0,0.6304047322189215,0.002901609074122957,0.0009971058614870463,0.008645714050237063
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.06,1.0,0.3913509550866348,1.0,0.9968186638388123,0.9905260649519988,0.9989065676787732,0.057,0.05897104852925152,0.13230978116171316,0.0,0.0,0.6086490449133652,0.003181336161187653,0.0010934323212269392,0.009473935048001205
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.065,1.0,0.41186496641578746,1.0,0.9965361044497736,0.989690390934054,0.9988092298628486,0.06175,0.06388530257335583,0.13619639218611362,0.0,0.0,0.5881350335842126,0.0034638955502264146,0.001190770137151409,0.010309609065945913
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.07,1.0,0.4312406528838326,1.0,0.9962506695232992,0.9888471628385342,0.998710864678952,0.0665,0.06879955661746012,0.1400830032105141,0.0,0.0,0.5687593471161674,0.003749330476700674,0.0012891353210479073,0.011152837161465756
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.075,1.0,0.4495702053182176,1.0,0.9959623149394348,0.9879962777727322,0.9986114557755048,0.07125000000000001,0.07371381066156442,0.14396961423491456,0.0,0.0,0.5504297946817824,0.004037685060565344,0.0013885442244953028,0.012003722227267756
