company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.005,0.50125,0.09282,0.85052,1.0,0.9977600000000001,1.0,0.00998,0.00588,0.03046,0.49875,0.14948,0.9071799999999999,0.0,0.0,0.00224
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.01,0.6689,0.17057999999999998,0.9196,1.0,0.99551,1.0,0.01495,0.01087,0.03315,0.3311,0.0804,0.82942,0.0,0.0,0.00449
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.015,0.7528199999999999,0.23668000000000003,0.94519,1.0,0.99324,1.0,0.01993,0.01587,0.03584,0.24718,0.054810000000000005,0.76332,0.0,0.0,0.0067599999999999995
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.02,0.8032100000000001,0.29355,0.95852,1.0,0.9909600000000001,1.0,0.0249,0.02087,0.03853,0.19679000000000002,0.04148,0.70645,0.0,0.0,0.009040000000000001
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.025,0.8368200000000001,0.34299999999999997,0.9667,1.0,0.98867,1.0,0.02988,0.02586,0.04122,0.16318,0.0333,0.657,0.0,0.0,0.01133
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.03,0.8608299999999999,0.3864,0.97224,1.0,0.9863700000000001,1.0,0.03485,0.030860000000000002,0.043910000000000005,0.13917000000000002,0.027760000000000003,0.6136,0.0,0.0,0.013630000000000001
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.035,0.87884,0.42478,0.9762299999999999,1.0,0.98405,1.0,0.03982,0.03585,0.0466,0.12115999999999999,0.02377,0.57522,0.0,0.0,0.01595
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.04,0.89286,0.45898,0.97924,1.0,0.98172,1.0,0.0448,0.04085,0.049280000000000004,0.10714000000000001,0.02076,0.54102,0.0,0.0,0.01828
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.045,0.90407,0.48963999999999996,0.9816,1.0,0.9793799999999999,1.0,0.04978,0.04584,0.05197,0.09593,0.0184,0.51036,0.0,0.0,0.02062
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.05,0.9132399999999999,0.5172899999999999,0.9835,1.0,0.9770200000000001,1.0,0.05475,0.050839999999999996,0.05466,0.08676,0.0165,0.48271000000000003,0.0,0.0,0.02298
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.055,0.92089,0.5423399999999999,0.98505,1.0,0.97465,1.0,0.05973,0.05583,0.05735,0.07911,0.01495,0.45766,0.0,0.0,0.02535
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.06,0.9273600000000001,0.56515,0.98635,1.0,0.9722700000000001,1.0,0.0647,0.060829999999999995,0.060039999999999996,0.07264,0.01365,0.43485,0.0,0.0,0.02773
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.065,0.9329,0.586,0.98746,1.0,0.9698700000000001,1.0,0.06967999999999999,0.06583,0.06273,0.0671,0.01254,0.414,0.0,0.0,0.03013
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.07,0.93771,0.60514,0.9884,1.0,0.96746,1.0,0.07465,0.07082000000000001,0.06542,0.06229,0.0116,0.39486,0.0,0.0,0.03254
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.075,0.9419200000000001,0.6227699999999999,0.9892299999999999,1.0,0.9650299999999999,1.0,0.07962999999999999,0.07582,0.0681,0.05807999999999999,0.01077,0.37723,0.0,0.0,0.03497
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.08,0.94563,0.63905,0.98995,1.0,0.96259,1.0,0.0846,0.08081,0.07078999999999999,0.05437,0.01005,0.36095,0.0,0.0,0.03741
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.085,0.9489299999999999,0.65415,0.9905799999999999,1.0,0.96014,1.0,0.08957999999999999,0.08581,0.07347999999999999,0.05107,0.00942,0.34585,0.0,0.0,0.03986
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.09,0.95188,0.66818,0.99115,1.0,0.95767,1.0,0.09455,0.0908,0.07617,0.048119999999999996,0.00885,0.33182,0.0,0.0,0.04233
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.095,0.9545299999999999,0.6812600000000001,0.99166,1.0,0.95519,1.0,0.09953,0.0958,0.07886,0.04547,0.00834,0.31874,0.0,0.0,0.04481
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.1,0.95694,0.69347,0.99211,1.0,0.9526899999999999,1.0,0.1045,0.10079,0.08155,0.04306,0.007890000000000001,0.30653,0.0,0.0,0.047310000000000005
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.105,0.9591200000000001,0.7049,0.9925299999999999,1.0,0.9501799999999999,1.0,0.10948,0.10579000000000001,0.08424,0.04088,0.00747,0.2951,0.0,0.0,0.049819999999999996
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.11,0.9611200000000001,0.71563,0.9929100000000001,1.0,0.9476600000000001,1.0,0.11445,0.11079000000000001,0.08693,0.03888,0.007090000000000001,0.28436999999999996,0.0,0.0,0.05234
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.115,0.96295,0.7257100000000001,0.99325,1.0,0.9451200000000001,1.0,0.11943,0.11578,0.08961000000000001,0.03705,0.00675,0.27429000000000003,0.0,0.0,0.05488
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.12,0.9646299999999999,0.7352,0.9935700000000001,1.0,0.9425600000000001,1.0,0.1244,0.12078,0.0923,0.03537,0.00643,0.2648,0.0,0.0,0.05744
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.125,0.9661799999999999,0.74416,0.9938600000000001,1.0,0.93999,1.0,0.12938,0.12577,0.09498999999999999,0.033819999999999996,0.00614,0.25584,0.0,0.0,0.06001
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.13,0.96762,0.75262,0.9941200000000001,1.0,0.9374,1.0,0.13435,0.13077,0.09767999999999999,0.03238,0.00588,0.24738000000000002,0.0,0.0,0.0626
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.135,0.96896,0.76063,0.9943700000000001,1.0,0.9348,1.0,0.13932,0.13576,0.10037,0.031039999999999998,0.00563,0.23936999999999997,0.0,0.0,0.0652
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.14,0.9702,0.76823,0.9946,1.0,0.9321799999999999,1.0,0.1443,0.14076,0.10305999999999998,0.0298,0.0054,0.23176999999999998,0.0,0.0,0.06782
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.145,0.97136,0.7754300000000001,0.99482,1.0,0.92955,1.0,0.14928,0.14576,0.10575,0.02864,0.00518,0.22457,0.0,0.0,0.07045
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.15,0.97245,0.78228,0.9950200000000001,1.0,0.9269,1.0,0.15425,0.15075,0.10843,0.02755,0.00498,0.21771999999999997,0.0,0.0,0.0731
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.155,0.9734700000000001,0.7888,0.99521,1.0,0.9242299999999999,1.0,0.15922,0.15575,0.11112000000000001,0.02653,0.00479,0.2112,0.0,0.0,0.07577
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.16,0.9744200000000001,0.79501,0.9953799999999999,1.0,0.92155,1.0,0.1642,0.16074000000000002,0.11381,0.025580000000000002,0.00462,0.20499,0.0,0.0,0.07845
TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,0.165,0.9753200000000001,0.80093,0.99555,1.0,0.91886,1.0,0.16918,0.16574,0.1165,0.02468,0.00445,0.19907,0.0,0.0,0.08114
