company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.005,1.0,0.00821,1.0,0.9990000000000001,0.99677,0.99959,0.004,0.0046,0.35549000000000003,0.0,0.0,0.99179,0.001,0.00041,0.00323
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.01,1.0,0.01637,1.0,0.99798,0.9935299999999999,0.9991899999999999,0.008,0.00919,0.35664,0.0,0.0,0.9836299999999999,0.00202,0.00081,0.00647
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.015,1.0,0.024480000000000002,1.0,0.9969600000000001,0.9902799999999999,0.99877,0.012,0.01379,0.35778000000000004,0.0,0.0,0.97552,0.0030399999999999997,0.00123,0.00972
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.02,1.0,0.03254,1.0,0.99593,0.9870200000000001,0.99836,0.016,0.01839,0.35893,0.0,0.0,0.96746,0.004070000000000001,0.00164,0.012980000000000002
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.025,1.0,0.04055,1.0,0.9949,0.98375,0.9979399999999999,0.02,0.02298,0.36008,0.0,0.0,0.95945,0.0051,0.00206,0.01625
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.03,1.0,0.0485,1.0,0.99385,0.98046,0.99751,0.024,0.02758,0.36123,0.0,0.0,0.9515,0.00615,0.00249,0.019540000000000002
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.035,1.0,0.0564,1.0,0.9928,0.97716,0.99708,0.027999999999999997,0.03218,0.36238000000000004,0.0,0.0,0.9436,0.0072,0.00292,0.02284
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.04,1.0,0.06426,1.0,0.99174,0.97385,0.99665,0.032,0.03677,0.36351999999999995,0.0,0.0,0.93574,0.00826,0.00335,0.02615
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.045,1.0,0.07206,1.0,0.99066,0.9705299999999999,0.99621,0.036000000000000004,0.04137,0.36467,0.0,0.0,0.92794,0.009340000000000001,0.00379,0.02947
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.05,1.0,0.07982,1.0,0.9895799999999999,0.9672,0.99577,0.04,0.04597,0.36582,0.0,0.0,0.9201799999999999,0.01042,0.004229999999999999,0.0328
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.055,1.0,0.08752,1.0,0.98849,0.96385,0.9953299999999999,0.044000000000000004,0.05056,0.36696999999999996,0.0,0.0,0.91248,0.01151,0.0046700000000000005,0.03615
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.06,1.0,0.09518,1.0,0.98739,0.9605,0.9948799999999999,0.048,0.05516,0.36812,0.0,0.0,0.9048200000000001,0.01261,0.00512,0.0395
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.065,1.0,0.10279,1.0,0.98629,0.9571299999999999,0.9944200000000001,0.052000000000000005,0.05976,0.36927,0.0,0.0,0.8972100000000001,0.01371,0.00558,0.04287
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.07,1.0,0.11035999999999999,1.0,0.9851700000000001,0.9537399999999999,0.99397,0.055999999999999994,0.06435,0.37041,0.0,0.0,0.88964,0.014830000000000001,0.00603,0.04626
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.075,1.0,0.11788,1.0,0.9840399999999999,0.95035,0.9935,0.06,0.06895,0.37156,0.0,0.0,0.8821200000000001,0.01596,0.0065,0.04965
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.08,1.0,0.12535,1.0,0.9829100000000001,0.94694,0.9930399999999999,0.064,0.07355,0.37271,0.0,0.0,0.87465,0.01709,0.006959999999999999,0.05306
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.085,1.0,0.13277,1.0,0.9817600000000001,0.94352,0.99256,0.068,0.07814,0.37385999999999997,0.0,0.0,0.86723,0.01824,0.00744,0.056479999999999995
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.09,1.0,0.14015,1.0,0.9806,0.94009,0.9920899999999999,0.07200000000000001,0.08274,0.37501,0.0,0.0,0.85985,0.0194,0.007909999999999999,0.059910000000000005
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.095,1.0,0.14749,1.0,0.97944,0.93665,0.9916,0.076,0.08734,0.37615,0.0,0.0,0.85251,0.02056,0.0084,0.06335
TIB Molbiol/Roche Diagnostics,LightMix Modular SARS-CoV-2 (COVID19) - Source: FindDx 1,0.1,1.0,0.15478,1.0,0.97826,0.93319,0.9911200000000001,0.08,0.09193,0.3773,0.0,0.0,0.8452200000000001,0.02174,0.008879999999999999,0.06681000000000001
