company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.005,1.0,0.03182,1.0,1.0,0.99925,1.0,0.005,0.005,0.13689,0.0,0.0,0.9681799999999999,0.0,0.0,0.00075
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.01,1.0,0.06197999999999999,1.0,1.0,0.9985,1.0,0.01,0.01,0.14057999999999998,0.0,0.0,0.9380200000000001,0.0,0.0,0.0015
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.015,1.0,0.09059,1.0,1.0,0.99774,1.0,0.015,0.015,0.14427,0.0,0.0,0.90941,0.0,0.0,0.0022600000000000003
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.02,1.0,0.11777,1.0,1.0,0.99698,1.0,0.02,0.02,0.14795999999999998,0.0,0.0,0.88223,0.0,0.0,0.00302
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.025,1.0,0.14363,1.0,1.0,0.99621,1.0,0.025,0.025,0.15165,0.0,0.0,0.8563700000000001,0.0,0.0,0.00379
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.03,1.0,0.16826,1.0,1.0,0.9954299999999999,1.0,0.03,0.03,0.15534,0.0,0.0,0.8317399999999999,0.0,0.0,0.00457
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.035,1.0,0.19175,1.0,1.0,0.99464,1.0,0.035,0.035,0.15903,0.0,0.0,0.80825,0.0,0.0,0.00536
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.04,1.0,0.21418,1.0,1.0,0.99385,1.0,0.04,0.04,0.16272,0.0,0.0,0.78582,0.0,0.0,0.00615
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.045,1.0,0.23561,1.0,1.0,0.99305,1.0,0.045,0.045,0.16641,0.0,0.0,0.76439,0.0,0.0,0.00695
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.05,1.0,0.2561,1.0,1.0,0.99224,1.0,0.05,0.05,0.1701,0.0,0.0,0.7439,0.0,0.0,0.0077599999999999995
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.055,1.0,0.27573000000000003,1.0,1.0,0.9914299999999999,1.0,0.055,0.055,0.17379,0.0,0.0,0.72427,0.0,0.0,0.00857
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.06,1.0,0.29454,1.0,1.0,0.99061,1.0,0.06,0.06,0.17748,0.0,0.0,0.7054600000000001,0.0,0.0,0.00939
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.065,1.0,0.31259000000000003,1.0,1.0,0.9897799999999999,1.0,0.065,0.065,0.18117,0.0,0.0,0.6874100000000001,0.0,0.0,0.01022
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.07,1.0,0.32992,1.0,1.0,0.98895,1.0,0.07,0.07,0.18486,0.0,0.0,0.67008,0.0,0.0,0.01105
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.075,1.0,0.34656,1.0,1.0,0.9881,1.0,0.075,0.075,0.18855,0.0,0.0,0.6534399999999999,0.0,0.0,0.0119
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.08,1.0,0.36257,1.0,1.0,0.98725,1.0,0.08,0.08,0.19224000000000002,0.0,0.0,0.63743,0.0,0.0,0.01275
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.085,1.0,0.37798000000000004,1.0,1.0,0.98639,1.0,0.085,0.085,0.19593,0.0,0.0,0.62202,0.0,0.0,0.013609999999999999
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.09,1.0,0.39281,1.0,1.0,0.9855200000000001,1.0,0.09,0.09,0.19962,0.0,0.0,0.60719,0.0,0.0,0.014480000000000002
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.095,1.0,0.40710999999999997,1.0,1.0,0.98465,1.0,0.095,0.095,0.20331,0.0,0.0,0.5928899999999999,0.0,0.0,0.01535
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.1,1.0,0.42089,1.0,1.0,0.98377,1.0,0.1,0.1,0.207,0.0,0.0,0.57911,0.0,0.0,0.01623
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.105,1.0,0.4342,1.0,1.0,0.98287,1.0,0.105,0.105,0.21069000000000002,0.0,0.0,0.5658,0.0,0.0,0.017130000000000003
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.11,1.0,0.44703999999999994,1.0,1.0,0.98198,1.0,0.11,0.11,0.21438000000000001,0.0,0.0,0.55296,0.0,0.0,0.018019999999999998
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.115,1.0,0.45946000000000004,1.0,1.0,0.9810700000000001,1.0,0.115,0.115,0.21807,0.0,0.0,0.5405399999999999,0.0,0.0,0.018930000000000002
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.12,1.0,0.47145,1.0,1.0,0.98015,1.0,0.12,0.12,0.22175999999999998,0.0,0.0,0.52855,0.0,0.0,0.01985
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.125,1.0,0.48306000000000004,1.0,1.0,0.9792200000000001,1.0,0.125,0.125,0.22546,0.0,0.0,0.51694,0.0,0.0,0.02078
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.13,1.0,0.49428999999999995,1.0,1.0,0.97829,1.0,0.13,0.13,0.22915,0.0,0.0,0.50571,0.0,0.0,0.02171
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.135,1.0,0.50517,1.0,1.0,0.97735,1.0,0.135,0.135,0.23284000000000002,0.0,0.0,0.49483,0.0,0.0,0.02265
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.14,1.0,0.5157,1.0,1.0,0.97639,1.0,0.14,0.14,0.23653000000000002,0.0,0.0,0.4843,0.0,0.0,0.02361
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.145,1.0,0.5259199999999999,1.0,1.0,0.9754299999999999,1.0,0.145,0.145,0.24022,0.0,0.0,0.47408,0.0,0.0,0.024569999999999998
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.15,1.0,0.53582,1.0,1.0,0.97446,1.0,0.15,0.15,0.24391,0.0,0.0,0.46418000000000004,0.0,0.0,0.02554
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.155,1.0,0.54543,1.0,1.0,0.9734799999999999,1.0,0.155,0.155,0.2476,0.0,0.0,0.45457,0.0,0.0,0.02652
The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,0.16,1.0,0.55475,1.0,1.0,0.97249,1.0,0.16,0.16,0.25129,0.0,0.0,0.44525,0.0,0.0,0.027510000000000003
