company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.005,1.0,0.023896512859672786,1.0,1.0,0.9991280656864444,1.0,0.005,0.005,0.1792895222023768,0.0,0.0,0.9761034871403272,0.0,0.0,0.000871934313555478
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.01,1.0,0.046902282419951966,1.0,1.0,0.9982488662521484,1.0,0.01,0.01,0.18269449382237854,0.0,0.0,0.953097717580048,0.0,0.0,0.0017511337478517408
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.015,1.0,0.06906620117466497,1.0,1.0,0.997362310515712,1.0,0.015,0.015,0.1860994654423804,0.0,0.0,0.9309337988253349,0.0,0.0,0.0026376894842878858
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.02,1.0,0.09043364766183967,1.0,1.0,0.996468305763488,1.0,0.02,0.02,0.18950443706238215,0.0,0.0,0.9095663523381604,0.0,0.0,0.0035316942365118953
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.025,1.0,0.11104679658128372,1.0,1.0,0.9955667577172592,1.0,0.025,0.025,0.192909408682384,0.0,0.0,0.8889532034187163,0.0,0.0,0.00443324228274089
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.03,1.0,0.1309448966391878,1.0,1.0,0.9946575705010956,1.0,0.03,0.03,0.19631438030238585,0.0,0.0,0.8690551033608123,0.0,0.0,0.005342429498904511
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.035,1.0,0.15016451997125654,1.0,1.0,0.9937406466073656,1.0,0.035,0.035,0.19971935192238766,0.0,0.0,0.8498354800287434,0.0,0.0,0.006259353392634282
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.04,1.0,0.1687397864793711,1.0,1.0,0.9928158868618762,1.0,0.04,0.04,0.20312432354238946,0.0,0.0,0.8312602135206288,0.0,0.0,0.007184113138123838
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.045,1.0,0.18670256597692012,1.0,1.0,0.9918831903881128,1.0,0.045,0.045,0.20652929516239124,0.0,0.0,0.8132974340230799,0.0,0.0,0.00811680961188721
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.05,1.0,0.2040826606622856,1.0,1.0,0.9909424545705591,1.0,0.05,0.05,0.20993426678239305,0.0,0.0,0.7959173393377144,0.0,0.0,0.009057545429441037
"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,0.055,1.0,0.22090797011826915,1.0,1.0,0.9899935750170592,1.0,0.055,0.055,0.21333923840239488,0.0,0.0,0.7790920298817309,0.0,0.0,0.010006424982940687
