company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.005,1.0,0.05207827016817804,1.0,1.0,0.9995405796732624,1.0,0.005,0.005,0.08796359638407045,0.0,0.0,0.9479217298318221,0.0,0.0,0.0004594203267376251
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.01,1.0,0.09945103031267392,1.0,1.0,0.9990769470899612,1.0,0.01,0.01,0.09212558025897884,0.0,0.0,0.9005489696873261,0.0,0.0,0.0009230529100386908
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.015,1.0,0.14272846068941006,1.0,1.0,0.9986090440523454,1.0,0.015,0.015,0.0962875641338872,0.0,0.0,0.8572715393105901,0.0,0.0,0.001390955947654593
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.02,1.0,0.18241961375687096,1.0,1.0,0.9981368112856004,1.0,0.02,0.02,0.1004495480087956,0.0,0.0,0.8175803862431291,0.0,0.0,0.0018631887143997215
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.025,1.0,0.21895253109125928,1.0,1.0,0.9976601884128165,1.0,0.025,0.025,0.10461153188370396,0.0,0.0,0.7810474689087408,0.0,0.0,0.002339811587183549
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.03,1.0,0.2526897419195434,1.0,1.0,0.9971791139292556,1.0,0.03,0.03,0.10877351575861237,0.0,0.0,0.7473102580804566,0.0,0.0,0.0028208860707442662
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.035,1.0,0.28394033467100754,1.0,1.0,0.9966935251758932,1.0,0.035,0.035,0.11293549963352073,0.0,0.0,0.7160596653289925,0.0,0.0,0.003306474824106842
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.04,1.0,0.31296945418127164,1.0,1.0,0.99620335831221,1.0,0.04,0.04,0.1170974835084291,0.0,0.0,0.6870305458187284,0.0,0.0,0.0037966416877899256
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.045,1.0,0.34000584306337683,1.0,1.0,0.9957085482882154,1.0,0.045,0.045,0.12125946738333747,0.0,0.0,0.6599941569366232,0.0,0.0,0.004291451711784577
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.05,1.0,0.36524788156228666,1.0,1.0,0.9952090288156664,1.0,0.05,0.05,0.12542145125824586,0.0,0.0,0.6347521184377134,0.0,0.0,0.004790971184333692
Trax Management Services Inc.,PhoenixDx SARS-CoV-2 Multiplex,0.055,1.0,0.3888684634746456,1.0,1.0,0.9947047323384648,1.0,0.055,0.055,0.12958343513315426,0.0,0.0,0.6111315365253545,0.0,0.0,0.005295267661535097
