company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.005,1.0,0.11979000000000001,1.0,1.0,0.99951,1.0,0.005,0.005,0.03781,0.0,0.0,0.88021,0.0,0.0,0.00049
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.01,1.0,0.2148,1.0,1.0,0.99902,1.0,0.01,0.01,0.04218,0.0,0.0,0.7852,0.0,0.0,0.00098
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.015,1.0,0.292,1.0,1.0,0.9985200000000001,1.0,0.015,0.015,0.04654,0.0,0.0,0.708,0.0,0.0,0.00148
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.02,1.0,0.35596,1.0,1.0,0.99802,1.0,0.02,0.02,0.0509,0.0,0.0,0.64404,0.0,0.0,0.00198
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.025,1.0,0.40983,1.0,1.0,0.99751,1.0,0.025,0.025,0.055260000000000004,0.0,0.0,0.59017,0.0,0.0,0.00249
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.03,1.0,0.45581000000000005,1.0,1.0,0.997,1.0,0.03,0.03,0.059629999999999996,0.0,0.0,0.54419,0.0,0.0,0.003
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.035,1.0,0.49553,1.0,1.0,0.9964799999999999,1.0,0.035,0.035,0.06398999999999999,0.0,0.0,0.50447,0.0,0.0,0.00352
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.04,1.0,0.53017,1.0,1.0,0.9959600000000001,1.0,0.04,0.04,0.06835,0.0,0.0,0.46983,0.0,0.0,0.00404
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.045,1.0,0.56066,1.0,1.0,0.99544,1.0,0.045,0.045,0.07271,0.0,0.0,0.43933999999999995,0.0,0.0,0.00456
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.05,1.0,0.5876899999999999,1.0,1.0,0.9949,1.0,0.05,0.05,0.07708,0.0,0.0,0.41231,0.0,0.0,0.0051
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.055,1.0,0.61183,1.0,1.0,0.9943700000000001,1.0,0.055,0.055,0.08144,0.0,0.0,0.38816999999999996,0.0,0.0,0.00563
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.06,1.0,0.63352,1.0,1.0,0.9938299999999999,1.0,0.06,0.06,0.0858,0.0,0.0,0.36648000000000003,0.0,0.0,0.00617
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.065,1.0,0.6531100000000001,1.0,1.0,0.9932799999999999,1.0,0.065,0.065,0.09016,0.0,0.0,0.34689000000000003,0.0,0.0,0.00672
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.07,1.0,0.67089,1.0,1.0,0.9927299999999999,1.0,0.07,0.07,0.09452999999999999,0.0,0.0,0.32911,0.0,0.0,0.00727
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.075,1.0,0.6871,1.0,1.0,0.9921700000000001,1.0,0.075,0.075,0.09888999999999999,0.0,0.0,0.3129,0.0,0.0,0.00783
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.08,1.0,0.70194,1.0,1.0,0.99161,1.0,0.08,0.08,0.10325,0.0,0.0,0.29806,0.0,0.0,0.00839
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.085,1.0,0.7155699999999999,1.0,1.0,0.9910399999999999,1.0,0.085,0.085,0.10761,0.0,0.0,0.28443,0.0,0.0,0.00896
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.09,1.0,0.72815,1.0,1.0,0.9904700000000001,1.0,0.09,0.09,0.11198,0.0,0.0,0.27185,0.0,0.0,0.00953
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.095,1.0,0.73978,1.0,1.0,0.9898899999999999,1.0,0.095,0.095,0.11634000000000001,0.0,0.0,0.26022,0.0,0.0,0.01011
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.1,1.0,0.75057,1.0,1.0,0.9893,1.0,0.1,0.1,0.1207,0.0,0.0,0.24943,0.0,0.0,0.0107
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.105,1.0,0.76061,1.0,1.0,0.9887100000000001,1.0,0.105,0.105,0.12506,0.0,0.0,0.23939000000000002,0.0,0.0,0.011290000000000001
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.11,1.0,0.7699699999999999,1.0,1.0,0.9881200000000001,1.0,0.11,0.11,0.12942,0.0,0.0,0.23003,0.0,0.0,0.01188
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.115,1.0,0.77872,1.0,1.0,0.98751,1.0,0.115,0.115,0.13379000000000002,0.0,0.0,0.22128,0.0,0.0,0.012490000000000001
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.12,1.0,0.78692,1.0,1.0,0.9869,1.0,0.12,0.12,0.13815,0.0,0.0,0.21308000000000002,0.0,0.0,0.0131
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.125,1.0,0.79461,1.0,1.0,0.98629,1.0,0.125,0.125,0.14251,0.0,0.0,0.20539000000000002,0.0,0.0,0.01371
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.13,1.0,0.80185,1.0,1.0,0.98567,1.0,0.13,0.13,0.14687,0.0,0.0,0.19815,0.0,0.0,0.01433
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.135,1.0,0.8086800000000001,1.0,1.0,0.9850399999999999,1.0,0.135,0.135,0.15124,0.0,0.0,0.19132000000000002,0.0,0.0,0.01496
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.14,1.0,0.81511,1.0,1.0,0.9844,1.0,0.14,0.14,0.1556,0.0,0.0,0.18489,0.0,0.0,0.0156
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.145,1.0,0.8212,1.0,1.0,0.9837600000000001,1.0,0.145,0.145,0.15996,0.0,0.0,0.1788,0.0,0.0,0.01624
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.15,1.0,0.8269700000000001,1.0,1.0,0.9831200000000001,1.0,0.15,0.15,0.16432,0.0,0.0,0.17303,0.0,0.0,0.016880000000000003
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.155,1.0,0.8324299999999999,1.0,1.0,0.98246,1.0,0.155,0.155,0.16869,0.0,0.0,0.16757,0.0,0.0,0.01754
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.16,1.0,0.83762,1.0,1.0,0.9818,1.0,0.16,0.16,0.17305,0.0,0.0,0.16238,0.0,0.0,0.0182
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.165,1.0,0.8425600000000001,1.0,1.0,0.98113,1.0,0.165,0.165,0.17740999999999998,0.0,0.0,0.15744,0.0,0.0,0.018869999999999998
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.17,1.0,0.84726,1.0,1.0,0.98046,1.0,0.17,0.17,0.18177000000000001,0.0,0.0,0.15274000000000001,0.0,0.0,0.019540000000000002
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.175,1.0,0.8517399999999999,1.0,1.0,0.97977,1.0,0.175,0.175,0.18614,0.0,0.0,0.14826,0.0,0.0,0.02023
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.18,1.0,0.85601,1.0,1.0,0.97908,1.0,0.18,0.18,0.1905,0.0,0.0,0.14399,0.0,0.0,0.020919999999999998
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.185,1.0,0.8600899999999999,1.0,1.0,0.97839,1.0,0.185,0.185,0.19485999999999998,0.0,0.0,0.13990999999999998,0.0,0.0,0.02161
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.19,1.0,0.8639899999999999,1.0,1.0,0.9776799999999999,1.0,0.19,0.19,0.19922,0.0,0.0,0.13601,0.0,0.0,0.02232
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.195,1.0,0.8677299999999999,1.0,1.0,0.9769700000000001,1.0,0.195,0.195,0.20359000000000002,0.0,0.0,0.13227,0.0,0.0,0.023030000000000002
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.2,1.0,0.87131,1.0,1.0,0.97625,1.0,0.2,0.2,0.20795,0.0,0.0,0.12869,0.0,0.0,0.02375
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.205,1.0,0.87474,1.0,1.0,0.97552,1.0,0.205,0.205,0.21231,0.0,0.0,0.12525999999999998,0.0,0.0,0.024480000000000002
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.21,1.0,0.8780399999999999,1.0,1.0,0.97478,1.0,0.21,0.21,0.21666999999999997,0.0,0.0,0.12195999999999999,0.0,0.0,0.02522
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.215,1.0,0.8812,1.0,1.0,0.97404,1.0,0.215,0.215,0.22104000000000001,0.0,0.0,0.1188,0.0,0.0,0.025960000000000004
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.22,1.0,0.8842399999999999,1.0,1.0,0.97329,1.0,0.22,0.22,0.2254,0.0,0.0,0.11575999999999999,0.0,0.0,0.02671
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.225,1.0,0.8871700000000001,1.0,1.0,0.97252,1.0,0.225,0.225,0.22976,0.0,0.0,0.11283,0.0,0.0,0.02748
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.23,1.0,0.8899799999999999,1.0,1.0,0.97175,1.0,0.23,0.23,0.23412,0.0,0.0,0.11002,0.0,0.0,0.02825
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.235,1.0,0.8927,1.0,1.0,0.9709700000000001,1.0,0.235,0.235,0.23849,0.0,0.0,0.1073,0.0,0.0,0.02903
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.24,1.0,0.89531,1.0,1.0,0.9701799999999999,1.0,0.24,0.24,0.24285,0.0,0.0,0.10469,0.0,0.0,0.02982
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.245,1.0,0.89784,1.0,1.0,0.96939,1.0,0.245,0.245,0.24720999999999999,0.0,0.0,0.10216,0.0,0.0,0.030610000000000002
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.25,1.0,0.9002700000000001,1.0,1.0,0.9685799999999999,1.0,0.25,0.25,0.25156999999999996,0.0,0.0,0.09973,0.0,0.0,0.03142
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.255,1.0,0.9026299999999999,1.0,1.0,0.9677600000000001,1.0,0.255,0.255,0.25594,0.0,0.0,0.09737,0.0,0.0,0.03224
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.26,1.0,0.9049,1.0,1.0,0.9669399999999999,1.0,0.26,0.26,0.2603,0.0,0.0,0.0951,0.0,0.0,0.03306
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.265,1.0,0.9071,1.0,1.0,0.9661,1.0,0.265,0.265,0.26466,0.0,0.0,0.0929,0.0,0.0,0.0339
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.27,1.0,0.90923,1.0,1.0,0.96526,1.0,0.27,0.27,0.26902,0.0,0.0,0.09077,0.0,0.0,0.03474
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.275,1.0,0.9112899999999999,1.0,1.0,0.9644,1.0,0.275,0.275,0.27339,0.0,0.0,0.08871,0.0,0.0,0.0356
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.28,1.0,0.91328,1.0,1.0,0.9635299999999999,1.0,0.28,0.28,0.27775,0.0,0.0,0.08672,0.0,0.0,0.036469999999999995
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.285,1.0,0.91522,1.0,1.0,0.9626600000000001,1.0,0.285,0.285,0.28210999999999997,0.0,0.0,0.08478,0.0,0.0,0.03734
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.29,1.0,0.91709,1.0,1.0,0.9617700000000001,1.0,0.29,0.29,0.28647,0.0,0.0,0.08291,0.0,0.0,0.03823
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.295,1.0,0.91891,1.0,1.0,0.9608700000000001,1.0,0.295,0.295,0.29084,0.0,0.0,0.08109,0.0,0.0,0.03913
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.3,1.0,0.9206799999999999,1.0,1.0,0.95996,1.0,0.3,0.3,0.2952,0.0,0.0,0.07932,0.0,0.0,0.04004
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.305,1.0,0.9223899999999999,1.0,1.0,0.95904,1.0,0.305,0.305,0.29956,0.0,0.0,0.07761,0.0,0.0,0.04096
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.31,1.0,0.92406,1.0,1.0,0.95811,1.0,0.31,0.31,0.30391999999999997,0.0,0.0,0.07594,0.0,0.0,0.04189
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.315,1.0,0.9256700000000001,1.0,1.0,0.9571700000000001,1.0,0.315,0.315,0.30828,0.0,0.0,0.07433,0.0,0.0,0.04283
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.32,1.0,0.92724,1.0,1.0,0.95621,1.0,0.32,0.32,0.31265,0.0,0.0,0.07276,0.0,0.0,0.043789999999999996
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.325,1.0,0.9287700000000001,1.0,1.0,0.95524,1.0,0.325,0.325,0.31701,0.0,0.0,0.07123,0.0,0.0,0.04476
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.33,1.0,0.9302600000000001,1.0,1.0,0.95426,1.0,0.33,0.33,0.32137,0.0,0.0,0.06974,0.0,0.0,0.045739999999999996
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.335,1.0,0.93171,1.0,1.0,0.9532700000000001,1.0,0.335,0.335,0.32573,0.0,0.0,0.06829,0.0,0.0,0.04673
UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,0.34,1.0,0.9331200000000001,1.0,1.0,0.95226,1.0,0.34,0.34,0.3301,0.0,0.0,0.06688,0.0,0.0,0.04774
