company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.005,0.12451,0.0592,0.23895999999999998,0.99987,0.99955,0.99997,0.039189999999999996,0.02078,0.0774,0.87549,0.7610399999999999,0.9408,0.00013000000000000002,2.9999999999999997e-05,0.00045
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.01,0.22232,0.11227999999999999,0.38694,0.99975,0.9990899999999999,0.9999299999999999,0.0439,0.02567,0.08161,0.77768,0.61306,0.8877200000000001,0.00025,7e-05,0.00091
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.015,0.30118,0.16015,0.48758999999999997,0.9996200000000001,0.9986299999999999,0.9999,0.0486,0.030560000000000004,0.08582999999999999,0.69882,0.51241,0.83985,0.00037999999999999997,0.0001,0.00137
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.02,0.36612,0.20353,0.56048,0.99949,0.99816,0.9998600000000001,0.05331,0.03545,0.09004,0.63388,0.43951999999999997,0.79647,0.0005099999999999999,0.00014,0.0018399999999999998
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.025,0.42052,0.24304,0.6157100000000001,0.99936,0.99769,0.9998299999999999,0.05802,0.04033,0.09426,0.57948,0.38429,0.7569600000000001,0.00064,0.00016999999999999999,0.00231
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.03,0.46675,0.27915999999999996,0.659,0.99923,0.9972200000000001,0.99979,0.06273,0.045219999999999996,0.09847,0.53325,0.341,0.7208399999999999,0.0007700000000000001,0.00021,0.00278
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.035,0.50653,0.31232,0.69384,0.9991,0.99674,0.99976,0.06742999999999999,0.05011,0.10269,0.49346999999999996,0.30616,0.6876800000000001,0.0009,0.00023999999999999998,0.0032600000000000003
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.04,0.5411199999999999,0.34286,0.7225,0.9989600000000001,0.99625,0.99972,0.07214,0.055,0.10690999999999999,0.45888,0.2775,0.65714,0.0010400000000000001,0.00028,0.00375
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.045,0.57147,0.37108,0.74647,0.9988299999999999,0.9957600000000001,0.9996799999999999,0.07685,0.059879999999999996,0.11112000000000001,0.42853,0.25353000000000003,0.62892,0.00117,0.00032,0.00424
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.05,0.59832,0.39724,0.76683,0.99869,0.9952700000000001,0.99965,0.08155,0.06477000000000001,0.11534000000000001,0.40168000000000004,0.23317,0.6027600000000001,0.00131,0.00035,0.00473
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.055,0.62224,0.42156000000000005,0.78433,0.99855,0.99477,0.99961,0.08626,0.06966,0.11955,0.37776,0.21566999999999997,0.57844,0.00145,0.00039,0.005229999999999999
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.06,0.64368,0.44422,0.7995399999999999,0.99841,0.9942700000000001,0.9995700000000001,0.09097000000000001,0.07455,0.12377,0.35631999999999997,0.20046,0.55578,0.00159,0.00043,0.00573
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.065,0.66301,0.46538,0.81287,0.9982700000000001,0.9937600000000001,0.9995299999999999,0.09568,0.07943,0.12797999999999998,0.33699,0.18713,0.53462,0.00173,0.00047000000000000004,0.00624
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.07,0.68053,0.4852,0.8246600000000001,0.99813,0.99325,0.99949,0.10038,0.08432,0.1322,0.31947,0.17534,0.5148,0.00187,0.0005099999999999999,0.00675
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.075,0.69648,0.50379,0.83516,0.99798,0.9927299999999999,0.99945,0.10509,0.08921,0.13642,0.30351999999999996,0.16484000000000001,0.49621000000000004,0.00202,0.00055,0.00727
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.08,0.71106,0.52127,0.8445600000000001,0.9978299999999999,0.99221,0.99941,0.1098,0.0941,0.14063,0.28894000000000003,0.15544000000000002,0.47873000000000004,0.00217,0.00059,0.007790000000000001
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.085,0.72445,0.53773,0.8530399999999999,0.99769,0.9916799999999999,0.9993700000000001,0.1145,0.09898,0.14485,0.27555,0.14695999999999998,0.46226999999999996,0.00231,0.00063,0.008320000000000001
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.09,0.73677,0.5532600000000001,0.86072,0.99754,0.99115,0.9993299999999999,0.11921,0.10387,0.14906,0.26323,0.13928,0.44673999999999997,0.00246,0.00067,0.00885
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.095,0.74816,0.56793,0.86771,0.99739,0.99061,0.99929,0.12392,0.10876,0.15328,0.25184,0.13229000000000002,0.43206999999999995,0.0026100000000000003,0.0007099999999999999,0.00939
Ultimate Dx Laboratory,UDX SARS-CoV-2 Molecular Assay,0.1,0.75872,0.58182,0.8741,0.99723,0.9900700000000001,0.99925,0.12862,0.11364,0.1575,0.24128000000000002,0.1259,0.41818,0.00277,0.00075,0.00993
