company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.005,1.0,0.006497908193394384,1.0,1.0,0.9961539447295747,1.0,0.005,0.005,0.4351465798045602,0.0,0.0,0.9935020918066056,0.0,0.0,0.003846055270425253
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.01,1.0,0.01297628143374415,1.0,1.0,0.9922989582264191,1.0,0.01,0.01,0.4358016648570394,0.0,0.0,0.9870237185662558,0.0,0.0,0.007701041773580997
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.015,1.0,0.019435207682037933,1.0,1.0,0.9884350093444738,1.0,0.015,0.015,0.4364567499095186,0.0,0.0,0.980564792317962,0.0,0.0,0.011564990655526186
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.02,1.0,0.02587477437196748,1.0,1.0,0.9845620667926904,1.0,0.02,0.02,0.4371118349619978,0.0,0.0,0.9741252256280324,0.0,0.0,0.015437933207309462
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.025,1.0,0.03229506841387293,1.0,1.0,0.9806800991341852,1.0,0.025,0.025,0.4377669200144771,0.0,0.0,0.9677049315861271,0.0,0.0,0.01931990086581481
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.03,1.0,0.03869617619865276,1.0,1.0,0.9767890747853883,1.0,0.03,0.03,0.43842200506695617,0.0,0.0,0.9613038238013472,0.0,0.0,0.023210925214611544
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.035,1.0,0.045078183601638684,1.0,1.0,0.9728889620151888,1.0,0.035,0.035,0.43907709011943535,0.0,0.0,0.9549218163983612,0.0,0.0,0.02711103798481129
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.04,1.0,0.051441175986436,1.0,1.0,0.9689797289440704,1.0,0.04,0.04,0.43973217517191454,0.0,0.0,0.9485588240135642,0.0,0.0,0.031020271055929523
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.045,1.0,0.057785238208729536,1.0,1.0,0.9650613435432444,1.0,0.045,0.045,0.4403872602243937,0.0,0.0,0.9422147617912704,0.0,0.0,0.034938656456755535
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.05,1.0,0.06411045462005581,1.0,1.0,0.9611337736337736,1.0,0.05,0.05,0.4410423452768729,0.0,0.0,0.9358895453799442,0.0,0.0,0.03886622636622628
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.055,1.0,0.07041690907154155,1.0,1.0,0.9571969868856924,1.0,0.055,0.055,0.4416974303293521,0.0,0.0,0.9295830909284584,0.0,0.0,0.04280301311430768
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.06,1.0,0.07670468491760896,1.0,1.0,0.9532509508171184,1.0,0.06,0.06,0.4423525153818313,0.0,0.0,0.923295315082391,0.0,0.0,0.04674904918288148
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.065,1.0,0.08297386501964822,1.0,1.0,0.9492956327933618,1.0,0.065,0.065,0.4430076004343105,0.0,0.0,0.9170261349803518,0.0,0.0,0.05070436720663818
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.07,1.0,0.0892245317496574,1.0,1.0,0.945331000026022,1.0,0.07,0.07,0.4436626854867897,0.0,0.0,0.9107754682503426,0.0,0.0,0.054668999973978005
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.075,1.0,0.09545676699385007,1.0,1.0,0.9413570195720846,1.0,0.07500000000000001,0.07500000000000001,0.4443177705392689,0.0,0.0,0.90454323300615,0.0,0.0,0.058642980427915374
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.08,1.0,0.1016706521562312,1.0,1.0,0.9373736583330072,1.0,0.08,0.08,0.4449728555917481,0.0,0.0,0.8983293478437688,0.0,0.0,0.06262634166699277
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.085,1.0,0.10786626816214157,1.0,1.0,0.9333808830538018,1.0,0.085,0.085,0.4456279406442273,0.0,0.0,0.8921337318378585,0.0,0.0,0.06661911694619815
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.09,1.0,0.11404369546177055,1.0,1.0,0.9293786603221084,1.0,0.09000000000000001,0.09000000000000001,0.4462830256967065,0.0,0.0,0.8859563045382295,0.0,0.0,0.07062133967789164
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.095,1.0,0.12020301403363864,1.0,1.0,0.9253669565672628,1.0,0.095,0.095,0.4469381107491857,0.0,0.0,0.8797969859663614,0.0,0.0,0.07463304343273712
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.1,1.0,0.12634430338804886,1.0,1.0,0.9213457380593592,1.0,0.1,0.1,0.4475931958016648,0.0,0.0,0.8736556966119511,0.0,0.0,0.07865426194064074
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.105,1.0,0.13246764257050814,1.0,1.0,0.9173149709083036,1.0,0.105,0.105,0.448248280854144,0.0,0.0,0.8675323574294919,0.0,0.0,0.08268502909169627
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.11,1.0,0.1385731101651187,1.0,1.0,0.9132746210628628,1.0,0.11,0.11,0.4489033659066232,0.0,0.0,0.8614268898348814,0.0,0.0,0.08672537893713718
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.115,1.0,0.14466078429793985,1.0,1.0,0.9092246543097044,1.0,0.115,0.115,0.4495584509591024,0.0,0.0,0.8553392157020602,0.0,0.0,0.09077534569029566
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.12,1.0,0.1507307426403203,1.0,1.0,0.9051650362724316,1.0,0.12,0.12,0.4502135360115816,0.0,0.0,0.8492692573596797,0.0,0.0,0.0948349637275684
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.125,1.0,0.1567830624122015,1.0,1.0,0.9010957324106114,1.0,0.125,0.125,0.4508686210640608,0.0,0.0,0.8432169375877985,0.0,0.0,0.09890426758938864
University of Alabama at Birmingham Fungal Reference Lab,FRL SARS CoV-2 Test,0.13,1.0,0.16281782038539228,1.0,1.0,0.8970167080187933,1.0,0.13,0.13,0.45152370611653997,0.0,0.0,0.8371821796146077,0.0,0.0,0.1029832919812067
