company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.005,1.0,0.036932527808489775,1.0,1.0,0.9976474305618841,1.0,0.005,0.005,0.07655968042321816,0.0,0.0,0.9630674721915102,0.0,0.0,0.0023525694381160145
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.01,1.0,0.07156821733530744,1.0,1.0,0.9952823086007612,1.0,0.01,0.01,0.07901670969369405,0.0,0.0,0.9284317826646926,0.0,0.0,0.0047176913992388325
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.015,1.0,0.1041148680122466,1.0,1.0,0.9929045333838016,1.0,0.015,0.015,0.08147373896416993,0.0,0.0,0.8958851319877534,0.0,0.0,0.00709546661619842
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.02,1.0,0.13475594639308508,1.0,1.0,0.9905140030974564,1.0,0.02,0.02,0.08393076823464582,0.0,0.0,0.8652440536069149,0.0,0.0,0.009485996902543592
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.025,1.0,0.1636540465146109,1.0,1.0,0.9881106148329244,1.0,0.025,0.025,0.0863877975051217,0.0,0.0,0.8363459534853891,0.0,0.0,0.011889385167075715
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.03,1.0,0.19095377607396385,1.0,1.0,0.9856942645713848,1.0,0.03,0.03,0.08884482677559757,0.0,0.0,0.8090462239260361,0.0,0.0,0.01430573542861524
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.035,1.0,0.21678417658551394,1.0,1.0,0.9832648471689912,1.0,0.035,0.035,0.09130185604607344,0.0,0.0,0.7832158234144859,0.0,0.0,0.01673515283100868
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.04,1.0,0.24126076300444296,1.0,1.0,0.9808222563416206,1.0,0.04,0.04,0.09375888531654936,0.0,0.0,0.7587392369955569,0.0,0.0,0.01917774365837943
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.045,1.0,0.2644872508397693,1.0,1.0,0.9783663846493718,1.0,0.045,0.045,0.09621591458702522,0.0,0.0,0.7355127491602307,0.0,0.0,0.021633615350628244
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.05,1.0,0.2865570252290233,1.0,1.0,0.9758971234808141,1.0,0.05,0.05,0.09867294385750112,0.0,0.0,0.7134429747709767,0.0,0.0,0.024102876519185967
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.055,1.0,0.3075543958592341,1.0,1.0,0.9734143630369748,1.0,0.055,0.055,0.101129973127977,0.0,0.0,0.6924456041407658,0.0,0.0,0.02658563696302529
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.06,1.0,0.3275556732915162,1.0,1.0,0.9709179923150638,1.0,0.06,0.06,0.10358700239845288,0.0,0.0,0.6724443267084839,0.0,0.0,0.02908200768493618
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.065,1.0,0.3466300956556799,1.0,1.0,0.9684078990919316,1.0,0.065,0.065,0.10604403166892876,0.0,0.0,0.6533699043443201,0.0,0.0,0.03159210090806852
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.07,1.0,0.3648406294336788,1.0,1.0,0.9658839699072505,1.0,0.07,0.07,0.10850106093940463,0.0,0.0,0.6351593705663212,0.0,0.0,0.03411603009274966
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.075,1.0,0.38224466384892,1.0,1.0,0.9633460900464198,1.0,0.07500000000000001,0.07500000000000001,0.11095809020988054,0.0,0.0,0.6177553361510799,0.0,0.0,0.0366539099535802
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.08,1.0,0.3988946149959242,1.0,1.0,0.960794143523186,1.0,0.08,0.08,0.11341511948035644,0.0,0.0,0.6011053850040757,0.0,0.0,0.03920585647681407
University of North Carolina Medical Center,UNC Health SARS-CoV-2 real-time RT-PCR test,0.085,1.0,0.41483845310780815,1.0,1.0,0.958228013061972,1.0,0.085,0.085,0.11587214875083232,0.0,0.0,0.5851615468921918,0.0,0.0,0.04177198693802786
