company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.005,0.046610000000000006,0.01844,0.11218,0.99985,0.9991,0.99997,0.10436,0.044360000000000004,0.23368000000000003,0.95339,0.88782,0.98156,0.00015,2.9999999999999997e-05,0.0009
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.01,0.08949,0.03639,0.20255,0.9997,0.9981899999999999,0.99995,0.10873,0.049139999999999996,0.23683,0.91051,0.79745,0.9636100000000001,0.0003,5e-05,0.0018100000000000002
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.015,0.12905,0.053860000000000005,0.27689,0.99954,0.9972700000000001,0.99992,0.11309000000000001,0.05391,0.23999,0.87095,0.72311,0.94614,0.00045999999999999996,8e-05,0.0027300000000000002
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.02,0.16567,0.07088,0.33913000000000004,0.99939,0.99635,0.9999,0.11746,0.05869,0.24315,0.8343299999999999,0.66087,0.9291200000000001,0.00061,0.0001,0.00365
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.025,0.19967000000000001,0.08747,0.392,0.99923,0.99541,0.99987,0.12182,0.06347,0.2463,0.80033,0.608,0.91253,0.0007700000000000001,0.00013000000000000002,0.0045899999999999995
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.03,0.23131,0.10364000000000001,0.43746999999999997,0.9990700000000001,0.9944700000000001,0.99985,0.12619,0.06825,0.24946,0.76869,0.56253,0.89636,0.00093,0.00015,0.005529999999999999
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.035,0.26084,0.1194,0.47698999999999997,0.9989100000000001,0.9935299999999999,0.99982,0.13055,0.07303,0.25261,0.73916,0.5230100000000001,0.8806,0.00109,0.00018,0.00647
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.04,0.28846,0.13477,0.51165,0.99875,0.9925700000000001,0.99979,0.13492,0.0778,0.25577,0.71154,0.48835,0.8652299999999999,0.00125,0.00021,0.00743
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.045,0.31435,0.14977000000000001,0.5423,0.99859,0.99161,0.99977,0.13928,0.08258,0.25893,0.68565,0.4577,0.8502299999999999,0.00141,0.00022999999999999998,0.00839
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.05,0.33866,0.16441,0.5696,0.9984200000000001,0.9906299999999999,0.99974,0.14365,0.08736000000000001,0.26208000000000004,0.6613399999999999,0.4304,0.8355899999999999,0.00158,0.00026000000000000003,0.00937
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.055,0.36154000000000003,0.17869000000000002,0.59407,0.99826,0.98965,0.99971,0.14801,0.09214,0.26524000000000003,0.63846,0.40593,0.82131,0.0017399999999999998,0.00029,0.01035
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.06,0.38311,0.19265,0.61612,0.9980899999999999,0.98866,0.9996799999999999,0.15238,0.09692,0.26839,0.6168899999999999,0.38388,0.80735,0.0019100000000000002,0.00032,0.011340000000000001
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.065,0.40348,0.20626999999999998,0.6361100000000001,0.99792,0.98766,0.99965,0.15674000000000002,0.1017,0.27155,0.5965199999999999,0.36389,0.79373,0.0020800000000000003,0.00035,0.01234
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.07,0.42275,0.21959,0.6542899999999999,0.99774,0.98666,0.9996200000000001,0.16111,0.10647000000000001,0.27471,0.57725,0.34571,0.78041,0.0022600000000000003,0.00037999999999999997,0.013340000000000001
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.075,0.441,0.2326,0.67092,0.9975700000000001,0.98564,0.9996,0.16547,0.11125,0.27786,0.5589999999999999,0.32908000000000004,0.7674,0.00243,0.0004,0.01436
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.08,0.45831000000000005,0.24531999999999998,0.68618,0.9974,0.98462,0.9995700000000001,0.16984000000000002,0.11603,0.28102,0.54169,0.31382,0.75468,0.0026,0.00043,0.015380000000000001
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.085,0.47475,0.25776,0.70023,0.9972200000000001,0.9835799999999999,0.99954,0.1742,0.12080999999999999,0.28418000000000004,0.52525,0.29977,0.74224,0.00278,0.00045999999999999996,0.01642
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.09,0.49038999999999994,0.26992,0.71321,0.9970399999999999,0.98254,0.99951,0.17857,0.12559,0.28733000000000003,0.50961,0.28679,0.7300800000000001,0.00296,0.00049,0.01746
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.095,0.5052800000000001,0.28183,0.72524,0.9968600000000001,0.98149,0.9994799999999999,0.18293,0.13036,0.29049,0.49472,0.27476,0.71817,0.00314,0.0005200000000000001,0.01851
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.1,0.51948,0.29347,0.73642,0.9966700000000001,0.9804299999999999,0.99945,0.1873,0.13514,0.29364,0.48052,0.26358000000000004,0.70653,0.0033299999999999996,0.00055,0.01957
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.105,0.53303,0.30487,0.74683,0.99649,0.97936,0.9994200000000001,0.19166,0.13992000000000002,0.2968,0.46697,0.25317,0.69513,0.00351,0.00058,0.020640000000000002
"University of Texas MD Anderson Cancer Center, Molecular Diagnostics Laboratory",MD Anderson High-throughput SARS-CoV-2 RT-PCR Assay,0.11,0.54598,0.31601999999999997,0.75656,0.9963,0.9782799999999999,0.9993799999999999,0.19602999999999998,0.1447,0.29996,0.45402,0.24344000000000002,0.68398,0.0037,0.00062,0.02172
