company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.005,1.0,0.04041,1.0,0.99985,0.9991700000000001,0.99997,0.00485,0.0049700000000000005,0.10525999999999999,0.0,0.0,0.9595899999999999,0.00015,2.9999999999999997e-05,0.0008300000000000001
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.01,1.0,0.07805,1.0,0.9997,0.9983299999999999,0.99995,0.00971,0.00995,0.10901,0.0,0.0,0.92195,0.0003,5e-05,0.0016699999999999998
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.015,1.0,0.11319000000000001,1.0,0.99955,0.9974799999999999,0.99992,0.01456,0.01492,0.11275999999999999,0.0,0.0,0.88681,0.00045,8e-05,0.00252
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.02,1.0,0.14606,1.0,0.9994,0.9966200000000001,0.99989,0.01941,0.0199,0.1165,0.0,0.0,0.8539399999999999,0.0006,0.00011,0.0033799999999999998
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.025,1.0,0.17689000000000002,1.0,0.99925,0.9957600000000001,0.99987,0.02426,0.02487,0.12025,0.0,0.0,0.82311,0.00075,0.00013000000000000002,0.00424
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.03,1.0,0.20585,1.0,0.9990899999999999,0.9948899999999999,0.99984,0.02912,0.02984,0.124,0.0,0.0,0.79415,0.00091,0.00016,0.00511
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.035,1.0,0.23312,1.0,0.9989299999999999,0.9940100000000001,0.9998100000000001,0.03397,0.03482,0.12774000000000002,0.0,0.0,0.76688,0.00107,0.00018999999999999998,0.00599
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.04,1.0,0.25883,1.0,0.9987799999999999,0.99313,0.9997799999999999,0.03882,0.03979,0.13149,0.0,0.0,0.74117,0.00122,0.00022,0.00687
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.045,1.0,0.28312,1.0,0.9986200000000001,0.99224,0.99975,0.043680000000000004,0.04477,0.13524,0.0,0.0,0.7168800000000001,0.0013800000000000002,0.00025,0.0077599999999999995
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.05,1.0,0.30609000000000003,1.0,0.99845,0.99134,0.9997299999999999,0.048530000000000004,0.04974,0.13898,0.0,0.0,0.69391,0.00155,0.00027,0.00866
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.055,1.0,0.32786,1.0,0.99829,0.9904299999999999,0.9997,0.05338,0.05471,0.14273,0.0,0.0,0.67214,0.0017100000000000001,0.0003,0.00957
Vela Operations Singapore Pte. Ltd.,ViroKey SARS-CoV-2 RT-PCR Test v2.0,0.06,1.0,0.34852,1.0,0.99813,0.98951,0.9996700000000001,0.05824,0.05969,0.14648,0.0,0.0,0.6514800000000001,0.00187,0.00033,0.010490000000000001
