company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.005,1.0,0.04307,1.0,0.99984,0.99913,0.99997,0.00484,0.0049700000000000005,0.0978,0.0,0.0,0.95693,0.00016,2.9999999999999997e-05,0.0008699999999999999
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.01,1.0,0.08297,1.0,0.9996799999999999,0.99825,0.9999399999999999,0.00969,0.009940000000000001,0.10155,0.0,0.0,0.9170299999999999,0.00032,5.9999999999999995e-05,0.00175
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.015,1.0,0.12004000000000001,1.0,0.9995200000000001,0.99736,0.99992,0.014530000000000001,0.01492,0.10529000000000001,0.0,0.0,0.8799600000000001,0.00047999999999999996,8e-05,0.00264
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.02,1.0,0.15455,1.0,0.99936,0.9964700000000001,0.99989,0.01938,0.01989,0.10903,0.0,0.0,0.84545,0.00064,0.00011,0.0035299999999999997
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.025,1.0,0.18678,1.0,0.9992,0.99556,0.9998600000000001,0.02422,0.02486,0.11277000000000001,0.0,0.0,0.8132199999999999,0.0008,0.00014,0.0044399999999999995
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.03,1.0,0.21694000000000002,1.0,0.99903,0.99465,0.9998299999999999,0.029060000000000002,0.029830000000000002,0.11652,0.0,0.0,0.7830600000000001,0.0009699999999999999,0.00016999999999999999,0.00535
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.035,1.0,0.24522,1.0,0.99887,0.99374,0.9998,0.03391,0.03481,0.12025999999999999,0.0,0.0,0.75478,0.0011300000000000001,0.0002,0.00626
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.04,1.0,0.27179000000000003,1.0,0.9987,0.9928100000000001,0.99977,0.03875,0.03978,0.124,0.0,0.0,0.72821,0.0013,0.00022999999999999998,0.00719
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.045,1.0,0.29681,1.0,0.9985299999999999,0.9918799999999999,0.99974,0.04359,0.04475,0.12774000000000002,0.0,0.0,0.70319,0.00147,0.00026000000000000003,0.00812
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.05,1.0,0.3204,1.0,0.99836,0.9909399999999999,0.99971,0.04844,0.04972,0.13149,0.0,0.0,0.6796,0.00164,0.00029,0.009059999999999999
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.055,1.0,0.34268000000000004,1.0,0.99818,0.9899899999999999,0.9996799999999999,0.053279999999999994,0.0547,0.13523,0.0,0.0,0.65732,0.00182,0.00032,0.01001
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.06,1.0,0.36377,1.0,0.9980100000000001,0.98903,0.99965,0.058120000000000005,0.05967000000000001,0.13897,0.0,0.0,0.6362300000000001,0.00199,0.00035,0.01097
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.065,1.0,0.38375,1.0,0.9978299999999999,0.98806,0.9996200000000001,0.06297,0.06464,0.14271,0.0,0.0,0.61625,0.00217,0.00037999999999999997,0.011940000000000001
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.07,1.0,0.40271,1.0,0.99765,0.9870899999999999,0.9995799999999999,0.06781000000000001,0.06961,0.14645999999999998,0.0,0.0,0.59729,0.00235,0.00042,0.01291
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.075,1.0,0.42072,1.0,0.9974700000000001,0.9861,0.99955,0.07266,0.07458,0.1502,0.0,0.0,0.57928,0.00253,0.00045,0.0139
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.08,1.0,0.43786,1.0,0.99729,0.98511,0.9995200000000001,0.0775,0.07956,0.15394000000000002,0.0,0.0,0.56214,0.00271,0.00047999999999999996,0.01489
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.085,1.0,0.45418000000000003,1.0,0.99711,0.98411,0.99949,0.08234,0.08453,0.15768,0.0,0.0,0.54582,0.0028899999999999998,0.0005099999999999999,0.01589
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.09,1.0,0.46975,1.0,0.99692,0.9831,0.99945,0.08719,0.0895,0.16143,0.0,0.0,0.53025,0.0030800000000000003,0.00055,0.0169
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.095,1.0,0.48461000000000004,1.0,0.9967299999999999,0.98208,0.9994200000000001,0.09203,0.09447,0.16517,0.0,0.0,0.51539,0.0032700000000000003,0.00058,0.01792
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.1,1.0,0.49882,1.0,0.99654,0.98106,0.99939,0.09688,0.09945,0.16891,0.0,0.0,0.5011800000000001,0.00346,0.00061,0.018940000000000002
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.105,1.0,0.51241,1.0,0.99635,0.9800200000000001,0.99935,0.10172,0.10442,0.17265,0.0,0.0,0.48758999999999997,0.00365,0.00065,0.01998
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.11,1.0,0.52542,1.0,0.99615,0.9789700000000001,0.9993200000000001,0.10655999999999999,0.10939000000000002,0.1764,0.0,0.0,0.47458,0.00385,0.0006799999999999999,0.02103
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.115,1.0,0.53789,1.0,0.9959600000000001,0.9779200000000001,0.99928,0.11141,0.11435999999999999,0.18014000000000002,0.0,0.0,0.46211,0.00404,0.00072,0.022080000000000002
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.12,1.0,0.54985,1.0,0.9957600000000001,0.97685,0.99925,0.11625,0.11934000000000002,0.18388,0.0,0.0,0.45015,0.00424,0.00075,0.02315
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.125,1.0,0.56134,1.0,0.99556,0.97577,0.99921,0.12109,0.12430999999999999,0.18762,0.0,0.0,0.43866000000000005,0.0044399999999999995,0.00079,0.02423
Viracor Eurofins Clinical Diagnostics,Viracor SARS-CoV-2 assay,0.13,1.0,0.5723699999999999,1.0,0.99535,0.97469,0.9991700000000001,0.12594,0.12928,0.19137,0.0,0.0,0.42763,0.00465,0.0008300000000000001,0.02531
