company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.005,0.09132,0.033319999999999995,0.22662,1.0,0.99965,1.0,0.05475,0.02206,0.14102,0.9086799999999999,0.7733800000000001,0.9666799999999999,0.0,0.0,0.00035
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.01,0.16807,0.0648,0.37068,1.0,0.9993,1.0,0.0595,0.02698,0.14504,0.83193,0.62932,0.9352,0.0,0.0,0.0007
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.015,0.23346,0.09458,0.47034,1.0,0.9989399999999999,1.0,0.06425,0.031889999999999995,0.14905,0.76654,0.52966,0.9054200000000001,0.0,0.0,0.00106
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.02,0.28986,0.1228,0.5433899999999999,1.0,0.9985799999999999,1.0,0.069,0.03681,0.15306,0.71014,0.45661,0.8772,0.0,0.0,0.0014199999999999998
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.025,0.33898,0.14958,0.59923,1.0,0.9982200000000001,1.0,0.07375,0.04172,0.15708,0.6610199999999999,0.40076999999999996,0.8504200000000001,0.0,0.0,0.0017800000000000001
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.03,0.38216999999999995,0.17502,0.6433,1.0,0.99785,1.0,0.0785,0.04663,0.16109,0.61783,0.3567,0.8249799999999999,0.0,0.0,0.00215
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.035,0.42041999999999996,0.19923,0.67897,1.0,0.9974799999999999,1.0,0.08325,0.05155,0.16510999999999998,0.57958,0.32103000000000004,0.80077,0.0,0.0,0.00252
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.04,0.45455,0.22229000000000002,0.70843,1.0,0.9971,1.0,0.08800000000000001,0.05646,0.16912,0.54545,0.29157,0.77771,0.0,0.0,0.0029
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.045,0.48518,0.24427,0.73317,1.0,0.9967299999999999,1.0,0.09275,0.06138,0.17313,0.51482,0.26683,0.75573,0.0,0.0,0.0032700000000000003
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.05,0.5128199999999999,0.26527,0.7542399999999999,1.0,0.99634,1.0,0.0975,0.06629,0.17715,0.48718,0.24575999999999998,0.73473,0.0,0.0,0.00366
Wren Laboratories LLC,Wren Laboratories COVID-19 PCR Test,0.055,0.5379,0.28533000000000003,0.77241,1.0,0.9959600000000001,1.0,0.10225,0.07121,0.18116,0.4621,0.22759000000000001,0.71467,0.0,0.0,0.00404
