company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.005,1.0,0.10905999999999999,1.0,0.99989,0.99977,0.9999399999999999,0.00489,0.00494,0.04385,0.0,0.0,0.89094,0.00011,5.9999999999999995e-05,0.00022999999999999998
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.01,1.0,0.19746,1.0,0.99977,0.99954,0.9998799999999999,0.00978,0.009890000000000001,0.04843,0.0,0.0,0.8025399999999999,0.00022999999999999998,0.00011999999999999999,0.00045999999999999996
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.015,1.0,0.27058000000000004,1.0,0.99966,0.99931,0.9998299999999999,0.01466,0.014830000000000001,0.053020000000000005,0.0,0.0,0.72942,0.00033999999999999997,0.00016999999999999999,0.0006900000000000001
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.02,1.0,0.33205,1.0,0.99954,0.9990700000000001,0.99977,0.01955,0.01977,0.05761,0.0,0.0,0.66795,0.00045999999999999996,0.00022999999999999998,0.00093
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.025,1.0,0.38445999999999997,1.0,0.9994299999999999,0.99884,0.99971,0.02444,0.02472,0.062189999999999995,0.0,0.0,0.61554,0.00057,0.00029,0.00116
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.03,1.0,0.42967,1.0,0.99931,0.9986,0.99965,0.029330000000000002,0.029660000000000002,0.06677999999999999,0.0,0.0,0.57033,0.0006900000000000001,0.00035,0.0014
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.035,1.0,0.46907,1.0,0.9991899999999999,0.99836,0.99959,0.03422,0.0346,0.07136,0.0,0.0,0.53093,0.00081,0.00041,0.00164
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.04,1.0,0.50371,1.0,0.9990700000000001,0.99811,0.9995299999999999,0.0391,0.03954,0.07595,0.0,0.0,0.49628999999999995,0.00093,0.00047000000000000004,0.0018899999999999998
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.045,1.0,0.53441,1.0,0.99895,0.99787,0.99946,0.043989999999999994,0.044489999999999995,0.08054,0.0,0.0,0.46558999999999995,0.00105,0.00054,0.00213
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.05,1.0,0.5618,1.0,0.99882,0.9976200000000001,0.9994,0.04888,0.04943,0.08512,0.0,0.0,0.4382,0.00118,0.0006,0.00238
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.055,1.0,0.58639,1.0,0.9987,0.9973700000000001,0.99934,0.053770000000000005,0.05437,0.08971,0.0,0.0,0.41361000000000003,0.0013,0.00066,0.00263
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.06,1.0,0.60858,1.0,0.9985700000000001,0.99711,0.9992700000000001,0.058660000000000004,0.059320000000000005,0.09429,0.0,0.0,0.39142,0.00143,0.00073,0.0028899999999999998
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.065,1.0,0.62872,1.0,0.99844,0.9968600000000001,0.99921,0.06354,0.06426,0.09888,0.0,0.0,0.37128,0.00156,0.00079,0.00314
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.07,1.0,0.64707,1.0,0.9983200000000001,0.9966,0.9991399999999999,0.06842999999999999,0.0692,0.10346,0.0,0.0,0.35293,0.00168,0.00086,0.0034
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.075,1.0,0.66387,1.0,0.9981899999999999,0.9963299999999999,0.99908,0.07332000000000001,0.07415,0.10805,0.0,0.0,0.33613000000000004,0.0018100000000000002,0.0009199999999999999,0.00367
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.08,1.0,0.6793,1.0,0.9980600000000001,0.9960700000000001,0.9990100000000001,0.07821,0.07909,0.11264,0.0,0.0,0.3207,0.0019399999999999999,0.00099,0.0039299999999999995
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.085,1.0,0.69352,1.0,0.99792,0.9958,0.9989399999999999,0.0831,0.08403,0.11722,0.0,0.0,0.30648000000000003,0.0020800000000000003,0.00106,0.0042
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.09,1.0,0.70667,1.0,0.99779,0.9955299999999999,0.99887,0.08797999999999999,0.08897000000000001,0.12180999999999999,0.0,0.0,0.29333000000000004,0.00221,0.0011300000000000001,0.00447
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.095,1.0,0.71886,1.0,0.99765,0.99526,0.9988,0.09287000000000001,0.09392,0.12639,0.0,0.0,0.28114,0.00235,0.0012,0.00474
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.1,1.0,0.73021,1.0,0.9975200000000001,0.99498,0.99874,0.09776,0.09886,0.13097999999999999,0.0,0.0,0.26979000000000003,0.00248,0.00126,0.00502
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.105,1.0,0.74078,1.0,0.9973799999999999,0.99471,0.99866,0.10265,0.1038,0.13556,0.0,0.0,0.25922,0.00262,0.00134,0.0052899999999999996
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.11,1.0,0.75066,1.0,0.99724,0.9944200000000001,0.99859,0.10754000000000001,0.10875,0.14015,0.0,0.0,0.24934,0.0027600000000000003,0.00141,0.00558
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.115,1.0,0.7599199999999999,1.0,0.9971,0.9941399999999999,0.9985200000000001,0.11242,0.11369000000000001,0.14474,0.0,0.0,0.24008000000000002,0.0029,0.00148,0.00586
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.12,1.0,0.76861,1.0,0.99695,0.99385,0.99845,0.11731,0.11863,0.14932,0.0,0.0,0.23139,0.00305,0.00155,0.00615
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.125,1.0,0.77678,1.0,0.9968100000000001,0.99356,0.9983700000000001,0.1222,0.12358,0.15391,0.0,0.0,0.22321999999999997,0.0031899999999999997,0.0016300000000000002,0.00644
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.13,1.0,0.78447,1.0,0.99666,0.9932700000000001,0.9983,0.12709,0.12852,0.15849000000000002,0.0,0.0,0.21553000000000003,0.0033399999999999997,0.0017,0.00673
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.135,1.0,0.79174,1.0,0.99651,0.99297,0.9982200000000001,0.13197,0.13346,0.16308,0.0,0.0,0.20826,0.00349,0.0017800000000000001,0.00703
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.14,1.0,0.79861,1.0,0.9963700000000001,0.99267,0.99815,0.13685999999999998,0.1384,0.16766,0.0,0.0,0.20139,0.0036299999999999995,0.00185,0.00733
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.145,1.0,0.80511,1.0,0.99621,0.99236,0.9980700000000001,0.14175,0.14335,0.17225,0.0,0.0,0.19489,0.00379,0.00193,0.007640000000000001
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.15,1.0,0.8112699999999999,1.0,0.9960600000000001,0.99206,0.9979899999999999,0.14664000000000002,0.14829,0.17684,0.0,0.0,0.18873,0.00394,0.00201,0.007940000000000001
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.155,1.0,0.81712,1.0,0.9959100000000001,0.99175,0.9979100000000001,0.15153,0.15323,0.18142,0.0,0.0,0.18288,0.00409,0.00209,0.00825
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.16,1.0,0.8226899999999999,1.0,0.99575,0.9914299999999999,0.9978299999999999,0.15641,0.15818,0.18600999999999998,0.0,0.0,0.17731,0.00425,0.00217,0.00857
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.165,1.0,0.8279799999999999,1.0,0.99559,0.99111,0.99775,0.1613,0.16312000000000001,0.19059,0.0,0.0,0.17202,0.00441,0.00225,0.00889
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.17,1.0,0.8330299999999999,1.0,0.9954299999999999,0.99079,0.9976700000000001,0.16619,0.16806,0.19518,0.0,0.0,0.16697,0.00457,0.00233,0.00921
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.175,1.0,0.83785,1.0,0.9952700000000001,0.9904700000000001,0.99759,0.17107999999999998,0.17301,0.19976,0.0,0.0,0.16215,0.00473,0.0024100000000000002,0.00953
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.18,1.0,0.84245,1.0,0.99511,0.9901399999999999,0.9975,0.17597000000000002,0.17795,0.20435,0.0,0.0,0.15755,0.00489,0.0025,0.009859999999999999
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.185,1.0,0.8468399999999999,1.0,0.9949399999999999,0.9898100000000001,0.9974200000000001,0.18085,0.18289,0.20894000000000001,0.0,0.0,0.15316,0.00506,0.0025800000000000003,0.010190000000000001
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.19,1.0,0.85105,1.0,0.99477,0.9894700000000001,0.9973299999999999,0.18574000000000002,0.18783,0.21352,0.0,0.0,0.14895,0.005229999999999999,0.00267,0.01053
"Xiamen Zeesan Biotech Co., Ltd.",SARS-CoV-2 Test Kit (Real-time PCR),0.195,1.0,0.85508,1.0,0.9946,0.98913,0.99725,0.19063,0.19278,0.21811,0.0,0.0,0.14492,0.0054,0.00275,0.01087
