company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.005,0.04945209328463051,0.016954607819044332,0.13600432012790753,0.9996749505038268,0.9987461361393176,0.9999155337163796,0.09516042780748664,0.036164942628697516,0.2385960913223196,0.9505479067153696,0.8639956798720925,0.9830453921809555,0.00032504949617317985,8.446628362046571e-05,0.0012538638606822696
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.01,0.09467455621301774,0.033506643991604274,0.24036195262891344,0.9993468321358588,0.9974827951005006,0.999830228722772,0.09941176470588238,0.040926514208132,0.24146274730112885,0.9053254437869822,0.7596380473710865,0.9664933560083956,0.0006531678641411576,0.00016977127722805907,0.002517204899499359
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.015,0.13618777405210208,0.049670278335988235,0.3229674662372918,0.9990156012290071,0.9962098690277869,0.9997440724648616,0.10366310160427812,0.04568808578756647,0.2443294032799381,0.8638122259478979,0.6770325337627082,0.9503297216640118,0.0009843987709929893,0.00025592753513847816,0.003790130972213146
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.02,0.17443012884043604,0.0654590233785641,0.3899799278238929,0.9986812132837788,0.9949272484225672,0.9996570521365156,0.10791443850267383,0.05044965736700094,0.2471960592587473,0.8255698711595639,0.6100200721761071,0.934540976621436,0.0013187867162210989,0.00034294786348443296,0.005072751577432699
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.025,0.20977353992848624,0.08088577202890533,0.4454337033008885,0.9983436229483512,0.9936348221119876,0.9995691546734388,0.11216577540106956,0.05521122894643542,0.25006271523755663,0.7902264600715138,0.5545662966991115,0.9191142279710948,0.001656377051648894,0.0004308453265613466,0.0063651778880122745
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.03,0.2425355994487827,0.09596283269291728,0.4920819162906129,0.9980027839980634,0.9923324772168252,0.9994803667466341,0.11641711229946528,0.05997280052586989,0.2529293712163659,0.7574644005512173,0.5079180837093871,0.9040371673070828,0.001997216001936586,0.0005196332533660142,0.0076675227831747295
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.035,0.2729891424772877,0.11070196202492788,0.5318676604564502,0.9976586493143188,0.9910200991186258,0.9993906747556656,0.120668449197861,0.06473437210530435,0.25579602719517514,0.7270108575227123,0.4681323395435498,0.8892980379750721,0.002341350685681309,0.0006093252443344356,0.008979900881374236
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.04,0.3013698630136986,0.12511439550190762,0.5662014988377977,0.9973111708628698,0.9896975714260746,0.9993000648217132,0.1249197860962567,0.06949594368473883,0.25866268317398444,0.6986301369863014,0.4337985011622023,0.8748856044980924,0.0026888291371302,0.0006999351782869255,0.010302428573925382
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.045,0.3278824259987579,0.1392108759869224,0.5961321996116471,0.9969602996714668,0.9883647759405888,0.9992085227804124,0.12917112299465244,0.0742575152641733,0.2615293391527937,0.6721175740012422,0.4038678003883529,0.8607891240130776,0.0030397003285332898,0.0007914772195877218,0.011635224059411198
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.05,0.35270541082164314,0.15300168043442816,0.6224557421696749,0.9966059858068498,0.9870215926211008,0.9991160341744738,0.13342245989304816,0.07901908684360777,0.2643959951316029,0.6472945891783568,0.3775442578303251,0.8469983195655718,0.0033940141931502192,0.0008839658255261894,0.012978407378899326
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.055,0.37599533890075737,0.16649664487692184,0.6457871518303594,0.9962481783510588,0.9856678995480174,0.9990225842460714,0.13767379679144387,0.08378065842304225,0.2672626511104122,0.6240046610992427,0.3542128481696406,0.8335033551230782,0.003751821648941167,0.0009774157539286232,0.01433210045198263
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.06,0.3978899773926149,0.1797051878206174,0.6666091560436015,0.995886825377041,0.9843035728863296,0.998928157928992,0.14192513368983958,0.08854223000247671,0.27012930708922145,0.6021100226073852,0.3333908439563985,0.8202948121793826,0.004113174622959015,0.0010718420710080778,0.015696427113670475
"Yale School of Public Health, Department of Epidemiology of Microbial Diseases",SalivaDirect,0.065,0.4185110663983903,0.1926363321670929,0.6853059421669546,0.9955218739235274,0.9829284868478484,0.9988327398405372,0.14617647058823532,0.0933038015819112,0.2729959630680308,0.5814889336016098,0.3146940578330454,0.8073636678329071,0.004478126076472577,0.0011672601594627794,0.01707151315215161
