company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.005,1.0,0.0065481107959144596,1.0,0.9990586758707248,0.9961927260480171,0.9996688795879186,0.0040625,0.004670426061320661,0.4351685692848978,0.0,0.0,0.9934518892040856,0.0009413241292751672,0.0003311204120813871,0.0038072739519829923
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.01,1.0,0.0130758769623902,1.0,0.998109640831758,0.9923763134331696,0.9993346370658656,0.008125,0.009340852122641323,0.4358456438177144,0.0,0.0,0.9869241230376098,0.001890359168241873,0.0006653629341343281,0.007623686566830434
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.015,1.0,0.01958339316687448,1.0,0.9971527997469156,0.9885507292123942,0.9989972280674599,0.0121875,0.014011278183961988,0.4365227183505312,0.0,0.0,0.9804166068331256,0.002847200253084492,0.0010027719325399476,0.011449270787605824
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.02,1.0,0.026070753490383205,1.0,0.9961880559085132,0.9847159402841004,0.9986566073817024,0.01625,0.01868170424528265,0.43719979288334776,0.0,0.0,0.9739292465096168,0.003811944091486663,0.001343392618297634,0.015284059715899743
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.025,1.0,0.0325380514320348,1.0,0.9952153110047848,0.9808719133872134,0.998312728932779,0.0203125,0.02335213030660331,0.4378768674161645,0.0,0.0,0.9674619485679652,0.004784688995215225,0.0016872710672209967,0.019128086612786643
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.03,1.0,0.03898537991354213,1.0,0.9942344650864829,0.9770186151002149,0.9979655457592856,0.024375,0.028022556367923977,0.4385539419489811,0.0,0.0,0.961014620086458,0.005765534913516945,0.0020344542407144672,0.02298138489978496
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.035,1.0,0.04541283128366285,1.0,0.9932454165326472,0.973156011840174,0.9976150099928468,0.0284375,0.032692982429244635,0.43923101648179785,0.0,0.0,0.9545871687163372,0.006754583467352915,0.002384990007153087,0.026843988159826138
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.04,1.0,0.051820497322608634,1.0,0.9922480620155041,0.9692840698617694,0.9972610728361152,0.0325,0.0373634084905653,0.4399080910146145,0.0,0.0,0.9481795026773914,0.007751937984496027,0.0027389271638849078,0.0307159301382306
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.045,1.0,0.05820846924641384,1.0,0.9912422964644828,0.9654027552563104,0.9969036845401252,0.0365625,0.04203383455188596,0.4405851655474312,0.0,0.0,0.941791530753586,0.008757703535517303,0.003096315459874877,0.03459724474368975
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.05,1.0,0.06457683771126377,1.0,0.990228013029316,0.9615120339507434,0.9965427943809826,0.040625,0.04670426061320662,0.44126224008024784,0.0,0.0,0.9354231622887362,0.009771986970684043,0.003457205619017412,0.03848796604925664
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.055,1.0,0.07092569281778345,1.0,0.9892051030421984,0.9576118717066576,0.996178350635865,0.0446875,0.051374686674527284,0.44193931461306457,0.0,0.0,0.9290743071822164,0.01079489695780167,0.003821649364134983,0.042388128293342375
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.06,1.0,0.07725512411528664,1.0,0.9881734559789752,0.9537022341192791,0.9958103005583092,0.04875,0.056045112735847946,0.4426163891458812,0.0,0.0,0.9227448758847132,0.011826544021024898,0.004189699441690897,0.04629776588072099
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.065,1.0,0.08356522060598626,1.0,0.9871329594193337,0.9497830866164592,0.995438590352762,0.0528125,0.060715538797168615,0.44329346367869804,0.0,0.0,0.9164347793940136,0.012867040580666456,0.004561409647238057,0.05021691338354084
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.07,1.0,0.0898560707491662,1.0,0.986083499005964,0.9458543944576568,0.9950631651483683,0.056875000000000016,0.06538596485848927,0.44397053821151455,0.0,0.0,0.9101439292508338,0.013916500994035852,0.004936834851631654,0.05414560554234327
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.075,1.0,0.09612776246531472,1.0,0.9850249584026622,0.94191612273291,0.9946839689719684,0.06093750000000001,0.07005639091980995,0.44464761274433134,0.0,0.0,0.9038722375346852,0.014975041597337757,0.005316031028031687,0.058083877267089974
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.08,1.0,0.10238038314022077,1.0,0.9839572192513368,0.9379682363618036,0.9943009447202774,0.065,0.0747268169811306,0.445324687277148,0.0,0.0,0.8976196168597792,0.016042780748663166,0.005699055279722587,0.062031763638196284
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.085,1.0,0.10861401962903232,1.0,0.9828801611278952,0.9340107000924266,0.9939140341312196,0.0690625,0.07939724304245126,0.4460017618099647,0.0,0.0,0.8913859803709676,0.017119838872104776,0.0060859658687804075,0.0659892999075734
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.09,1.0,0.11482875826027818,1.0,0.9817936614969656,0.9300434785003232,0.9935231777543836,0.07312500000000001,0.08406766910377192,0.4466788363427813,0.0,0.0,0.8851712417397218,0.018206338503034325,0.00647682224561652,0.0699565214996769
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.095,1.0,0.12102468483985315,1.0,0.980697595665425,0.9260665359874356,0.9931283149205696,0.0771875,0.08873809516509258,0.4473559108755981,0.0,0.0,0.8789753151601468,0.01930240433457497,0.006871685079430479,0.07393346401256429
YouSeq Ltd,YouSeq SARS-COV-2 qPCR Test,0.1,1.0,0.1272018846549672,1.0,0.979591836734694,0.9220798367810404,0.9927293837103968,0.08125,0.09340852122641324,0.4480329854084147,0.0,0.0,0.8727981153450328,0.020408163265306145,0.007270616289603349,0.07792016321895967
