company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.005,1.0,0.2700784035261702,1.0,0.9998226740749496,0.9994981150685862,0.9999393261789168,0.0048235294117647065,0.0049396258848939095,0.01668585636476767,0.0,0.0,0.7299215964738298,0.00017732592505026454,6.067382108321251e-05,0.0005018849314137874
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.01,1.0,0.4265258586394909,1.0,0.9996436208125444,0.9989916717689208,0.9998780469650516,0.009647058823529413,0.009879251769787815,0.02113114296440546,0.0,0.0,0.5734741413605091,0.0003563791874554578,0.000121953034948441,0.0010083282310791029
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.015,1.0,0.5285909165521965,1.0,0.9994628148501852,0.9984806077156496,0.9998161532522192,0.014470588235294115,0.014818877654681725,0.025576429564043247,0.0,0.0,0.4714090834478035,0.0005371851498149338,0.00018384674778093582,0.0015193922843504961
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.02,1.0,0.6004306248042132,1.0,0.9992802303262956,0.9979648593798008,0.9997536357506834,0.019294117647058826,0.019758503539575638,0.030021716163681038,0.0,0.0,0.3995693751957869,0.0007197696737044622,0.0002463642493165663,0.0020351406201990496
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.025,1.0,0.6537396766711937,1.0,0.9990958408679927,0.997444362062462,0.9996904849825088,0.02411764705882353,0.024698129424469542,0.03446700276331883,0.0,0.0,0.3462603233288063,0.000904159132007254,0.0003095150174912132,0.002555637937537991
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.03,1.0,0.6948688225093466,1.0,0.9989096195783862,0.9969190498677204,0.9996266912767696,0.028941176470588238,0.02963775530936345,0.03891228936295661,0.0,0.0,0.30513117749065344,0.0010903804216138011,0.0003733087232304921,0.0030809501322794923
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.035,1.0,0.7275643400004429,1.0,0.9987215390234992,0.9963888556748548,0.9995622447646136,0.03376470588235294,0.034577381194257364,0.0433575759625944,0.0,0.0,0.2724356599995571,0.0012784609765007506,0.00043775523538647215,0.00361114432514531
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.04,1.0,0.7541790105304529,1.0,0.998531571218796,0.9958537111097432,0.9994971353741726,0.03858823529411765,0.03951700707915127,0.047802862562232186,0.0,0.0,0.2458209894695471,0.001468428781204123,0.0005028646258273817,0.0041462888902567
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.045,1.0,0.7762649143899233,1.0,0.9983396876152996,0.9953135465154712,0.999431352825314,0.04341176470588235,0.044456632964045166,0.052248149161869976,0.0,0.0,0.2237350856100767,0.0016603123847005465,0.0005686471746858546,0.004686453484528785
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.05,1.0,0.7948873424113655,1.0,0.9981458590852904,0.9947682909221038,0.9993648866242312,0.048235294117647064,0.049396258848939084,0.05669343576150776,0.0,0.0,0.2051126575886345,0.001854140914709479,0.0006351133757688254,0.005231709077896164
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.055,1.0,0.8108017639014496,1.0,0.997950055907566,0.9942178720156032,0.9992977260578614,0.05305882352941176,0.054335884733833,0.061138722361145564,0.0,0.0,0.18919823609855035,0.002049944092433864,0.0007022739421386204,0.005782127984396812
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.06,1.0,0.8245588252145075,1.0,0.9977522477522476,0.9936622161058564,0.9992298601881304,0.057882352941176475,0.0592755106187269,0.06558400896078335,0.0,0.0,0.17544117478549248,0.0022477522477523104,0.0007701398118694637,0.006337783894143746
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.065,1.0,0.836569358026431,1.0,0.9975524036651188,0.9931012480937864,0.999161277846014,0.06270588235294118,0.06421513650362083,0.07002929556042113,0.0,0.0,0.16343064197356905,0.002447596334881341,0.0008387221539860602,0.006898751906213585
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.07,1.0,0.8471461060754237,1.0,0.9973504920514762,0.9925348914375178,0.9990919676254088,0.0675294117647059,0.06915476238851473,0.07447458216005892,0.0,0.0,0.15285389392457627,0.0026495079485238104,0.0009080323745911391,0.00746510856248217
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.075,1.0,0.8565313499542032,1.0,0.99714648065948,0.9919630681175586,0.9990219178768096,0.0723529411764706,0.07409438827340864,0.07891986875969673,0.0,0.0,0.1434686500457968,0.002853519340520028,0.0009780821231903936,0.008036931882441367
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.08,1.0,0.8649156936686672,1.0,0.996940336562978,0.991385698600973,0.9989511167007816,0.07717647058823529,0.07903401415830254,0.0833651553593345,0.0,0.0,0.13508430633133284,0.003059663437021909,0.0010488832992183728,0.008614301399026969
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.085,1.0,0.8724511449295873,1.0,0.9967320261437908,0.9908027018045036,0.9988795519412216,0.08199999999999999,0.08397364004319645,0.08781044195897231,0.0,0.0,0.1275488550704127,0.003267973856209139,0.0011204480587785335,0.009197298195496528
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.09,1.0,0.8792604138485379,1.0,0.9965215150734348,0.9902139950566112,0.9988072111783992,0.08682352941176473,0.08891326592809036,0.09225572855861007,0.0,0.0,0.12073958615146195,0.0034784849265653284,0.0011927888216006766,0.00978600494338866
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.095,1.0,0.885443646901594,1.0,0.9963087682942624,0.9896194940583959,0.998734081721774,0.0916470588235294,0.09385289181298426,0.09670101515824787,0.0,0.0,0.11455635309840595,0.003691231705737597,0.0012659182782260858,0.010380505941604
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.1,1.0,0.8910833851840952,1.0,0.99609375,0.9890191128433532,0.99866015060257,0.09647058823529413,0.09879251769787817,0.10114630175788566,0.0,0.0,0.10891661481590477,0.00390625,0.0013398493974299266,0.0109808871566468
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.105,1.0,0.8962482702438609,1.0,0.9958764236156564,0.9884127637359356,0.9985854045661126,0.10129411764705884,0.1037321435827721,0.10559158835752347,0.0,0.0,0.10375172975613901,0.004123576384343575,0.0014145954338874445,0.011587236264064328
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.11,1.0,0.9009958516614832,1.0,0.9956567517767834,0.9878003573088696,0.9985098300639028,0.10611764705882352,0.108671769467666,0.11003687495716123,0.0,0.0,0.09900414833851667,0.0043432482232166345,0.0014901699360971856,0.012199642691130386
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.115,1.0,0.905374740528765,1.0,0.9954346963080588,0.9871818023391868,0.9984334132454328,0.11094117647058824,0.1136113953525599,0.11448216155679905,0.0,0.0,0.094625259471235,0.0045653036919413035,0.001566586754567334,0.012818197660813158
"ZhuHai Sinochips Bioscience Co., Ltd.",COVID-19 Nucleic Acid RT-PCR Test Kit,0.12,1.0,0.909426279969068,1.0,0.9952102182011708,0.9865570057629256,0.9983561399497218,0.11576470588235295,0.1185510212374538,0.1189274481564368,0.0,0.0,0.090573720030932,0.0047897817988290506,0.0016438600502781675,0.013442994237074402
