company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
bioMérieux SA,BioFire COVID-19 Test,0.005,1.0,0.00754505187295197,1.0,1.0,0.9974565861036286,1.0,0.005,0.005,0.4911563202157351,0.0,0.0,0.992454948127048,0.0,0.0,0.0025434138963713604
bioMérieux SA,BioFire COVID-19 Test,0.01,1.0,0.01505160413455361,1.0,1.0,0.9949005820975528,1.0,0.01,0.01,0.4924126200274711,0.0,0.0,0.9849483958654464,0.0,0.0,0.005099417902447168
bioMérieux SA,BioFire COVID-19 Test,0.015,1.0,0.02251995070884519,1.0,1.0,0.9923318942666935,1.0,0.015,0.015,0.493668919839207,0.0,0.0,0.9774800492911548,0.0,0.0,0.007668105733306452
bioMérieux SA,BioFire COVID-19 Test,0.02,1.0,0.02995038253552347,1.0,1.0,0.9897504279635609,1.0,0.02,0.02,0.4949252196509429,0.0,0.0,0.9700496174644764,0.0,0.0,0.01024957203643895
bioMérieux SA,BioFire COVID-19 Test,0.025,1.0,0.03734318760772255,1.0,1.0,0.98715608759663,1.0,0.025,0.025,0.4961815194626788,0.0,0.0,0.9626568123922774,0.0,0.0,0.012843912403370015
bioMérieux SA,BioFire COVID-19 Test,0.03,1.0,0.044698651009222136,1.0,1.0,0.9845487766185405,1.0,0.03,0.03,0.4974378192744148,0.0,0.0,0.955301348990778,0.0,0.0,0.015451223381459545
bioMérieux SA,BioFire COVID-19 Test,0.035,1.0,0.05201705495109358,1.0,1.0,0.9819283975141208,1.0,0.035,0.035,0.4986941190861507,0.0,0.0,0.9479829450489063,0.0,0.0,0.01807160248587913
bioMérieux SA,BioFire COVID-19 Test,0.04,1.0,0.05929867880779319,1.0,1.0,0.9792948517882304,1.0,0.04,0.04,0.4999504188978866,0.0,0.0,0.9407013211922068,0.0,0.0,0.02070514821176972
bioMérieux SA,BioFire COVID-19 Test,0.045,1.0,0.06654379915271284,1.0,1.0,0.9766480399534176,1.0,0.045,0.045,0.5012067187096225,0.0,0.0,0.9334562008472872,0.0,0.0,0.02335196004658246
bioMérieux SA,BioFire COVID-19 Test,0.05,1.0,0.07375268979319728,1.0,1.0,0.973987861517393,1.0,0.05,0.05,0.5024630185213584,0.0,0.0,0.9262473102068028,0.0,0.0,0.02601213848260697
bioMérieux SA,BioFire COVID-19 Test,0.055,1.0,0.08092562180503736,1.0,1.0,0.9713142149703102,1.0,0.055,0.055,0.5037193183330945,0.0,0.0,0.9190743781949626,0.0,0.0,0.02868578502968977
bioMérieux SA,BioFire COVID-19 Test,0.06,1.0,0.08806286356644842,1.0,1.0,0.968626997771854,1.0,0.06,0.06,0.5049756181448304,0.0,0.0,0.9119371364335516,0.0,0.0,0.031373002228146096
bioMérieux SA,BioFire COVID-19 Test,0.065,1.0,0.09516468079154274,1.0,1.0,0.9659261063381313,1.0,0.065,0.065,0.5062319179565663,0.0,0.0,0.9048353192084572,0.0,0.0,0.03407389366186886
