prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
0.005,0.14815695600475615,0.1042491897731364,0.20473409160774655,0.9980745167139099,0.9978348744638614,0.9983023883464551,0.021025000000000016,0.016265000000000012,0.027770000000000024,0.8518430439952438,0.7952659083922534,0.8957508102268636,0.0019254832860901017,0.0016976116535448726,0.002165125536138568
0.01,0.2590436590436589,0.18958742632612954,0.3410138248847924,0.9961370971873559,0.9956573762713262,0.996593470478444,0.024050000000000016,0.019530000000000013,0.030540000000000022,0.7409563409563411,0.6589861751152075,0.8104125736738704,0.00386290281264412,0.0034065295215559566,0.004342623728673778
0.015,0.34515235457063687,0.26073251275893106,0.4382540030708487,0.9941876300845389,0.9934673990627813,0.9948731330682917,0.027075000000000016,0.02279500000000001,0.03331000000000002,0.6548476454293631,0.5617459969291513,0.7392674872410689,0.00581236991546108,0.005126866931708274,0.006532600937218747
0.02,0.41395348837209284,0.32095343680709515,0.5111281657712967,0.9922260026806887,0.9912648352560378,0.9931412612686613,0.030100000000000016,0.026060000000000014,0.03608000000000002,0.5860465116279072,0.4888718342287033,0.6790465631929048,0.007773997319311277,0.006858738731338687,0.008735164743962187
0.025,0.4701886792452828,0.37258687258687234,0.567774936061381,0.9902521008403361,0.9890495760287156,0.9913977386869962,0.033125000000000016,0.02932500000000001,0.03885000000000002,0.5298113207547173,0.43222506393861904,0.6274131274131276,0.009747899159663898,0.00860226131300379,0.010950423971284429
0.03,0.5170124481327798,0.41734742912061484,0.613071494323412,0.9882658089951756,0.9868215113003193,0.9896424473594443,0.036150000000000015,0.03259000000000001,0.04162000000000002,0.4829875518672202,0.386928505676588,0.5826525708793852,0.011734191004824424,0.010357552640555712,0.013178488699680746
0.035,0.5566049776643266,0.45652173913043453,0.6501185329800585,0.9862670101215102,0.9845805297140046,0.9878752677242532,0.039175000000000015,0.03585500000000001,0.04439000000000003,0.4433950223356734,0.3498814670199415,0.5434782608695654,0.01373298987848981,0.012124732275746841,0.01541947028599544
0.04,0.5905213270142178,0.491094147582697,0.6809815950920244,0.9842555857172688,0.9823265186180261,0.9860960785946216,0.042200000000000015,0.03912000000000001,0.04716000000000002,0.4094786729857822,0.3190184049079756,0.508905852417303,0.01574441428273121,0.013903921405378439,0.017673481381973888
0.045,0.6199004975124376,0.5218305627879029,0.7070897723251148,0.9822314157785865,0.9800593640468597,0.9843047571309973,0.045225000000000015,0.04238500000000001,0.049930000000000016,0.3800995024875624,0.29291022767488517,0.47816943721209715,0.017768584221413475,0.0156952428690027,0.01994063595314033
0.05,0.6455958549222796,0.5493358633776089,0.7294633077765607,0.9801943787759391,0.9777789507019952,0.9825011788128045,0.048250000000000015,0.04565000000000001,0.052700000000000025,0.35440414507772044,0.27053669222343935,0.45066413662239113,0.019805621224060932,0.01749882118719548,0.022221049298004836
0.055,0.6682593856655288,0.574094104921579,0.74885004599816,0.978144351629819,0.9754851619323897,0.9806852174095901,0.051275000000000015,0.048915000000000014,0.05547000000000002,0.3317406143344712,0.25114995400184004,0.425905895078421,0.021855648370180947,0.019314782590409862,0.024514838067610345
0.06,0.6883977900552484,0.5964972527472525,0.7658106554235338,0.9760812096859469,0.973177879714577,0.9788567449515732,0.054300000000000015,0.05218000000000001,0.058240000000000014,0.31160220994475163,0.23418934457646623,0.4035027472527475,0.023918790314053084,0.021143255048426846,0.026822120285422968
0.065,0.7064108155255123,0.6168660875266347,0.7807737397420865,0.9740048266900045,0.9708569846324242,0.9770156316995834,0.057325000000000015,0.055445000000000015,0.06101000000000002,0.2935891844744877,0.21922626025791347,0.38313391247336526,0.025995173309995456,0.022984368300416613,0.029143015367575797
0.07,0.7226180613090305,0.6354656632173092,0.7940725600408788,0.9719150747618794,0.9685223558565295,0.975161746114375,0.060350000000000015,0.05871000000000002,0.06378000000000003,0.2773819386909695,0.20592743995912122,0.36453433678269076,0.02808492523812056,0.024838253885624995,0.03147764414347054
0.075,0.7372781065088755,0.65251690458302,0.8059701492537311,0.9698118243694114,0.9661738711232525,0.9732949548252978,0.06337500000000001,0.061975000000000016,0.06655000000000003,0.2627218934911245,0.19402985074626888,0.34748309541697997,0.03018817563058862,0.02670504517470218,0.03382612887674752
0.08,0.7506024096385541,0.6682054241200229,0.8166768853464131,0.9676949443016282,0.9638114067133708,0.9714151225983141,0.06640000000000001,0.06524,0.06932000000000002,0.24939759036144593,0.18332311465358686,0.33179457587997707,0.03230505569837183,0.028584877401685915,0.036188593286629156
0.085,0.7627655743608209,0.6826883062838118,0.8263630391942193,0.9655643016414582,0.9614348374303543,0.9695221123033403,0.06942500000000001,0.06850500000000002,0.07209000000000002,0.23723442563917907,0.17363696080578073,0.31731169371618817,0.034435698358541766,0.03047788769665971,0.038565162569645706
0.09,0.7739130434782606,0.6960993855196366,0.8351678974501879,0.9634197617379117,0.9590440365782477,0.9676157848809024,0.07245000000000001,0.07177000000000001,0.07486000000000001,0.22608695652173938,0.16483210254981207,0.30390061448036343,0.03658023826208834,0.032384215119097615,0.04095596342175234
0.095,0.7841669426962569,0.7085533943063247,0.8432065036316384,0.9612611881777129,0.9566388759391568,0.9656959993080819,0.07547500000000001,0.07503500000000002,0.07763000000000002,0.21583305730374314,0.1567934963683616,0.2914466056936753,0.03873881182228711,0.03430400069191808,0.04336112406084325
0.1,0.7936305732484075,0.7201492537313431,0.850574712643678,0.9590884427563755,0.9542192257503262,0.963762612563741,0.07850000000000001,0.07830000000000002,0.08040000000000003,0.20636942675159253,0.149425287356322,0.2798507462686569,0.0409115572436245,0.03623738743625904,0.04578077424967375
0.105,0.8023919043238269,0.7309727065047491,0.8573530313247103,0.9569013854487057,0.9517849546808023,0.9618154795930033,0.08152500000000001,0.08156500000000001,0.08317000000000002,0.1976080956761731,0.1426469686752897,0.2690272934952509,0.04309861455129427,0.038184520406996714,0.048215045319197736
0.11,0.8105263157894734,0.7410984407726319,0.863609572085347,0.9546998743787208,0.9493359298076713,0.959854453270977,0.08455000000000001,0.08483000000000002,0.08594000000000002,0.18947368421052657,0.13639042791465295,0.25890155922736813,0.045300125621279164,0.04014554672902304,0.05066407019232866
0.115,0.8180987724807307,0.7505918160297597,0.8694023497360802,0.9524837657889689,0.9468720165918643,0.9578793843656961,0.08757500000000001,0.08809500000000002,0.08871000000000001,0.1819012275192693,0.13059765026391978,0.24940818397024034,0.04751623421103113,0.042120615634303915,0.05312798340813574
0.12,0.8251655629139071,0.7595102754700479,0.8747810858143608,0.950252914009237,0.94439307885352,0.9558901215002641,0.09060000000000001,0.09136000000000001,0.09148,0.17483443708609292,0.12521891418563924,0.2404897245299521,0.04974708599076305,0.04410987849973591,0.055606921146480026
0.125,0.8317757009345793,0.7679045092838195,0.879788639365918,0.9480071714246311,0.9418989787468948,0.9538865111141792,0.09362500000000001,0.09462500000000001,0.09425000000000001,0.1682242990654207,0.120211360634082,0.23209549071618052,0.05199282857536891,0.046113488885820786,0.058101021253105234
0.13,0.8379720641489912,0.7758194186765613,0.8844621513944222,0.9457463884430176,0.9393895767348114,0.9518683974238175,0.09665000000000001,0.09789000000000002,0.09702000000000002,0.16202793585100883,0.11553784860557781,0.22418058132343865,0.054253611556982384,0.04813160257618254,0.06061042326518862
0.135,0.8437923250564333,0.7832949193305941,0.8888339676733725,0.9434704134618055,0.9368647315626354,0.949835622382057,0.09967500000000001,0.10115500000000002,0.09979000000000002,0.1562076749435667,0.11116603232662747,0.21670508066940586,0.05652958653819451,0.05016437761794301,0.06313526843736461
0.14,0.8492697176241479,0.7903666146645865,0.8929323884313349,0.9411790928340577,0.9343243002317704,0.9477880256370174,0.10270000000000001,0.10442000000000003,0.10256000000000003,0.15073028237585206,0.10706761156866507,0.20963338533541354,0.05882090716594235,0.05221197436298264,0.06567569976822962
0.145,0.8544336722629462,0.797066362859584,0.8967822816548264,0.9388722708339158,0.9317681379726603,0.9457254444898943,0.10572500000000001,0.10768500000000002,0.10533000000000001,0.1455663277370538,0.10321771834517357,0.202933637140416,0.06112772916608422,0.05427455551010574,0.06823186202733966
0.15,0.8593103448275862,0.8034227567067529,0.900405588102749,0.9365497896213184,0.9291960982172889,0.9436477138518643,0.10875,0.11095000000000001,0.10810000000000002,0.14068965517241383,0.09959441189725105,0.1965772432932471,0.06345021037868159,0.0563522861481357,0.07080390178271112
0.155,0.8639230597181837,0.8094615315234056,0.9038217397014402,0.9342114892060007,0.926608032571165,0.9415546662000372,0.11177500000000001,0.11421500000000001,0.11087000000000001,0.13607694028181627,0.0961782602985598,0.1905384684765944,0.06578851079399928,0.05844533379996275,0.07339196742883503
0.16,0.8682926829268293,0.8152059134107708,0.9070480081716036,0.9318572074107546,0.9240037907847827,0.9394461315324298,0.11480000000000001,0.11748000000000001,0.11364000000000002,0.13170731707317074,0.09295199182839642,0.18479408658922925,0.06814279258924538,0.06055386846757016,0.07599620921521733
0.165,0.8724379376193506,0.8206769177905677,0.9100997970930473,0.9294867798339332,0.9213832207245441,0.9373219373219374,0.11782500000000003,0.12074500000000002,0.11641000000000001,0.12756206238064938,0.08990020290695266,0.17932308220943227,0.07051322016606676,0.06267806267806264,0.07861677927545585
0.17,0.8763756723210591,0.8258936063097834,0.9129908878316264,0.9271000398111813,0.9187461683431348,0.9351819084692747,0.12085000000000001,0.12401000000000002,0.11918000000000002,0.12362432767894094,0.08700911216837359,0.17410639369021663,0.07289996018881872,0.06481809153072526,0.08125383165686517
0.175,0.8801210898082743,0.8308733087330872,0.9157336476134355,0.9246968183763732,0.9160924776493365,0.9330258672548626,0.12387500000000001,0.127275,0.12195,0.1198789101917257,0.08426635238656455,0.16912669126691282,0.07530318162362681,0.06697413274513742,0.08390752235066345
0.18,0.8836879432624112,0.8356318152661961,0.9183392063735253,0.9222769442217386,0.913421990677269,0.9308536332896281,0.1269,0.13054000000000002,0.12472000000000001,0.11631205673758882,0.08166079362647471,0.16436818473380388,0.07772305577826144,0.06914636671037189,0.08657800932273096
0.185,0.887088705022128,0.8401835438073574,0.9208176077127163,0.919840243657156,0.9107345474550435,0.9286650234646933,0.129925,0.133805,0.12749,0.112911294977872,0.07918239228728374,0.15981645619264262,0.080159756342844,0.07133497653530674,0.08926545254495655
0.19,0.8903347122978563,0.844541685859051,0.9231779382797111,0.9173865405685947,0.9080299859728195,0.9264598518999224,0.13295,0.13707000000000003,0.13026000000000001,0.10966528770214368,0.07682206172028894,0.15545831414094902,0.0826134594314053,0.07354014810007758,0.09197001402718052
